time,uniformDensity_y,normalDensity_y,weibullDensity_y
0,0,7.433597574e-07,0
0.04008016032,0,8.215392556e-07,0
0.08016032064,0,9.075763684e-07,0
0.120240481,0,1.002221288e-06,0
0.1603206413,0,1.106291697e-06,0
0.2004008016,0,1.220678422e-06,0
0.2404809619,0,1.346351528e-06,0
0.2805611222,0,1.484366871e-06,0
0.3206412826,0,1.635873147e-06,0
0.3607214429,0,1.802119472e-06,0
0.4008016032,0,1.984463522e-06,0
0.4408817635,0,2.184380276e-06,0
0.4809619238,0,2.403471396e-06,0
0.5210420842,0,2.643475287e-06,0
0.5611222445,0,2.906277881e-06,0
0.6012024048,0,3.193924191e-06,0
0.6412825651,0,3.508630677e-06,0
0.6813627255,0,3.852798481e-06,0
0.7214428858,0,4.229027575e-06,0
0.7615230461,0,4.640131891e-06,0
0.8016032064,0,5.089155472e-06,0
0.8416833667,0,5.579389712e-06,0
0.8817635271,0,6.114391759e-06,0
0.9218436874,0,6.698004121e-06,0
0.9619238477,0,7.334375567e-06,0
1.002004008,0,8.027983376e-06,0
1.042084168,0,8.783657023e-06,0
1.082164329,0,9.606603356e-06,0
1.122244489,0,1.050243337e-05,0
1.162324649,0,1.147719065e-05,0
1.20240481,0,1.253738151e-05,0
1.24248497,0,1.369000708e-05,0
1.28256513,0,1.494259719e-05,0
1.322645291,0,1.630324634e-05,0
1.362725451,0,1.778065182e-05,0
1.402805611,0,1.938415393e-05,0
1.442885772,0,2.112377861e-05,0
1.482965932,0,2.301028246e-05,0
1.523046092,0,2.505520022e-05,0
1.563126253,0,2.727089497e-05,0
1.603206413,0,2.967061096e-05,0
1.643286573,0,3.226852935e-05,0
1.683366733,0,3.50798269e-05,0
1.723446894,0,3.812073765e-05,0
1.763527054,0,4.140861789e-05,0
1.803607214,0,4.496201433e-05,0
1.843687375,0,4.880073573e-05,0
1.883767535,0,5.294592799e-05,0
1.923847695,0,5.742015294e-05,0
1.963927856,0,6.224747085e-05,0
2.004008016,0,6.745352675e-05,0
2.044088176,0,7.306564079e-05,0
2.084168337,0,7.911290259e-05,0
2.124248497,0,8.562626987e-05,0
2.164328657,0,9.263867123e-05,0
2.204408818,0,0.0001001851134,0
2.244488978,0,0.0001083027929,0
2.284569138,0,0.0001170312124,0
2.324649299,0,0.0001264123011,0
2.364729459,0,0.0001364905409,0
2.404809619,0,0.0001473130964,0
2.44488978,0,0.00015892995,0
2.48496994,0,0.0001713940418,0
2.5250501,0,0.0001847614149,0
2.565130261,0,0.0001990913648,0
2.605210421,0,0.0002144465942,0
2.645290581,0,0.0002308933729,0
2.685370741,0,0.0002485017022,0
2.725450902,0,0.0002673454845,0
2.765531062,0,0.0002875026974,0
2.805611222,0,0.0003090555731,0
2.845691383,0,0.0003320907817,0
2.885771543,0,0.00035669962,0
2.925851703,0,0.000382978204,0
2.965931864,0,0.000411027666,0
3.006012024,0,0.0004409543557,0
3.046092184,0,0.0004728700456,0
3.086172345,0,0.0005068921395,0
3.126252505,0,0.0005431438848,0
3.166332665,0,0.0005817545882,0
3.206412826,0,0.0006228598336,0
3.246492986,0,0.000666601703,0
3.286573146,0,0.0007131289996,0
3.326653307,0,0.0007625974724,0
3.366733467,0,0.0008151700419,0
3.406813627,0,0.0008710170275,0
3.446893788,0,0.0009303163739,0
3.486973948,0,0.0009932538787,0
3.527054108,0,0.001060023418,0
3.567134269,0,0.001130827172,0
3.607214429,0,0.001205875845,0
3.647294589,0,0.00128538889,0
3.687374749,0,0.00136959472,0
3.72745491,0,0.001458730923,0
3.76753507,0,0.001553044468,0
3.80761523,0,0.001652791908,0
3.847695391,0,0.001758239571,0
3.887775551,0,0.001869663748,0
3.927855711,0,0.001987350874,0
3.967935872,0,0.002111597688,0
4.008016032,0,0.002242711402,0
4.048096192,0,0.002381009836,0
4.088176353,0,0.002526821555,0
4.128256513,0,0.002680485991,0
4.168336673,0,0.002842353542,0
4.208416834,0,0.003012785658,0
4.248496994,0,0.003192154918,0
4.288577154,0,0.003380845073,0
4.328657315,0,0.003579251081,0
4.368737475,0,0.003787779115,0
4.408817635,0,0.004006846551,0
4.448897796,0,0.00423688193,0
4.488977956,0,0.004478324894,0
4.529058116,0,0.004731626102,0
4.569138277,0,0.00499724711,0
4.609218437,0,0.005275660224,0
4.649298597,0,0.005567348328,0
4.689378758,0,0.005872804673,0
4.729458918,0,0.006192532638,0
4.769539078,0,0.006527045452,0
4.809619238,0,0.006876865891,0
4.849699399,0,0.007242525922,0
4.889779559,0,0.007624566328,0
4.929859719,0,0.008023536278,0
4.96993988,0,0.008439992868,0
5.01002004,0,0.008874500616,0
5.0501002,0,0.00932763092,0
5.090180361,0,0.009799961469,0
5.130260521,0,0.01029207561,0
5.170340681,0,0.01080456169,0
5.210420842,0,0.0113380123,0
5.250501002,0,0.01189302357,0
5.290581162,0,0.01247019431,0
5.330661323,0,0.01307012517,0
5.370741483,0,0.01369341778,0
5.410821643,0,0.01434067373,0
5.450901804,0,0.01501249366,0
5.490981964,0,0.01570947619,0
5.531062124,0,0.01643221682,0
5.571142285,0,0.01718130686,0
5.611222445,0,0.01795733222,0
5.651302605,0,0.01876087222,0
5.691382766,0,0.01959249836,0
5.731462926,0,0.02045277297,0
5.771543086,0,0.02134224797,0
5.811623246,0,0.02226146344,0
5.851703407,0,0.02321094622,0
5.891783567,0,0.02419120852,0
5.931863727,0,0.02520274643,0
5.971943888,0,0.02624603841,0
6.012024048,0.125,0.0273215438,0
6.052104208,0.125,0.02842970126,0
6.092184369,0.125,0.02957092719,0
6.132264529,0.125,0.03074561419,0
6.172344689,0.125,0.0319541294,0
6.21242485,0.125,0.03319681293,0
6.25250501,0.125,0.03447397625,0
6.29258517,0.125,0.03578590051,0
6.332665331,0.125,0.03713283498,0
6.372745491,0.125,0.03851499539,0
6.412825651,0.125,0.03993256232,0
6.452905812,0.125,0.0413856796,0
6.492985972,0.125,0.04287445273,0
6.533066132,0.125,0.04439894731,0
6.573146293,0.125,0.04595918747,0
6.613226453,0.125,0.04755515441,0
6.653306613,0.125,0.04918678486,0
6.693386774,0.125,0.05085396971,0
6.733466934,0.125,0.05255655255,0
6.773547094,0.125,0.05429432834,0
6.813627255,0.125,0.05606704216,0
6.853707415,0.125,0.05787438791,0
6.893787575,0.125,0.0597160072,0
6.933867735,0.125,0.06159148819,0
6.973947896,0.125,0.06350036463,0
7.014028056,0.125,0.06544211484,0
7.054108216,0.125,0.0674161609,0
7.094188377,0.125,0.06942186784,0
7.134268537,0.125,0.07145854298,0
7.174348697,0.125,0.07352543529,0
7.214428858,0.125,0.07562173498,0
7.254509018,0.125,0.07774657306,0
7.294589178,0.125,0.07989902109,0
7.334669339,0.125,0.08207809101,0
7.374749499,0.125,0.08428273511,0
7.414829659,0.125,0.08651184612,0
7.45490982,0.125,0.08876425738,0
7.49498998,0.125,0.09103874318,0
7.53507014,0.125,0.09333401925,0
7.575150301,0.125,0.09564874329,0
7.615230461,0.125,0.09798151573,0
7.655310621,0.125,0.1003308806,0
7.695390782,0.125,0.1026953264,0
7.735470942,0.125,0.1050732875,0
7.775551102,0.125,0.1074631451,0
7.815631263,0.125,0.1098632288,0
7.855711423,0.125,0.112271818,0
7.895791583,0.125,0.1146871438,0
7.935871743,0.125,0.1171073907,0
7.975951904,0.125,0.1195306983,0
8.016032064,0.125,0.121955164,0
8.056112224,0.125,0.1243788444,0
8.096192385,0.125,0.1267997583,0
8.136272545,0.125,0.1292158888,0
8.176352705,0.125,0.131625186,0
8.216432866,0.125,0.1340255696,0
8.256513026,0.125,0.136414932,0
8.296593186,0.125,0.1387911408,0
8.336673347,0.125,0.1411520419,0
8.376753507,0.125,0.143495463,0
8.416833667,0.125,0.1458192164,0
8.456913828,0.125,0.1481211024,0
8.496993988,0.125,0.1503989126,0
8.537074148,0.125,0.1526504335,0
8.577154309,0.125,0.1548734501,0
8.617234469,0.125,0.157065749,0
8.657314629,0.125,0.1592251223,0
8.69739479,0.125,0.1613493715,0
8.73747495,0.125,0.1634363107,0
8.77755511,0.125,0.1654837705,0
8.817635271,0.125,0.1674896019,0
8.857715431,0.125,0.1694516797,0
8.897795591,0.125,0.1713679065,0
8.937875752,0.125,0.1732362163,0
8.977955912,0.125,0.1750545782,0
9.018036072,0.125,0.1768209999,0
9.058116232,0.125,0.1785335317,0
9.098196393,0.125,0.1801902698,0
9.138276553,0.125,0.1817893598,0
9.178356713,0.125,0.1833290002,0
9.218436874,0.125,0.1848074459,0
9.258517034,0.125,0.1862230114,0
9.298597194,0.125,0.1875740739,0
9.338677355,0.125,0.1888590765,0
9.378757515,0.125,0.1900765312,0
9.418837675,0.125,0.1912250218,0
9.458917836,0.125,0.1923032064,0
9.498997996,0.125,0.1933098205,0
9.539078156,0.125,0.1942436788,0
9.579158317,0.125,0.1951036781,0
9.619238477,0.125,0.1958887994,0
9.659318637,0.125,0.1965981094,0
9.699398798,0.125,0.1972307632,0
9.739478958,0.125,0.197786005,0
9.779559118,0.125,0.1982631706,0
9.819639279,0.125,0.1986616878,0
9.859719439,0.125,0.1989810782,0
9.899799599,0.125,0.1992209579,0
9.93987976,0.125,0.1993810384,0
9.97995992,0.125,0.1994611269,0
10.02004008,0.125,0.1994611269,0.04084340993
10.06012024,0.125,0.1993810384,0.0705809772
10.1002004,0.125,0.1992209579,0.09082243164
10.14028056,0.125,0.1989810782,0.1070327707
10.18036072,0.125,0.1986616878,0.120803179
10.22044088,0.125,0.1982631706,0.1328632765
10.26052104,0.125,0.197786005,0.1436206462
10.3006012,0.125,0.1972307632,0.1533309521
10.34068136,0.125,0.1965981094,0.1621674902
10.38076152,0.125,0.1958887994,0.1702544978
10.42084168,0.125,0.1951036781,0.1776849298
10.46092184,0.125,0.1942436788,0.1845307328
10.501002,0.125,0.1933098205,0.1908491543
10.54108216,0.125,0.1923032064,0.196686812
10.58116232,0.125,0.1912250218,0.202082422
10.62124248,0.125,0.1900765312,0.2070686901
10.66132265,0.125,0.1888590765,0.2116736588
10.70140281,0.125,0.1875740739,0.2159216901
10.74148297,0.125,0.1862230114,0.2198341967
10.78156313,0.125,0.1848074459,0.2234301971
10.82164329,0.125,0.1833290002,0.2267267417
10.86172345,0.125,0.1817893598,0.229739246
10.90180361,0.125,0.1801902698,0.2324817541
10.94188377,0.125,0.1785335317,0.2349671486
10.98196393,0.125,0.1768209999,0.2372073208
11.02204409,0.125,0.1750545782,0.2392133083
11.06212425,0.125,0.1732362163,0.2409954088
11.10220441,0.125,0.1713679065,0.2425632741
11.14228457,0.125,0.1694516797,0.2439259877
11.18236473,0.125,0.1674896019,0.2450921309
11.22244489,0.125,0.1654837705,0.2460698376
11.26252505,0.125,0.1634363107,0.2468668413
11.30260521,0.125,0.1613493715,0.2474905147
11.34268537,0.125,0.1592251223,0.2479479042
11.38276553,0.125,0.157065749,0.2482457589
11.42284569,0.125,0.1548734501,0.248390556
11.46292585,0.125,0.1526504335,0.2483885227
11.50300601,0.125,0.1503989126,0.2482456552
11.54308617,0.125,0.1481211024,0.2479677354
11.58316633,0.125,0.1458192164,0.2475603455
11.62324649,0.125,0.143495463,0.2470288809
11.66332665,0.125,0.1411520419,0.2463785612
11.70340681,0.125,0.1387911408,0.2456144404
11.74348697,0.125,0.136414932,0.2447414156
11.78356713,0.125,0.1340255696,0.2437642353
11.82364729,0.125,0.131625186,0.242687506
11.86372745,0.125,0.1292158888,0.2415156986
11.90380762,0.125,0.1267997583,0.2402531544
11.94388778,0.125,0.1243788444,0.2389040897
11.98396794,0.125,0.121955164,0.237472601
12.0240481,0.125,0.1195306983,0.2359626689
12.06412826,0.125,0.1171073907,0.2343781621
12.10420842,0.125,0.1146871438,0.2327228407
12.14428858,0.125,0.112271818,0.2310003596
12.18436874,0.125,0.1098632288,0.2292142715
12.2244489,0.125,0.1074631451,0.2273680299
12.26452906,0.125,0.1050732875,0.2254649912
12.30460922,0.125,0.1026953264,0.2235084173
12.34468938,0.125,0.1003308806,0.2215014779
12.38476954,0.125,0.09798151573,0.2194472529
12.4248497,0.125,0.09564874329,0.2173487339
12.46492986,0.125,0.09333401925,0.2152088264
12.50501002,0.125,0.09103874318,0.2130303515
12.54509018,0.125,0.08876425738,0.2108160479
12.58517034,0.125,0.08651184612,0.2085685732
12.6252505,0.125,0.08428273511,0.2062905057
12.66533066,0.125,0.08207809101,0.203984346
12.70541082,0.125,0.07989902109,0.2016525184
12.74549098,0.125,0.07774657306,0.1992973724
12.78557114,0.125,0.07562173498,0.1969211842
12.8256513,0.125,0.07352543529,0.1945261579
12.86573146,0.125,0.07145854298,0.192114427
12.90581162,0.125,0.06942186784,0.1896880558
12.94589178,0.125,0.0674161609,0.1872490404
12.98597194,0.125,0.06544211484,0.1847993105
