time,thdRMS.rootMeanSquare.mean.x,thdRMS.harmonic.mean2.x,thdRMS.harmonic.mean1.x,thd1.rootMeanSquare.mean.x,thd1.harmonic.mean2.x,thd1.harmonic.mean1.x
0,0,0,0,0,0,0
0.0001,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.02018714629,0.01101010592,6.888452736e-05,0.001756939447,0.01101010592,6.888452736e-05,0.001756939447
0.02027318506,0.03413990549,0.0002138458013,0.00373524159,0.03413990549,0.0002138458013,0.00373524159
0.02041170198,0.1159835235,0.0007285329686,0.008437284574,0.1159835235,0.0007285329686,0.008437284574
0.0205502189,0.2739741191,0.001727671361,0.01495502737,0.2739741191,0.001727671361,0.01495502737
0.02069770992,0.5506467078,0.003491061674,0.02379519249,0.5506467078,0.003491061674,0.02379519249
0.02085337202,0.9887789258,0.006312768058,0.03510997568,0.9887789258,0.006312768058,0.03510997568
0.02102379104,1.665603475,0.01073180611,0.04962234866,1.665603475,0.01073180611,0.04962234866
0.02121796912,2.712406051,0.01769272742,0.06852315583,2.712406051,0.01769272742,0.06852315583
0.02152146629,4.96567265,0.03314100395,0.1020614829,4.96567265,0.03314100395,0.1020614829
0.0217192768,6.832791898,0.04639072137,0.1257779703,6.832791898,0.04639072137,0.1257779703
0.02196260776,9.523487569,0.06617685391,0.1560550342,9.523487569,0.06617685391,0.1560550342
0.02220593871,12.58577421,0.08968873014,0.1866556653,12.58577421,0.08968873014,0.1866556653
0.0224567599,16.04315682,0.1175346443,0.2176052573,16.04315682,0.1175346443,0.2176052573
0.02271634562,19.83835391,0.1497589512,0.2481139566,19.83835391,0.1497589512,0.2481139566
0.02299059067,23.97109131,0.1869382911,0.2778300609,23.97109131,0.1869382911,0.2778300609
0.02328684853,28.4549798,0.2299021023,0.3062723673,28.4549798,0.2299021023,0.3062723673
0.02362361042,33.45142656,0.2811861645,0.3333272029,33.45142656,0.2811861645,0.3333272029
0.02401534212,39.02550427,0.3427304074,0.3572781927,39.02550427,0.3427304074,0.3572781927
0.02440707382,44.32521543,0.4051542898,0.3730881031,44.32521543,0.4051542898,0.3730881031
0.02479880552,49.42129281,0.4678089984,0.3809538347,49.42129281,0.4678089984,0.3809538347
0.02519884828,54.54855926,0.5318156397,0.3809774494,54.54855926,0.5318156397,0.3809774494
0.02560552871,59.84154339,0.59685966,0.3727044176,59.84154339,0.59685966,0.3727044176
0.02601634516,65.4148037,0.6622932246,0.3556450151,65.4148037,0.6622932246,0.3556450151
0.02643250323,71.36955916,0.7274932336,0.3292281009,71.36955916,0.7274932336,0.3292281009
0.02686692043,77.86796556,0.7927075235,0.2920224844,77.86796556,0.7927075235,0.2920224844
0.0273409698,85.01310679,0.8576263474,0.241552058,85.01310679,0.8576263474,0.241552058
0.02781501917,91.69058241,0.9124770037,0.1840301446,91.69058241,0.9124770037,0.1840301446
0.02828906854,97.2520308,0.9542198371,0.1247567003,97.2520308,0.9542198371,0.1247567003
0.02876311792,101.169297,0.9815116624,0.07048318015,101.169297,0.9815116624,0.07048318015
0.02923716729,103.2856487,0.9954585464,0.02829033436,103.2856487,0.9954585464,0.02829033436
0.02971851281,103.9626747,0.9997661605,0.003964683335,103.9626747,0.9997661605,0.003964683335
0.03019985833,104.0134137,1.000083925,0.002003151591,104.0134137,1.000083925,0.002003151591
