time,l.i,c.v,r1.i,r.i,opAmp.out.i,opAmp.out.v
0.005339390552,1.34696772,-5.326009898,-0.0005325654499,-4.970255823e-07,0.0005330624755,-5.330980154
0.005466266425,0.3347458302,-9.775935699,-0.0009775283362,-9.122946119e-07,0.0009784406308,-9.785058645
0.005593142298,-0.879175427,-8.335321673,-0.0008334765466,-7.778558784e-07,0.0008342544025,-8.343100232
0.005720018171,-1.563342654,-1.872232582,-0.000187210765,-1.747175667e-07,0.0001873854826,-1.873979758
0.005846894044,-1.305509886,5.718958197,0.0005718576578,5.336956901e-07,-0.0005723913534,5.724295154
0.005973769917,-0.2610380042,9.864146881,0.0009863488657,9.205265181e-07,-0.0009872693923,9.873352146
0.00610064579,0.9407202235,8.065644659,0.0008065106447,7.52689501e-07,-0.0008072633342,8.073171554
0.006227521663,1.575640409,1.407163324,0.0001407069425,1.313170992e-07,-0.0001408382596,1.408476495
0.006354397536,1.261150686,-6.099189899,-0.0006098782907,-5.691790794e-07,0.0006104474698,-6.10488169
0.006481273409,0.1867508192,-9.930431239,-0.0009929768592,-9.267122035e-07,0.0009939035714,-9.939698361
0.006608149281,-1.000173284,-7.778042711,-0.0007777523691,-7.25850361e-07,0.0007784782194,-7.785301214
0.006735025154,-1.584435724,-0.9389717457,-9.389090891e-05,-8.762525559e-08,9.397853417e-05,-0.9398479982
0.006861901027,-1.213988756,6.465859984,0.0006465428524,6.033968927e-07,-0.0006471462493,6.471893953
0.0069887769,-0.1120494059,9.974641696,0.00099739761,9.308379428e-07,-0.0009983284479,9.983950076
0.007115652773,1.057402482,7.473155315,0.000747265664,6.973981354e-07,-0.0007479630621,7.480129297
0.007242528646,1.58970909,0.4686985705,4.686672948e-05,4.37391564e-08,-4.691046864e-05,0.469135962
0.007369404519,1.164128957,-6.818153587,-0.0006817698619,-6.362730864e-07,0.000682406135,-6.824516318
0.007496280392,0.03709981364,-9.996680244,-0.0009996013177,-9.328945897e-07,0.001000534212,-10.00600919
0.007623156265,-1.112280636,-7.151660373,-0.0007151183151,-6.673960862e-07,0.0007157857112,-7.158334334
0.007750032137,-1.591448828,0.002610865762,2.610691541e-07,2.436471393e-10,-2.613128013e-07,0.002613302099
0.00787690801,-1.11168215,7.155287807,0.0007154810343,6.677346e-07,-0.0007161487689,7.161965153
0.008003783883,0.03793135857,9.996498157,0.0009995831102,9.328775973e-07,-0.001000515988,10.00582693
0.008130659756,1.164685793,6.814272691,0.0006813817982,6.359109195e-07,-0.0006820177091,6.8206318
0.008257535629,1.589651113,-0.4739089359,-4.738773125e-05,-4.422538999e-08,4.743195664e-05,-0.4743511898
0.008384411502,1.056764942,-7.476513452,-0.0007476014552,-6.977115181e-07,0.0007482991667,-7.483490567
0.008511287375,-0.1128773323,-9.974096102,-0.0009973430542,-9.307870277e-07,0.0009982738412,-9.983403972
0.008638163248,-1.214501496,-6.461742393,-0.0006461311208,-6.030126373e-07,0.0006467341334,-6.467772519
0.008765039121,-1.584319981,0.9441480503,9.440850484e-05,8.810831062e-08,-9.449661315e-05,0.9450291335
0.008891914993,-0.9994994317,7.781116694,0.0007780597469,7.261372265e-07,-0.0007787858841,7.788378067
0.009018790866,0.1875715205,9.929524136,0.000992886155,9.266275523e-07,-0.0009938127826,9.938790412
0.009145666739,1.261617047,6.094853254,0.0006094446551,5.687743818e-07,-0.0006100134295,6.100540998
0.009272542612,1.575467324,-1.412282986,-0.0001412188746,-1.317948683e-07,0.0001413506694,-1.413600934
0.009399418485,0.9400129342,-8.068420667,-0.0008067882271,-7.529485594e-07,0.0008075411756,-8.075950153
0.009526294358,-0.2618478978,-9.862881595,-0.0009862223456,-9.20408441e-07,0.000987142754,-9.872085679
0.009653170231,-1.305927751,-5.714420955,-0.0005714039638,-5.332722727e-07,0.0005719372361,-5.719753678
0.009780046104,-1.563112863,1.877273208,0.0001877147939,1.7518796e-07,-0.0001878899819,1.879025087
0.009906921977,-0.8784377012,8.337786962,0.0008337230591,7.780859403e-07,-0.0008345011451,8.345567822
0.01,0.0001287327005,9.99911757,0.000999845034,9.331220421e-07,-0.001000778156,10.00844879
