time,r_mAirPar.port_n.Phi,coil.Phi,r_mFe.B,r_mFe.mu_r,r_mFe.H,coil.i,r_mLeak.port_p.Phi
0.0188984101,0.0005019918355,0.0005756893762,-0.8031869368,6776.86399,-94.3143992,-0.1473955489,-7.369777447e-05
0.01970291479,0.0001275839498,0.0001501943123,-0.2041343197,3879.123056,-41.87671485,-0.04522073145,-2.261036572e-05
0.02103266919,-0.0004879436077,-0.000559739892,0.7807097724,6722.460119,92.4169256,0.1435921839,7.179609193e-05
0.02151784839,-0.0006965059469,-0.0008006447018,1.114409515,6354.473046,139.5582148,0.2082783788,0.0001041391894
0.02177004966,-0.0007842157873,-0.000918761034,1.25474526,4194.762064,238.0336563,0.2695636763,0.0001347818381
0.02192863959,-0.0008253739195,-0.0009900303038,1.320598271,2949.250855,356.3273403,0.3295582996,0.0001647791498
0.02209585192,-0.0008583600649,-0.001062383964,1.373376104,2092.357144,522.3286001,0.4084920563,0.0002042460282
0.02226306426,-0.0008832645426,-0.001131648461,1.413223268,1574.268584,714.3681547,0.4969940909,0.0002484970455
0.02244427229,-0.0009040434303,-0.001202981242,1.446469488,1227.948045,937.3880676,0.5980454701,0.0002990227351
0.02263953223,-0.0009214224763,-0.001275234032,1.474275962,992.5667303,1181.977491,0.7077221684,0.0003538610842
0.02286131608,-0.0009367901085,-0.001351159802,1.498864174,820.3892895,1453.892958,0.8288133168,0.0004144066584
0.02311435424,-0.0009503099918,-0.001429363083,1.520495987,693.0938952,1745.755184,0.9581559566,0.0004790779783
0.02341265294,-0.0009623115996,-0.001509408755,1.539698559,596.5513905,2053.893767,1.094229496,0.0005471147479
0.02377076177,-0.0009726006858,-0.001587268713,1.556161097,524.573023,2360.688788,1.229357417,0.0006146787085
0.02421670695,-0.000980677409,-0.001655153395,1.569083854,474.2723127,2632.743307,1.348961643,0.0006744808214
0.02480294545,-0.000984942331,-0.001693632659,1.57590773,449.7206792,2788.547608,1.417381884,0.0007086909421
0.02570459792,-0.0009788421874,-0.001639177342,1.5661475,485.2537107,2568.348377,1.320667727,0.0006603338634
0.02686810488,-0.0009414746333,-0.00137621937,1.506359413,773.8896498,1548.958218,0.8710023499,0.0004355011749
0.02755890447,-0.0008837336369,-0.001130847755,1.413973819,1565.611006,718.6999892,0.4989707641,0.0002494853821
0.02794612738,-0.0008150198755,-0.0009692885969,1.304031801,3251.244212,319.1748965,0.3112617109,0.0001556308555
0.0283333503,-0.0006909363891,-0.0007931079186,1.105498223,6436.658512,136.6745698,0.2058469024,0.0001029234512
0.02872057322,-0.0005273702878,-0.0006045192103,0.8437924605,6864.500011,97.81756919,0.1542990641,7.714953206e-05
0.02943302196,-0.0002012789552,-0.000234207581,0.3220463283,4798.24245,53.41045763,0.06585725249,3.292862625e-05
0.03071890892,0.0003978074662,0.0004574477398,-0.6364919459,6295.635235,-80.45323116,-0.119280433,-5.964021649e-05
0.03153966815,0.00075172849,0.0008717609321,-1.202765584,5154.562087,-185.6860823,-0.239985709,-0.0001199928545
0.03173066319,0.0008099733979,0.0009612825169,-1.295957437,3402.480987,-303.0994629,-0.3032247939,-0.000151612397
0.03188815923,0.0008457336071,0.001032565505,-1.353173771,2398.777836,-448.9042113,-0.3739954036,-0.0001869977018
0.03205260402,0.0008740881686,0.001104308414,-1.39854107,1751.741847,-635.3239909,-0.4607943329,-0.0002303971665
0.0322171646,0.0008958542082,0.001173144258,-1.433366733,1355.537274,-841.4648757,-0.5547409467,-0.0002773704734
0.03240085859,0.0009148233901,0.001246248191,-1.463717424,1076.540764,-1081.974185,-0.6629870328,-0.0003314935164
0.03260012769,0.000930949811,0.001320813202,-1.489519698,882.1567367,-1343.663845,-0.7798080184,-0.0003899040092
0.03282960268,0.0009455030942,0.001400202969,-1.512804951,735.9652738,-1635.74556,-0.9094650639,-0.0004547325319
0.0330928888,0.0009584193859,0.001482249703,-1.533471017,626.295526,-1948.437137,-1.04770567,-0.0005238528349
0.03340561896,0.0009699654377,0.001566443395,-1.5519447,542.1292662,-2278.051433,-1.19298868,-0.0005964943398
0.03378310415,0.0009798464889,0.001647870297,-1.567754382,479.2125782,-2603.394304,-1.336067415,-0.0006680337074
0.03425664372,0.0009874649538,0.001717295172,-1.579943926,435.8142063,-2884.89776,-1.459668934,-0.000729834467
0.03488647968,0.00099095769,0.001751228773,-1.585532304,417.2837445,-3023.665633,-1.520542861,-0.0007602714303
0.03590496591,0.0009817162542,0.001664359516,-1.570746007,468.168764,-2669.891825,-1.365279784,-0.0006826398918
0.03708838409,0.0009384441653,0.0013586709,-1.501510665,803.6689599,-1486.76169,-0.843407436,-0.000421703718
0.03773682026,0.0008776876207,0.001112126322,-1.404300193,1680.276848,-665.0728941,-0.4744493518,-0.0002372246759
0.0381192184,0.0008016500583,0.0009455235779,-1.282640093,3656.120364,-279.173674,-0.2910906845,-0.0001455453423
0.03850161653,0.0006678899944,0.0007657254353,-1.068623991,6705.018804,-126.8279742,-0.1966894475,-9.834472374e-05
