time,currentSource.pin_p.reference.gamma,inductor.i.im,inductor.i.re
0.11,0.07602723337,-0.02428208088,1.050300938
0.111,0.0774158236,-0.02454810896,1.051266179
0.112,0.07881698021,-0.02481558789,1.052242051
0.113,0.08023070319,-0.02508438178,1.0532284
0.114,0.08165699254,-0.02535452697,1.054225306
0.115,0.08309584825,-0.02562605817,1.055232848
0.116,0.08454727034,-0.02589900856,1.056251099
0.117,0.0860112588,-0.02617340967,1.057280135
0.118,0.08748781363,-0.02644929146,1.058320026
0.119,0.08897693483,-0.02672668231,1.059370843
0.12,0.09047862241,-0.02700560898,1.060432653
0.121,0.09199287635,-0.02728609665,1.061505524
0.122,0.09351969666,-0.02756816891,1.062589518
0.123,0.09505908334,-0.02785184775,1.063684699
0.124,0.0966110364,-0.02813715356,1.064791128
0.125,0.09817555582,-0.02842410517,1.065908862
0.126,0.09975264162,-0.02871271976,1.067037959
0.127,0.1013422938,-0.02900301298,1.068178473
0.128,0.1029445123,-0.02929499883,1.069330458
0.129,0.1045592972,-0.02958868976,1.070493966
0.13,0.1061866485,-0.0298840966,1.071669044
0.131,0.1078265662,-0.0301812286,1.072855742
0.132,0.1094790502,-0.03048009341,1.074054103
0.133,0.1111441006,-0.03078069708,1.075264173
0.134,0.1128217173,-0.03108304409,1.076485993
0.135,0.1145119005,-0.03138713731,1.077719603
0.136,0.11621465,-0.03169297802,1.078965041
0.137,0.1179299658,-0.03200080036,1.080222698
0.138,0.1196578481,-0.0323108382,1.08149295
0.139,0.1213982967,-0.03262269057,1.082775226
0.14,0.1231513117,-0.03293641557,1.084069653
0.141,0.124916893,-0.03325206849,1.085376354
0.142,0.1266950407,-0.03356970188,1.086695448
0.143,0.1284857548,-0.03388936545,1.088027051
0.144,0.1302890353,-0.03421110617,1.089371274
0.145,0.1321048821,-0.03453496819,1.090728224
0.146,0.1339332954,-0.0348609929,1.092098005
0.147,0.1357742749,-0.03518921889,1.093480718
0.148,0.1376278209,-0.03551968197,1.094876458
0.149,0.1394939332,-0.03585241515,1.096285316
0.15,0.1413726119,-0.03618744869,1.097707381
0.151,0.1432638569,-0.03652481001,1.099142737
0.152,0.1451676684,-0.0368645238,1.100591464
0.153,0.1470840462,-0.03720661192,1.102053638
0.154,0.1490129904,-0.03755109348,1.103529331
0.155,0.1509545009,-0.03789798477,1.105018613
0.156,0.1529085778,-0.03824729932,1.106521547
0.157,0.1548752211,-0.03859904787,1.108038195
0.158,0.1568544308,-0.03895323837,1.109568612
0.159,0.1588462068,-0.03930987597,1.111112852
0.16,0.1608505492,-0.03966896306,1.112670963
0.161,0.1628674579,-0.04003049924,1.114242991
0.162,0.1648969331,-0.0403944813,1.115828977
0.163,0.1669389746,-0.04076090326,1.117428957
0.164,0.1689935825,-0.04112975638,1.119042965
0.165,0.1710607567,-0.04150224582,1.120672981
0.166,0.1731404973,-0.04187737636,1.122317448
0.167,0.1752328043,-0.04225509073,1.123976321
0.168,0.1773376777,-0.04263548376,1.125649804
0.169,0.1794551174,-0.04301864522,1.12733809
0.17,0.1815851235,-0.04340465979,1.129041366
0.171,0.183727696,-0.0437936071,1.130759813
0.172,0.1858828348,-0.04418556169,1.132493601
0.173,0.18805054,-0.04458059301,1.134242895
0.174,0.1902308116,-0.04497876547,1.13600785
0.175,0.1924236496,-0.04538013837,1.137788615
0.176,0.1946290539,-0.04578476596,1.139585332
0.177,0.1968470246,-0.04619269741,1.141398132
0.178,0.1990775617,-0.04660397681,1.143227143
0.179,0.2013206651,-0.04701864317,1.145072481
0.18,0.2035763349,-0.04743673043,1.146934256
0.181,0.2058445711,-0.04785826747,1.148812572
0.182,0.2081253737,-0.04828327809,1.150707523
0.183,0.2104187426,-0.04871178099,1.152619197
0.184,0.2127246779,-0.04914378982,1.154547671
0.185,0.2150431795,-0.04957931315,1.15649302
0.186,0.2173742476,-0.05001835447,1.158455306
0.187,0.219717882,-0.05046091221,1.160434585
0.188,0.2220740827,-0.05090697971,1.162430908
0.189,0.2244428499,-0.05135654524,1.164444314
0.19,0.2268241834,-0.05180959199,1.166474837
0.191,0.2292180833,-0.05226609809,1.168522503
0.192,0.2316245495,-0.05272603658,1.17058733
0.193,0.2340435822,-0.05319097342,1.172671926
0.194,0.2364751812,-0.05366045696,1.17477563
0.195,0.2389193465,-0.05413355713,1.176896995
0.196,0.2413760783,-0.05461044448,1.17903636
0.197,0.2438453764,-0.05509127986,1.18119405
0.198,0.2463272409,-0.0555762145,1.183370376
0.199,0.2488216717,-0.05606538995,1.185565632
0.2,0.2513286689,-0.05655893813,1.187780099
0.201,0.2538482325,-0.05705698128,1.190014043
0.202,0.2563803625,-0.05755963199,1.192267716
0.203,0.2589250588,-0.0580669932,1.194541352
0.204,0.2614823215,-0.05857915819,1.196835173
0.205,0.2640521506,-0.05909621059,1.199149387
0.206,0.266634546,-0.05961822436,1.201484185
0.207,0.2692295078,-0.06014526382,1.203839744
0.208,0.271837036,-0.06067738362,1.206216227
0.209,0.2744571306,-0.06121462876,1.20861378
0.21,0.2770897915,-0.0617570346,1.211032538
0.211,0.2797350188,-0.06230462681,1.213472618
0.212,0.2823928125,-0.06285742143,1.215934122
0.213,0.2850631725,-0.06341542484,1.21841714
0.214,0.2877460989,-0.06397863376,1.220921746
0.215,0.2904415917,-0.06454703525,1.223447998
0.216,0.2931496509,-0.06512060672,1.22599594
0.217,0.2958702764,-0.06569931592,1.228565602
0.218,0.2986034683,-0.06628312096,1.231156998
0.219,0.3013492265,-0.06687197027,1.233770129
0.22,0.3041075512,-0.06746580264,1.236404979
0.221,0.3068784422,-0.06806454719,1.239061518
0.222,0.3096618995,-0.06867262149,1.241746829
0.223,0.3124579233,-0.06928653981,1.244455548
0.224,0.3152665134,-0.06990574859,1.24718688
0.225,0.3180876699,-0.07053056209,1.2499414
0.226,0.3209213927,-0.0711612753,1.252719653
0.227,0.323767682,-0.07179816393,1.255522159
0.228,0.3266265376,-0.0724414844,1.258349404
0.229,0.3294979595,-0.07309147387,1.261201851
0.23,0.3323819479,-0.07374835022,1.26407993
0.231,0.3352785026,-0.07441231207,1.266984045
0.232,0.3381876237,-0.07508353874,1.269914572
0.233,0.3411093111,-0.0757621903,1.272871856
0.234,0.3440435649,-0.07644840752,1.275856215
0.235,0.3469903851,-0.07714231191,1.278867939
0.236,0.3499497717,-0.07784400571,1.281907288
0.237,0.3529217246,-0.07855357189,1.284974495
0.238,0.3559062439,-0.07927107411,1.288069762
0.239,0.3589033296,-0.07999655679,1.291193266
0.24,0.3619129817,-0.08073004507,1.294345152
0.241,0.3649352001,-0.0814715448,1.297525539
0.242,0.3679699849,-0.08222104257,1.300734517
0.243,0.371017336,-0.08297850569,1.303972145
0.244,0.3740772535,-0.0837438822,1.307238458
0.245,0.3771497374,-0.08451710086,1.310533458
0.246,0.3802347877,-0.08529807114,1.313857122
0.247,0.3833324044,-0.08608668327,1.317209395
0.248,0.3864425874,-0.08688280818,1.320590196
0.249,0.3895653367,-0.08768629753,1.323999416
0.25,0.3927006525,-0.0884969837,1.327436915
0.251,0.3958485346,-0.08932445944,1.330917124
0.252,0.3990089831,-0.09016039051,1.334427965
0.253,0.402181998,-0.09100414492,1.337968598
0.254,0.4053675792,-0.09185634821,1.341540045
0.255,0.4085657268,-0.09271758522,1.345143271
0.256,0.4117764408,-0.09358840006,1.348779188
0.257,0.4149997211,-0.09446929616,1.352448649
0.258,0.4182355678,-0.09536073623,1.356152453
0.259,0.4214839809,-0.09626314226,1.359891341
0.26,0.4247449604,-0.09717689556,1.363665998
0.261,0.4280185062,-0.0981023367,1.367477053
0.262,0.4313046184,-0.09903976557,1.37132508
0.263,0.434603297,-0.09998944134,1.375210596
0.264,0.4379145419,-0.1009515825,1.37913406
0.265,0.4412383532,-0.1019263667,1.383095878
0.266,0.4445747309,-0.1029139311,1.387096397
0.267,0.447923675,-0.1039143721,1.391135909
0.268,0.4512851854,-0.1049277451,1.395214649
0.269,0.4546592622,-0.1059540653,1.399332799
0.27,0.4580459054,-0.1069933067,1.403490479
0.271,0.4614451149,-0.1080454029,1.407687758
0.272,0.4648568908,-0.1091102467,1.411924647
0.273,0.4682812331,-0.1101876903,1.416201099
0.274,0.4717181417,-0.1112775449,1.420517014
0.275,0.4751676167,-0.1123795812,1.424872233
0.276,0.4786296581,-0.1134935294,1.429266542
0.277,0.4821042659,-0.1146190785,1.433699672
0.278,0.48559144,-0.1157558772,1.438171295
0.279,0.4890911805,-0.1169035333,1.442681028
0.28,0.4926034874,-0.1180808866,1.447254573
0.281,0.4961283606,-0.1192737602,1.451873566
0.282,0.4996658002,-0.1204779817,1.456532517
0.283,0.5032158062,-0.1216949455,1.461233404
0.284,0.5067783786,-0.122925953,1.465978088
0.285,0.5103535173,-0.1241722132,1.470768316
0.286,0.5139412224,-0.1254348424,1.47560572
0.287,0.5175414938,-0.1267148642,1.480491814
0.288,0.5211543317,-0.1280132095,1.485428002
0.289,0.5247797359,-0.1293307167,1.490415567
0.29,0.5284177065,-0.1306681314,1.495455682
0.291,0.5320682434,-0.1320261065,1.500549403
0.292,0.5357313467,-0.1334052024,1.505697668
0.293,0.5394070164,-0.1348058868,1.510901305
0.294,0.5430952525,-0.1362285346,1.516161023
0.295,0.5467960549,-0.1376734283,1.521477418
0.296,0.5505094237,-0.1391407574,1.526850969
0.297,0.5542353589,-0.1406306191,1.532282041
0.298,0.5579738604,-0.1421430177,1.537770885
0.299,0.5617249283,-0.143677865,1.543317634
0.3,0.5654885626,-0.14523498,1.548922308
0.301,0.5692647633,-0.146814089,1.554584813
0.302,0.5730535303,-0.148414826,1.560304936
0.303,0.5768548637,-0.1500367319,1.566082352
0.304,0.5806687634,-0.1516792551,1.571916619
0.305,0.5844952296,-0.1533417516,1.577807183
0.306,0.5883342621,-0.1550234843,1.583753371
0.307,0.592185861,-0.1567236237,1.589754396
0.308,0.5960500262,-0.1584412477,1.595809358
0.309,0.5999267578,-0.1601753413,1.60191724
0.31,0.6038160558,-0.1619797436,1.608142343
0.311,0.6077179202,-0.1638038682,1.614426944
0.312,0.6116323509,-0.1656459223,1.620768975
0.313,0.615559348,-0.16750919,1.627172332
0.314,0.6194989115,-0.16939672,1.633640663
0.315,0.6234510413,-0.1713113263,1.640177366
0.316,0.6274157375,-0.1732555879,1.646785587
0.317,0.6313930001,-0.1752318487,1.653468224
0.318,0.6353828291,-0.1772422178,1.660227927
0.319,0.6393852244,-0.1792885692,1.667067093
0.32,0.6434001861,-0.1813725418,1.673987871
0.321,0.6474277141,-0.1834955398,1.680992162
0.322,0.6514678086,-0.1856587322,1.688081614
0.323,0.6555204694,-0.1878630532,1.695257627
0.324,0.6595856966,-0.1901092018,1.702521352
0.325,0.6636634901,-0.1923976423,1.70987369
0.326,0.66775385,-0.1947286036,1.717315291
0.327,0.6718567763,-0.1971020802,1.724846556
0.328,0.675972269,-0.1995178311,1.732467639
0.329,0.680100328,-0.2019753806,1.74017844
0.33,0.6842409534,-0.2044740179,1.747978611
0.331,0.6883941452,-0.2070127973,1.755867557
0.332,0.6925599033,-0.2095905381,1.763844428
0.333,0.6967382278,-0.2122058246,1.77190813
0.334,0.7009291187,-0.2148570061,1.780057316
0.335,0.705132576,-0.217542197,1.788290389
0.336,0.7093485996,-0.2202592767,1.796605504
0.337,0.7135771896,-0.2230058895,1.805000566
