time,mass3.s,mass3.v,mass2.s,mass2.v,mass1.s,mass1.v,springDamper3.s_rel,damper1.s_rel,damper2.s_rel,springDamper3.v_rel,damper1.v_rel,damper2.v_rel
0,3,10,3,10,3,10,1,1,1,-10,-10,-10
0.01863558801,3.148960801,6.274484548,3.148960801,6.274484548,3.148969393,6.275765184,0.8510391986,0.8510306074,0.8510391986,-6.274484548,-6.275765184,-6.274484548
0.03263433691,3.223057022,4.419444907,3.223057022,4.419444907,3.223096187,4.422595324,0.776942978,0.7769038129,0.776942978,-4.419444907,-4.422595324,-4.419444907
0.05209068168,3.29110602,2.713164472,3.29110602,2.713164472,3.291234132,2.719146697,0.7088939798,0.7087658679,0.7088939798,-2.713164472,-2.719146697,-2.713164472
0.07154702645,3.332857364,1.663277869,3.332857364,1.663277869,3.333127422,1.671814448,0.6671426363,0.6668725779,0.6671426363,-1.663277869,-1.671814448,-1.663277869
0.09350497739,3.360893371,0.9547326856,3.360893371,0.9547326856,3.361377296,0.9655675978,0.6391066289,0.6386227039,0.6391066289,-0.9547326856,-0.9655675978,-0.9547326856
0.1163488944,3.377429384,0.5328810131,3.377429384,0.5328810131,3.378181844,0.5454538948,0.6225706156,0.6218181558,0.6225706156,-0.5328810131,-0.5454538948,-0.5328810131
0.1405946938,3.38702575,0.2836923256,3.38702575,0.2836923256,3.388099295,0.2975176157,0.6129742499,0.6119007046,0.6129742499,-0.2836923256,-0.2975176157,-0.2836923256
0.1657033182,3.392215361,0.1441619227,3.392215361,0.1441619227,3.393647286,0.1588178574,0.6077846386,0.6063527143,0.6077846386,-0.1441619227,-0.1588178574,-0.1441619227
0.1916880951,3.394862172,0.06776136012,3.394862172,0.06776136012,3.396682329,0.08294176903,0.6051378275,0.6033176708,0.6051378275,-0.06776136012,-0.08294176903,-0.06776136012
0.2183159714,3.396066059,0.02713143986,3.396066059,0.02713143986,3.398294998,0.04262505042,0.6039339408,0.601705002,0.6039339408,-0.02713143986,-0.04262505042,-0.02713143986
0.2454828929,3.396482992,0.005941278439,3.396482992,0.005941278439,3.399135502,0.02161244603,0.6035170085,0.6008644978,0.6035170085,-0.005941278439,-0.02161244603,-0.005941278439
0.2729777911,3.39648042,-0.004896342904,3.39648042,-0.004896342904,3.399565248,0.01086880972,0.6035195797,0.6004347524,0.6035195797,0.004896342904,-0.01086880972,0.004896342904
0.3004726892,3.39626238,-0.01034386111,3.39626238,-0.01034386111,3.399781365,0.005465879459,0.6037376202,0.6002186352,0.6037376202,0.01034386111,-0.005465879459,0.01034386111
0.3315836989,3.395888372,-0.01331619651,3.395888372,-0.01331619651,3.399899553,0.002511174064,0.6041116285,0.600100447,0.6041116285,0.01331619651,-0.002511174064,0.01331619651
0.3649163428,3.395417578,-0.0147346465,3.395417578,-0.0147346465,3.399956345,0.001091371537,0.6045824221,0.6000436549,0.6045824221,0.0147346465,-0.001091371537,0.0147346465
0.4022737717,3.394853083,-0.01538359243,3.394853083,-0.01538359243,3.399982843,0.000428913993,0.6051469168,0.6000171566,0.6051469168,0.01538359243,-0.000428913993,0.01538359243
0.4443588534,3.394199224,-0.01564081374,3.394199224,-0.01564081374,3.399994009,0.0001497747339,0.605800776,0.600005991,0.605800776,0.01564081374,-0.0001497747339,0.01564081374
0.4932788978,3.393431675,-0.01571756182,3.393431675,-0.01571756182,3.399998237,4.408576429e-05,0.6065683255,0.6000017634,0.6065683255,0.01571756182,-4.408576429e-05,0.01571756182
0.5515459247,3.392515689,-0.01571532727,3.392515689,-0.01571532727,3.399999589,1.027247743e-05,0.6074843112,0.6000004109,0.6074843112,0.01571532727,-1.027247743e-05,0.01571532727
0.6235909985,3.391384704,-0.01567877831,3.391384704,-0.01567877831,3.399999932,1.696054505e-06,0.6086152957,0.6000000678,0.6086152957,0.01567877831,-1.696054505e-06,0.01567877831
0.7169466255,3.389923637,-0.01562181172,3.389923637,-0.01562181172,3.399999993,1.642532526e-07,0.6100763633,0.6000000066,0.6100763633,0.01562181172,-1.642532526e-07,0.01562181172
0.846644537,3.38790276,-0.0155410094,3.38790276,-0.0155410094,3.4,6.316695294e-09,0.6120972401,0.6000000003,0.6120972401,0.0155410094,-6.316695294e-09,0.0155410094
1,3.385526767,-0.01544582354,3.385526767,-0.01544582354,3.4,1.272645239e-10,0.6144732329,0.6,0.6144732329,0.01544582354,-1.272645239e-10,0.01544582354
