time,qd,q
0,0,1
0.003300330033,-0.009900936177,0.9999836618
0.03205140437,-0.09610483145,0.9984594569
0.1016928158,-0.303503419,0.9845279198
0.2070871406,-0.6080254294,0.9363590973
0.3403885454,-0.9630269679,0.8311796955
0.510916832,-1.340387585,0.6333406448
0.7131616551,-1.635445151,0.3293018561
0.9396491529,-1.729265026,-0.05669335389
1.16742558,-1.558681594,-0.4360854594
1.428115478,-1.072894512,-0.7850471619
1.717323735,-0.2880815843,-0.9860710752
2.01209456,0.5832588973,-0.9415958495
2.306865385,1.305835506,-0.6569608005
2.644372044,1.716936449,-0.1318169794
2.981878702,1.557824089,0.437104524
3.319385361,0.88134154,0.8608587081
3.688076047,-0.1811021616,0.9945176736
4.056766734,-1.172167875,0.7362098483
4.428276364,-1.702816836,0.1829437114
4.804668415,-1.545843075,-0.4510570523
5,-1.198909193,-0.7217120709
