time,housing.phi,housing.w,load.w,load.phi,shaft.w,shaft.phi,springDamper.phi_rel,springDamper.w_rel
0,0,0,0,0,0,0,0,0
0.0001,-7.407250115e-20,-3.703604669e-15,5.555555148e-16,1.111111056e-20,9.999999074e-08,3.333333148e-12,-7.407250115e-20,-3.703604669e-15
0.005377017544,-3.280380704e-11,-3.032765601e-08,4.643029574e-09,4.993451607e-12,0.0002890457928,5.181235735e-07,-3.280380704e-11,-3.032765601e-08
0.01738974713,-1.017145407e-08,-2.758756086e-06,5.069651945e-07,1.764247908e-09,0.003015583632,1.749965256e-05,-1.017145407e-08,-2.758756086e-06
0.02940247671,-1.086457001e-07,-1.563758307e-05,4.128565917e-06,2.431518139e-08,0.008576246937,8.43234365e-05,-1.086457001e-07,-1.563758307e-05
0.04623169146,-6.225146997e-07,-4.627070357e-05,2.506419676e-05,2.324982918e-07,0.02095595634,0.0003255056877,-6.225146997e-07,-4.627070357e-05
0.06637377568,-1.957927633e-06,-8.901914017e-05,0.0001053675235,1.406930131e-06,0.04229865558,0.0009512452144,-1.957927633e-06,-8.901914017e-05
0.08678084086,-4.413809708e-06,-0.0001540131012,0.0003036843046,5.321565499e-06,0.07024773833,0.002089770838,-4.413809708e-06,-0.0001540131012
0.1089070259,-8.624320111e-06,-0.0002274162815,0.0007391557106,1.634168832e-05,0.106288141,0.004033365027,-8.624320111e-06,-0.0002274162815
0.1326765445,-1.513784821e-05,-0.0003220036015,0.001588035601,4.307708811e-05,0.1495633945,0.007067094854,-1.513784821e-05,-0.0003220036015
0.1590146439,-2.491055372e-05,-0.0004201107265,0.00316957062,0.0001040346211,0.2000303926,0.0116687221,-2.491055372e-05,-0.0004201107265
0.2041810554,-4.757951954e-05,-0.0005726451301,0.008029166898,0.0003453842275,0.2830795856,0.02261789112,-4.757951954e-05,-0.0005726451301
0.2339199059,-6.577044696e-05,-0.0006443150412,0.01308285784,0.0006552950674,0.3291375931,0.03174425422,-6.577044696e-05,-0.0006443150412
0.2704274497,-9.007857284e-05,-0.0006810700242,0.02161409267,0.001280554838,0.3710751778,0.04457952379,-9.007857284e-05,-0.0006810700242
0.3069349935,-0.0001146657644,-0.0006573093276,0.03283472166,0.002266272301,0.3948455417,0.05861568335,-0.0001146657644,-0.0006573093276
0.3455515852,-0.0001386601856,-0.0005739505532,0.04753128928,0.003809075861,0.401870826,0.07405172687,-0.0001386601856,-0.0005739505532
0.3868429479,-0.0001597113215,-0.0004367591387,0.06605261147,0.006145134472,0.3955978058,0.09054798227,-0.0001597113215,-0.0004367591387
0.4281343106,-0.0001745119011,-0.000278549248,0.08679897732,0.009294556182,0.3863402573,0.1066793498,-0.0001745119011,-0.000278549248
0.4712677097,-0.0001831261053,-0.0001275491671,0.1099867087,0.01353456253,0.3878207306,0.1233085552,-0.0001831261053,-0.0001275491671
0.5284755796,-0.0001864061599,-8.449151124e-06,0.1417765162,0.02073331181,0.4299224458,0.1464316777,-0.0001864061599,-8.449151124e-06
0.5856834496,-0.000186687422,-2.578658909e-05,0.1737794775,0.02975923383,0.5339264064,0.1736931884,-0.000186687422,-2.578658909e-05
0.6428913195,-0.0001918475258,-0.0001723133222,0.206163167,0.04062286703,0.6970397034,0.2086619771,-0.0001918475258,-0.0001723133222
0.7000991895,-0.0002077528166,-0.0003875415761,0.24031008,0.05338073686,0.8962207513,0.254140483,-0.0002077528166,-0.0003875415761
0.7579651171,-0.0002362245815,-0.0005844619327,0.2787140699,0.06837379372,1.099876688,0.3119680625,-0.0002362245815,-0.0005844619327
0.8177620973,-0.0002747280636,-0.0006785477818,0.324479211,0.08637391563,1.279361629,0.3833214453,-0.0002747280636,-0.0006785477818
0.8823877971,-0.0003173063588,-0.0006091462572,0.3819397121,0.1091558122,1.420420377,0.4708511171,-0.0003173063588,-0.0006091462572
0.9768159753,-0.0003605702568,-0.0002836079098,0.4786551242,0.1496912874,1.564109092,0.6119717489,-0.0003605702568,-0.0002836079098
1.054250587,-0.0003722552019,-4.33909315e-05,0.564104485,0.1900467843,1.712701589,0.7383562828,-0.0003722552019,-4.33909315e-05
1.147385538,-0.0003735282881,-4.649670732e-05,0.668285126,0.2474341346,2.0268503,0.9111833817,-0.0003735282881,-4.649670732e-05
1.2427217,-0.0003914354205,-0.0003595356296,0.7770024493,0.3162879309,2.493531426,1.125888607,-0.0003914354205,-0.0003595356296
1.338176421,-0.000441424822,-0.0006505620974,0.8956280043,0.3960037006,2.980027945,1.387585355,-0.000441424822,-0.0006505620974
1.439552754,-0.0005080617711,-0.0005912810277,1.04016799,0.493953084,3.386988158,1.711457394,-0.0005080617711,-0.0005912810277
1.55972088,-0.0005543069925,-0.0001635349694,1.233200516,0.6303789764,3.773950286,2.14161227,-0.0005543069925,-0.0001635349694
1.679889005,-0.0005594132826,-1.769180242e-05,1.434472957,0.7906486229,4.312388077,2.624830436,-0.0005594132826,-1.769180242e-05
1.82088853,-0.000589542986,-0.0004662414003,1.675215236,1.009734275,5.23609644,3.295768107,-0.000589542986,-0.0004662414003
1.93384902,-0.0006585709786,-0.0006781844496,1.886043531,1.210652604,5.963661479,3.929638198,-0.0006585709786,-0.0006781844496
2.072343478,-0.0007321172098,-0.0003003056614,2.176795329,1.491635732,6.666152746,4.80574387,-0.0007321172098,-0.0003003056614
2.210837935,-0.0007456962459,-8.479792137e-07,2.485253777,1.814410786,7.457147479,5.780298017,-0.0007456962459,-8.479792137e-07
2.357381361,-0.0007700515337,-0.0004161593727,2.8161613,2.202729293,8.636447127,6.95634583,-0.0007700515337,-0.0004161593727
2.503924786,-0.0008584838044,-0.0006609519177,3.172811056,2.641067631,9.816209085,8.311223921,-0.0008584838044,-0.0006609519177
2.671681954,-0.0009288447618,-0.00012572038,3.626514954,3.210885656,10.93692876,10.05242947,-0.0009288447618,-0.00012572038
2.799573141,-0.0009329786043,-5.214441836e-05,3.983981646,3.697531432,11.97640362,11.51434882,-0.0009329786043,-5.214441836e-05
