time,positionSmoothed.y,limit_v.y,a.u,limit_a.y
0,0,0,0,0
0.0001,0,0,0,0
0.03401704373,0,0,0,0
0.07593119113,0,0,0,0
0.0931380405,0,0,0,0
0.0986768708,0,0,0,0
0.09982260048,0,0,0,0
0.0998989905,0,0,0,0
0.09996388174,0,0,0,0
0.09997540336,0,0,0,0
0.09998321795,0,0,0,0
0.0999923368,0,0,0,0
0.0999980216,0,0,0,0
0.09999917524,0,0,0,0
0.09999979392,0,0,0,0
0.1000000185,-6.351879334e-15,1.320259463e-07,1.022008084e-06,1.022008084e-06
0.1000001169,1.908575795e-13,3.287043589e-07,2.988792211e-06,2.988792211e-06
0.1000011003,1.280061162e-11,2.295488485e-06,2.265663348e-05,2.265663348e-05
0.1000109342,1.202664097e-09,2.196332975e-05,0.0002193350461,0.0002193350461
0.1001092734,1.194778935e-07,0.0002186417424,0.002186119173,0.002186119173
0.1010926655,1.193988964e-05,0.002185425869,0.02185396044,0.02185396044
0.1109265861,0.001193909952,0.02185326713,0.2185323731,0.2185323731
0.1377903478,0.01428112851,0.07558079064,0.7558076081,0.7558076081
0.1598764433,0.03585192361,0.1197529815,1.197529517,1.197529517
0.1757473734,0.05737669514,0.1514948418,1.51494812,1.51494812
0.190715528,0.08229312921,0.1814311509,1.81431121,1.81431121
0.1977100861,0.09547267297,0.1954202672,1.954202374,1.954202374
0.1990694221,0.09814756845,0.1981389391,1.981389093,1.981389093
0.1997249857,0.09945079263,0.1994500663,1.994500365,1.994500365
0.1999180889,0.09983630266,0.1998362727,1.998242134,1.998242134
0.2000044131,0.1000088494,0.2000089211,1.999258545,1.999258545
0.2002480411,0.1004960378,0.2004961771,1.999935208,1.999935208
0.2004916691,0.1009832878,0.2009834331,1.999994338,1.999994338
0.2009072953,0.1018145398,0.2018146856,1.999999924,1.999999924
0.2015613979,0.1031227449,0.2031228907,2.000000001,2.000000001
0.2030905044,0.106180958,0.2061811038,2,2
0.2084302241,0.1168603973,0.2168605431,2,2
0.2349114155,0.1698227802,0.269822926,2,2
0.4430183322,0.5860366135,0.6860367593,2,2
0.5102591372,0.7205182235,0.8205183694,2,2
0.5859557768,0.8719115028,0.9719116487,2,2
0.5938167684,0.887633486,0.9876336318,2,2
0.5977509286,0.8955018064,0.9955019522,2,2
0.5994033849,0.898806719,0.9988068648,2,2
0.5997882322,0.8995764135,0.9995765593,2,2
0.5999440069,0.8998879433,0.9998502951,1.999057321,1.999057321
0.6000184315,0.9000366669,0.9999288763,1.997568829,1.997568829
0.6003036162,0.9006055297,0.9999959139,1.991865135,1.991865135
0.6005923242,0.9011797635,0.9999997735,1.986090976,1.986090976
0.6011482931,0.9022808774,1.000000001,1.974971597,1.974971597
0.6021515461,0.9042522084,1,1.954906537,1.954906537
0.6055522858,0.9107846863,1,1.886891744,1.886891744
0.6223053694,0.9395892834,1,1.551830071,1.551830071
0.6642632144,0.9870961214,1,0.7126731706,0.7126731706
0.6977391575,0.9997471403,1,0.04315430932,0.04315430932
0.6990720381,0.9997868941,1,0.01649669796,0.01649669796
0.6996570006,0.9997931222,1,0.004797448035,0.004797448035
0.6997423952,0.999793459,1,0.003089555304,0.003089555304
0.6997898783,0.9997935831,1,0.002139894089,0.002139894089
0.6998177594,0.9997936353,1,0.001621996884,0.001621996884
0.6998299272,0.9997936539,1,0.001436170331,0.001436170331
0.6998952159,0.9997937228,1,0.0007475856838,0.0007475856838
0.6999490692,0.9997937539,1,0.0004362939339,0.0004362939339
0.7000281149,0.9997937777,1,0.0001979193782,0.0001979193782
0.7001139237,0.9997937891,1,8.391231009e-05,8.391231009e-05
0.7002230717,0.9997937947,1,2.817109663e-05,2.817109663e-05
0.7003534442,0.9997937968,1,7.649019661e-06,7.649019661e-06
0.7005193846,0.9997937974,1,1.455235233e-06,1.455235233e-06
0.7007345823,0.9997937975,1,1.691209169e-07,1.691209169e-07
0.7010336424,0.9997937975,1,8.434758251e-09,8.434758251e-09
0.7014890837,0.9997937975,1,6.092908796e-11,6.092908796e-11
0.7023124885,0.9997937975,1,-1.543021481e-12,-1.543021481e-12
0.7044922906,0.9997937975,1,1.685187667e-13,1.685187667e-13
0.7131304891,0.9997937975,1,-1.580874026e-14,-1.580874026e-14
0.7624606355,0.9997937975,1,3.714753133e-16,3.714753133e-16
1,0.9997937975,1,-1.926902724e-18,-1.926902724e-18
