time,capacitor2.v,inductor2.i,capacitor1.v,inductor1.i,cosineVoltage.phi,sineVoltage.phi
0,0,0,0,0,0,0
0.0001,0.001971206924,0.006269199162,2.06551522e-09,1.314654897e-08,6.283185307e-06,6.283185307e-06
0.0002,0.007868814617,0.01249403141,3.301299377e-08,1.050267652e-07,2.513274123e-05,2.513274123e-05
0.0003,0.01765726608,0.01865010671,1.669229717e-07,3.538424172e-07,5.654866776e-05,5.654866776e-05
0.0004,0.03128578826,0.02471338484,5.267458748e-07,8.369239826e-07,0.0001005309649,0.0001005309649
0.0005,0.04868864581,0.03066026718,1.283642329e-06,1.630434325e-06,0.0001570796327,0.0001570796327
0.0006,0.06978539501,0.03646767893,2.656307736e-06,2.809103014e-06,0.0002261946711,0.0002261946711
0.0007,0.09448134749,0.04211318203,4.909679641e-06,4.44585952e-06,0.0003078760801,0.0003078760801
0.0008,0.1226679396,0.04757504115,8.353869965e-06,6.611617111e-06,0.0004021238597,0.0004021238597
0.0009,0.154223079,0.05283230079,1.334318685e-05,9.375022132e-06,0.0005089380099,0.0005089380099
0.001,0.1890118507,0.05786488586,2.02740541e-05,1.280212245e-05,0.0006283185307,0.0006283185307
0.0011,0.2268871618,0.06265368734,2.958309807e-05,1.69560845e-05,0.0007602654222,0.0007602654222
0.0012,0.2676899222,0.06718058339,4.174660983e-05,2.189712336e-05,0.0009047786842,0.0009047786842
0.0013,0.3112504777,0.07142857901,5.727621524e-05,2.768203508e-05,0.001061858317,0.001061858317
0.0014,0.3573880323,0.07538177592,7.672066307e-05,3.436430212e-05,0.00123150432,0.00123150432
0.0015,0.4059129336,0.07902553729,0.0001006588283,4.19935323e-05,0.001413716694,0.001413716694
0.0016,0.4566267802,0.08234649539,0.0001296993854,5.061543275e-05,0.001608495439,0.001608495439
0.0017,0.5093222969,0.08533255285,0.000164481205,6.027180802e-05,0.001815840554,0.001815840554
0.0018,0.5637866416,0.08797301595,0.0002056630653,7.100008304e-05,0.00203575204,0.00203575204
0.0019,0.6197987177,0.09025854211,0.0002539321051,8.283351304e-05,0.002268229896,0.002268229896
0.002,0.6771326839,0.09218123259,0.0003099928247,9.580083256e-05,0.002513274123,0.002513274123
0.0021,0.7355590331,0.09373466167,0.0003745637055,0.0001099261453,0.00277088472,0.00277088472
0.0022,0.7948445931,0.09491387666,0.0004483772096,0.0001252289243,0.003041061689,0.003041061689
0.0023,0.8547520854,0.09571540712,0.0005321811941,0.0001417239891,0.003323805027,0.003323805027
0.0024,0.9150446155,0.09613724678,0.0006267246237,0.0001594214924,0.003619114737,0.003619114737
0.0025,0.9754832612,0.09617893028,0.0007327653516,0.0001783267137,0.003926990817,0.003926990817
0.0026,1.035828002,0.09584151234,0.0008510671385,0.000198440111,0.004247433268,0.004247433268
0.0027,1.095841546,0.09512750809,0.0009823874003,0.0002197574493,0.004580442089,0.004580442089
0.0028,1.155289331,0.09404089304,0.001127477208,0.0002422698013,0.004926017281,0.004926017281
0.0029,1.213939521,0.09258710311,0.001287081289,0.0002659635469,0.005284158843,0.005284158843
0.003,1.271562982,0.09077303685,0.001461938124,0.0002908203666,0.005654866776,0.005654866776
0.0031,1.327934316,0.08860704364,0.001652776635,0.0003168172627,0.00603814108,0.00603814108
0.0032,1.382838618,0.08609852511,0.001860294082,0.0003439277201,0.006433981755,0.006433981755
0.0033,1.43606156,0.0832586379,0.002085188703,0.0003721196274,0.0068423888,0.0068423888
0.0034,1.487398051,0.08009966361,0.002328131182,0.0004013571441,0.007263362215,0.007263362215
0.0035,1.536652239,0.07663500875,0.00258976465,0.000431600701,0.007696902001,0.007696902001
0.0036,1.583637511,0.07287920479,0.002870704687,0.0004628069997,0.008143008158,0.008143008158
0.0037,1.628176491,0.06884790814,0.003171539321,0.0004949290132,0.008601680686,0.008601680686
0.0038,1.670101042,0.06455790014,0.003492829026,0.0005279159854,0.009072919584,0.009072919584
0.0039,1.709252175,0.06002718565,0.003835107182,0.0005617131188,0.009556724852,0.009556724852
0.004,1.745486789,0.05527380466,0.004198856729,0.0005962652502,0.01005309649,0.01005309649
0.0041,1.778670215,0.0503174479,0.004584536492,0.000631511826,0.0105620345,0.0105620345
0.0042,1.808680446,0.04517849106,0.004992566163,0.000667389909,0.01108353888,0.01108353888
0.0043,1.835409158,0.03987776491,0.005423322697,0.000703834894,0.01161760963,0.01161760963
0.0044,1.858761712,0.0344365552,0.005877140307,0.0007407805079,0.01216424675,0.01216424675
0.0045,1.878657148,0.02887660277,0.006354310468,0.00077815881,0.01272345025,0.01272345025
0.0046,1.895028191,0.02322010345,0.006855081912,0.0008159001915,0.01329522011,0.01329522011
0.0047,1.907821249,0.01748970812,0.007379660634,0.0008539333758,0.01387955634,0.01387955634
0.0048,1.91699677,0.01170861593,0.007928208919,0.0008921851156,0.01447645895,0.01447645895
0.0049,1.922529066,0.005899191495,0.008500843651,0.0009305845981,0.01508592792,0.01508592792
0.005,1.924408224,8.459499525e-05,0.009097632892,0.0009690582241,0.01570796327,0.01570796327
0.0051,1.922638762,-0.00571200733,0.009718598895,0.001007532143,0.01634256498,0.01634256498
0.0052,1.917239151,-0.01146780836,0.010363719,0.001045933422,0.01698973307,0.01698973307
0.0053,1.908241813,-0.01716036008,0.01103292564,0.001084190048,0.01764946753,0.01764946753
0.0054,1.895693126,-0.02276757359,0.01172610634,0.001122230926,0.01832176836,0.01832176836
0.0055,1.87965342,-0.02826771913,0.01244310371,0.00115998588,0.01900663555,0.01900663555
0.0056,1.860196978,-0.03363942602,0.01318371546,0.001197385653,0.01970406912,0.01970406912
0.0057,1.837412895,-0.03886160681,0.01394769181,0.00123436165,0.02041406906,0.02041406906
0.0058,1.811398023,-0.04391450959,0.01473475616,0.001270849402,0.02113663537,0.02113663537
0.0059,1.782265694,-0.04877871171,0.01554457902,0.001306785223,0.02187176805,0.02187176805
0.006,1.75014232,-0.05343545273,0.01637678833,0.001342107323,0.02261946711,0.02261946711
0.0061,1.715164144,-0.05786700975,0.01723097913,0.001376757053,0.02337973253,0.02337973253
0.0062,1.677477248,-0.0620566975,0.01810671347,0.001410678909,0.02415256432,0.02415256432
0.0063,1.637237548,-0.06598886825,0.01900352051,0.00144382053,0.02493796248,0.02493796248
0.0064,1.594610799,-0.06964891188,0.01992089645,0.001476132698,0.02573592702,0.02573592702
0.0065,1.549772589,-0.07302325584,0.02085830455,0.001507569337,0.02654645792,0.02654645792
0.0066,1.502910845,-0.07609932963,0.02181516733,0.001538087362,0.0273695552,0.0273695552
0.0067,1.454210628,-0.0788660522,0.02279091388,0.001567648474,0.02820521884,0.02820521884
0.0068,1.403867841,-0.08131354259,0.02378493691,0.001596218018,0.02905344886,0.02905344886
0.0069,1.35209076,-0.08343308069,0.02479658804,0.001623764827,0.02991424525,0.02991424525
0.007,1.299089715,-0.08521732523,0.02582521014,0.00165026209,0.03078760801,0.03078760801
