time,energy.y_ref,energy.y_sim,energy.y_relerr,superCap.capacitor.v_ref,superCap.capacitor.v_sim,superCap.capacitor.v_relerr
0,0,0,0,48,48,0
0.005,0,0,0,47.9999995,47.9999995,0
0.01,0,0,0,47.999999,47.999999,1.4803e-16
0.015,0,0,0,47.9999985,47.9999985,1.4803e-16
0.02,0,0,0,47.999998,47.999998,0
0.025,0,0,0,47.9999975,47.9999975,0
0.03,0,0,0,47.999997,47.999997,1.4803e-16
0.035,0,0,0,47.9999965,47.9999965,1.4803e-16
0.04,0,0,0,47.999996,47.999996,0
0.045,0,0,0,47.9999955,47.9999955,0
0.05,0,0,0,47.999995,47.999995,0
0.055,0,0,0,47.9999945,47.9999945,2.96059e-16
0.06,0,0,0,47.999994,47.999994,0
0.065,0,0,0,47.9999935,47.9999935,2.96059e-16
0.07,0,0,0,47.999993,47.999993,0
0.075,0,0,0,47.9999925,47.9999925,0
0.08,0,0,0,47.999992,47.999992,0
0.085,0,0,0,47.9999915,47.9999915,1.4803e-16
0.09,0,0,0,47.999991,47.999991,1.4803e-16
0.095,0,0,0,47.9999905,47.9999905,0
0.1,0,0,0,47.99999,47.99999,0
0.105,0,0,0,47.9999895,47.9999895,1.4803e-16
0.11,0,0,0,47.999989,47.999989,1.4803e-16
0.115,0,0,0,47.9999885,47.9999885,1.4803e-16
0.12,0,0,0,47.999988,47.999988,0
0.125,0,0,0,47.9999875,47.9999875,1.4803e-16
0.13,0,0,0,47.999987,47.999987,0
0.135,0,0,0,47.9999865,47.9999865,0
0.14,0,0,0,47.999986,47.999986,0
0.145,0,0,0,47.9999855,47.9999855,0
0.15,0,0,0,47.999985,47.999985,1.4803e-16
0.155,0,0,0,47.9999845,47.9999845,1.4803e-16
0.16,0,0,0,47.999984,47.999984,0
0.165,0,0,0,47.9999835,47.9999835,0
0.17,0,0,0,47.999983,47.999983,1.4803e-16
0.175,0,0,0,47.9999825,47.9999825,1.4803e-16
0.18,0,0,0,47.999982,47.999982,1.4803e-16
0.185,0,0,0,47.9999815,47.9999815,0
0.19,0,0,0,47.999981,47.999981,1.4803e-16
0.195,0,0,0,47.9999805,47.9999805,1.4803e-16
0.2,0,0,0,47.99998,47.99998,1.4803e-16
0.205,0,0,0,47.9999795,47.9999795,1.4803e-16
