time,L2.i,L1.i,C5.v,R2.i,C4.v,C2.v,R1.i,C2.i,C3.v,C1.v
17.93978919,0.4422087075,0.5363493115,0.4775278589,0.4775278589,0.03514928682,-0.03550843551,0.5228312898,-0.009400240217,0.5126771457,0.4771687102
18.8279936,0.4900836918,0.5050126619,0.4805249676,0.4805249676,0.05158709873,-0.05082655146,0.5187144851,0.0005956125261,0.5321120664,0.4812855149
19.76268932,0.5389449984,0.4735417632,0.4958606942,0.4958606942,0.03289973248,-0.03183415433,0.5030737277,0.009218385298,0.5287604267,0.4969262723
20.69738503,0.5546769914,0.4638702289,0.5116424061,0.5116424061,-0.004832321783,0.005621256427,0.4875686593,0.01053193894,0.5068100843,0.5124313407
21.63208074,0.5317375,0.4793754849,0.5172821394,0.5172821394,-0.03380440645,0.034132331,0.4823899361,0.004679132869,0.4834777329,0.5176100639
22.56677645,0.4910265262,0.5062739586,0.5105313765,0.5105313765,-0.03609824641,0.03605894432,0.4895079256,-0.003449754078,0.4744331301,0.5104920744
23.50939907,0.4620387261,0.52525828,0.4976070215,0.4976070215,-0.01384448555,0.01363480193,0.5026026621,-0.0081569976,0.483762536,0.4973973379
24.45202168,0.4628695272,0.5245521536,0.4881671462,0.4881671462,0.01449515947,-0.01470368862,0.512041383,-0.006706759957,0.5026623057,0.487958617
25.39464429,0.4886157286,0.5074780257,0.4880881521,0.4880881521,0.02894263885,-0.02906467185,0.5120338809,-0.0009594765891,0.5170307909,0.4879661191
26.40785381,0.5200460829,0.4867284494,0.4968217186,0.4968217186,0.02052641454,-0.02054973694,0.5032016038,0.004888677367,0.5173481332,0.4967983962
27.42106332,0.5312564414,0.4793542685,0.506653732,0.506653732,-0.002307689945,0.002340894804,0.4933130631,0.006093530598,0.5043460421,0.5066869369
28.43427284,0.5167948756,0.4889087545,0.5098736118,0.5098736118,-0.01983553459,0.01987968044,0.4900822423,0.002453140646,0.4900380772,0.5099177577
29.44748236,0.4917131175,0.5054529813,0.505033402,0.505033402,-0.01946020585,0.01948970455,0.4949370993,-0.002497164794,0.4855731962,0.5050629007
30.46533673,0.4768361863,0.5152637431,0.4970525538,0.4970525538,-0.004162169317,0.00417227775,0.5029373378,-0.004769026439,0.4928903845,0.4970626622
31.48319109,0.4821463099,0.5117696744,0.4925839401,0.4925839401,0.01196607099,-0.01196883015,0.507418819,-0.003008967458,0.5045500111,0.492581181
32.50104546,0.5004036472,0.4997439196,0.4945307697,0.4945307697,0.01635082826,-0.0163583782,0.5054767802,0.0007967426978,0.510881598,0.4945232198
33.60683923,0.5162097396,0.4893301739,0.5009149667,0.5009149667,0.006291670129,-0.006298688486,0.4990920517,0.003482790148,0.5072066368,0.5009079483
34.712633,0.5149069684,0.4901831515,0.5054116074,0.5054116074,-0.007686964291,0.007682806411,0.4945925505,0.00261179076,0.4977246431,0.5054074495
35.81842678,0.5005324397,0.4996457127,0.5043284136,0.5043284136,-0.01246208159,0.01246116242,0.4956725056,-0.0004411503808,0.491866332,0.5043274944
37.02476629,0.487535058,0.5082041909,0.4991231231,0.4991231231,-0.004323309137,0.004325170681,0.5008750153,-0.002654929906,0.494799814,0.4991249847
38.00083699,0.4881895113,0.5077751074,0.4960385647,0.4960385647,0.005130432983,-0.005127641927,0.5039586442,-0.002110708219,0.5011689977,0.4960413558
38.98166427,0.4972562731,0.5018072114,0.4962624852,0.4962624852,0.009494469684,-0.009492221802,0.5037352669,-0.0001260125338,0.5057569549,0.4962647331
40.07459417,0.507719899,0.4949187698,0.4995463358,0.4995463358,0.00561405899,-0.005613597175,0.5004532024,0.001773117608,0.5051603948,0.4995467976
