time,basicTransformer.i1,basicTransformer.i2,inductor21.iˍt,idealTransformer.p2.i,basicTransformer.i1ˍt,inductor22.i
0,0,0,125.6637061,-0,125.977082,0
1e-06,0.0001259370192,-0.0002506201423,125.5831958,-0.0002512468934,125.8969649,0.0002512468934
1.610292883e-05,0.00201824488,-0.004016203184,124.373478,-0.004026295419,124.6931703,0.004026295419
0.0001233543284,0.01494579715,-0.02973114793,116.1099492,-0.02980837823,116.4708554,0.02980837823
0.0003447036823,0.03899468325,-0.07751388775,100.7415059,-0.07772835336,101.1827989,0.07772835336
0.0006524875109,0.06728154487,-0.1335992033,82.67207963,-0.1339985741,83.21493036,0.1339985741
0.001046514529,0.09629188751,-0.1909244915,64.14859844,-0.1915455494,64.80500098,0.1915455494
0.001537218573,0.1236200139,-0.2446296303,46.7029555,-0.2454977542,47.47721606,0.2454977542
0.002120339198,0.1467639195,-0.2896981701,31.91738168,-0.2908152515,32.80222908,0.2908152515
0.002792254095,0.1647032682,-0.3240908555,20.41516156,-0.3254376495,21.39486633,0.3254376495
0.003543045862,0.1774532316,-0.3478662364,12.14829504,-0.3494072689,13.20197603,0.3494072689
0.004363515557,0.1858248635,-0.3626816718,6.555739629,-0.3643751015,7.661804989,0.3643751015
0.005242397618,0.1908494857,-0.3706431645,2.937608608,-0.3724483302,4.076569682,0.3724483302
0.006166422065,0.1934808516,-0.3737061583,0.6519520843,-0.3755882847,1.807855638,0.3755882847
0.007112541718,0.1944613365,-0.373424274,-0.786727848,-0.3753558522,0.373964155,0.3753558522
0.008058661371,0.1943429226,-0.3709641854,-1.721174667,-0.372925182,-0.5642577349,0.372925182
0.009063251642,0.1934060089,-0.3667591096,-2.410497424,-0.3687364763,-1.264037585,0.3687364763
0.01026947112,0.1914868399,-0.3601705796,-3.018123393,-0.3621538094,-1.890383547,0.3621538094
0.01163372382,0.1885106838,-0.351182862,-3.555553255,-0.3531601229,-2.454854372,0.3531601229
0.01327102085,0.1840101022,-0.3386589761,-4.090854918,-0.3406162776,-3.028816951,0.3406162776
0.01529625771,0.1772366332,-0.3209593479,-4.652546462,-0.322876958,-3.645748853,0.322876958
0.0197678704,0.1583880987,-0.2750165013,-5.581129602,-0.2768002661,-4.718320545,0.2768002661
0.02219154794,0.1464324931,-0.2472260397,-5.901515079,-0.2489159657,-5.125847101,0.2489159657
0.02596029712,0.1263179017,-0.2018502221,-6.126306108,-0.2033730483,-5.492896454,0.2033730483
0.02993179205,0.1043405718,-0.1536587848,-5.993147426,-0.1549893359,-5.510781161,0.1549893359
0.03404284629,0.08233160768,-0.1064926096,-5.464569074,-0.1076222435,-5.129985465,0.1076222435
0.03815390054,0.06268432301,-0.065181111,-4.573408739,-0.06612434232,-4.368212667,0.06612434232
0.04226495478,0.04686921083,-0.03246207708,-3.37879633,-0.03324907645,-3.276017938,0.03324907645
0.04637600903,0.03610245147,-0.01050317411,-1.959996062,-0.0111777658,-1.925880264,0.0111777658
0.05048706327,0.03126521752,-0.0007581194554,-0.4111473173,-0.001374872693,-0.407393492,0.001374872693
0.05394226303,0.03215524494,-0.002510268089,0.9160064165,-0.003125949403,0.9254104764,0.003125949403
0.0573974628,0.03764301214,-0.01327506032,2.200180446,-0.01393532311,2.24348044,0.01393532311
0.06093925032,0.04787305945,-0.03313032891,3.408841589,-0.03388351378,3.514523194,0.03388351378
0.06453159903,0.06260398622,-0.06138783578,4.462758156,-0.06228155792,4.65714025,0.06228155792
0.06824751223,0.08177983329,-0.09769467704,5.314168339,-0.09877756229,5.622457903,0.09877756229
0.07213962295,0.1051665743,-0.1413077462,5.896157128,-0.1426280214,6.341223827,0.1426280214
0.07634493706,0.1328046787,-0.1918893545,6.130065057,-0.1934983004,6.733710639,0.1934983004
0.08144063614,0.1671446382,-0.2530612501,5.84402421,-0.255041457,6.639382401,0.255041457
0.08653633521,0.1994251345,-0.308246557,4.963996514,-0.3105918024,5.932231023,0.3105918024
0.09163203429,0.2266811286,-0.3518301078,3.579439882,-0.3545032924,4.684124046,0.3545032924
0.09615861262,0.2446808016,-0.3771983913,2.039128068,-0.3801097479,3.223146599,0.3801097479
0.1001465961,0.2546522413,-0.3873901878,0.5418990585,-0.3904574487,1.757685461,0.3904574487
0.1035957997,0.2584298632,-0.3864641158,-0.7838407568,-0.3896198509,0.4288843316,0.3896198509
0.1070450033,0.2576207146,-0.3765288819,-2.072929356,-0.3797276826,-0.8915010935,0.3797276826
0.1104942069,0.2523609164,-0.3580473036,-3.26504031,-0.361243683,-2.141686368,0.361243683
0.1140773531,0.2425550435,-0.3307267091,-4.340988626,-0.3338746229,-3.303401632,0.3338746229
0.1177335222,0.2286118969,-0.2957354936,-5.212694908,-0.2987904521,-4.284894538,0.2987904521
0.1215632348,0.2106647736,-0.2533709514,-5.831491469,-0.2562892407,-5.036559721,0.2562892407
0.1256601145,0.1889890946,-0.2043102161,-6.120905652,-0.2070495901,-5.479792872,0.2070495901
0.1304358183,0.1625757912,-0.1464616618,-5.949263154,-0.1489695166,-5.489460309,0.1489695166
0.1352115221,0.1374269148,-0.09282309057,-5.245946492,-0.09509935451,-4.954193621,0.09509935451
0.1399872258,0.1160494672,-0.04818289739,-4.073818901,-0.05025330944,-3.921854051,0.05025330944
0.1447629296,0.1006133192,-0.01652529666,-2.537629481,-0.01843910456,-2.484714429,0.01843910456
0.1488377865,0.09339031145,-0.001939644773,-1.041672688,-0.003773295227,-1.03429924,0.003773295227
0.1522213341,0.09206027538,0.0007048082789,0.2564766062,-0.001106316624,0.2557154081,0.001106316624
0.1556048818,0.09513852632,-0.00538648558,1.543102727,-0.007218167949,1.561588381,0.007218167949
0.1589884294,0.1025790173,-0.01993750278,2.760251227,-0.02183372333,2.824492992,0.02183372333
0.1624649564,0.1145113878,-0.04300681027,3.880909274,-0.04501400009,4.017596765,0.04501400009
0.1660295761,0.1307710952,-0.0740596666,4.838041391,-0.07622418498,5.07218003,0.07622418498
0.1697470204,0.1513110856,-0.1127533812,5.578172549,-0.1151227641,5.933687187,0.1151227641
0.1736876184,0.1759826939,-0.1584839007,6.031353401,-0.1611062898,6.53026708,0.1611062898
0.1780481705,0.2051437798,-0.2114246956,6.103647879,-0.214355081,6.768516153,0.214355081
0.1845638958,0.2481744639,-0.2867763128,5.370578047,-0.2901811582,6.271552464,0.2901811582
0.1885976186,0.2719960109,-0.3263582923,4.457817897,-0.3300401473,5.482755582,0.3300401473
0.1930639735,0.2938537478,-0.3601476134,3.117812674,-0.364099933,4.248504714,0.364099933
0.1975303284,0.3095218491,-0.3808458168,1.533885966,-0.385014136,2.729268376,0.385014136
0.2013556721,0.31723765,-0.3869058026,0.07688048688,-0.3912060466,1.291084186,0.3912060466
0.2051810159,0.3193494332,-0.3818019055,-1.384575721,-0.3861797377,-0.1865453166,0.3861797377
0.2090063596,0.315868898,-0.3658248485,-2.766432271,-0.3702240953,-1.618648279,0.3702240953
0.2128317034,0.3071292669,-0.3398905569,-3.989240778,-0.3442564367,-2.922895809,0.3442564367
0.2167151523,0.2935318309,-0.3049092595,-4.995707277,-0.3091899094,-4.039133941,0.3091899094
0.220699776,0.2756201239,-0.2621186328,-5.720344466,-0.266266209,-4.897987978,0.266266209
0.2249022807,0.2537739094,-0.2123413795,-6.097566597,-0.2163109085,-5.431285534,0.2163109085
0.2296250391,0.2276760141,-0.154930884,-6.016911714,-0.1586735725,-5.530578322,0.1586735725
0.2346807632,0.2006935981,-0.09722753858,-5.34879681,-0.1007231573,-5.043258875,0.1007231573
0.2397364873,0.1776363228,-0.04903999169,-4.145467666,-0.05231422971,-3.990833432,0.05231422971
0.2442816504,0.162426034,-0.017842217,-2.705219021,-0.02096270177,-2.648204777,0.02096270177
