time,C2.vinternal,C1.vinternal,L2.iinternal,L3.iinternal,k2.inductiveCouplePin2.di,k3.inductiveCouplePin2.di,L1.iinternal
0,0,0,0,0,0,0,0
1e-06,-3.217553928e-12,-1.198967038e-08,3.597756652e-08,1.930513903e-08,0.03860952349,0.07195326192,3.501380859e-08
7.409888955e-06,-1.308791043e-09,-4.868048171e-06,1.974057885e-06,1.059672987e-06,0.2859625568,0.5325011157,1.922464188e-06
2.172575015e-05,-3.296777533e-08,-0.0001219586433,1.690221302e-05,9.101388755e-06,0.8371592616,1.54919752,1.652577917e-05
4.145228787e-05,-2.287115727e-07,-0.0008372260573,6.084899902e-05,3.307251868e-05,1.592100763,2.891508459,6.015209684e-05
6.545453273e-05,-8.986626526e-07,-0.003232529663,0.0001483756306,8.220804728e-05,2.499807559,4.366487553,0.0001499409438
9.514048098e-05,-2.750885387e-06,-0.009613806688,0.0003009615693,0.0001728138552,3.599772614,5.839245438,0.0003166450335
0.0001311975425,-7.17793282e-06,-0.02396469567,0.0005340163857,0.0003260873652,4.893619783,6.953365826,0.0006016915645
0.0001762475703,-1.727021303e-05,-0.05356455896,0.0008569212551,0.0005816187252,6.436890962,7.15750567,0.001084606632
0.0002389553461,-4.250602581e-05,-0.1153686948,0.001260588957,0.001049266422,8.455362177,5.353562338,0.001989989455
0.000301663122,-8.434744176e-05,-0.1932436869,0.00149410698,0.00163980308,10.36724718,1.930824931,0.003165224428
0.0003643708979,-0.000146565517,-0.2735959283,0.001497792796,0.002348829315,12.24794886,-1.729089082,0.004609221744
0.0004270786737,-0.0002328697454,-0.3427807718,0.001301472177,0.003176817317,14.17217282,-4.248484289,0.006321706081
0.0004997959331,-0.000368116875,-0.3980758836,0.0009602149374,0.004291801912,16.51612358,-4.648702516,0.00864422526
0.0005922361495,-0.0006039566149,-0.431713305,0.0006522115873,0.00596260362,19.6530263,-1.485941547,0.01211984069
0.0006591916691,-0.0008264342301,-0.4451928887,0.0006649682876,0.007355526186,21.94903179,1.860110508,0.01500293595
0.0007275415999,-0.00110430542,-0.4662485041,0.0008904375194,0.008933939982,24.21835405,4.492164302,0.01826151338
0.0008043465498,-0.001484254051,-0.511848235,0.001279511429,0.01088690065,26.60464381,5.182705553,0.02230031199
0.0008963692431,-0.002043308806,-0.5982803524,0.00166650305,0.01345755615,29.22890746,2.749770667,0.02765885819
0.0009703686491,-0.002582081656,-0.6790572156,0.001755121307,0.01569481354,31.23058409,-0.3665065947,0.03237417997
0.001044368055,-0.003206341155,-0.7523801457,0.001630913346,0.01807965247,33.23151774,-2.744814374,0.03744875032
0.001119436514,-0.003932603845,-0.8074188419,0.001392875531,0.02065232654,35.32319328,-3.228763117,0.04296193099
0.001215111568,-0.005003269785,-0.848865901,0.001170074386,0.0241631156,38.0763963,-1.012461864,0.05051936713
0.001285978866,-0.005907926809,-0.8704113259,0.001187079071,0.02693385168,40.11079282,1.4869459,0.05649828762
0.001357491502,-0.006922887245,-0.897800105,0.001367931925,0.02987343774,42.08208605,3.373397915,0.06285708155
0.001437397812,-0.008184410949,-0.9452839317,0.001664673853,0.03331906699,44.13029172,3.702666422,0.07034392942
0.001539427046,-0.01000067202,-1.030925403,0.001948726366,0.03794507567,46.5132544,1.503552806,0.08047937094
0.001611548181,-0.0114297854,-1.096743845,0.001978652784,0.04135728836,48.10481051,-0.6363395639,0.08802701449
0.001686159494,-0.01303989511,-1.156825122,0.001869379687,0.04500734462,49.73914405,-2.086142633,0.09616468284
0.001764609182,-0.01488217226,-1.203944981,0.001696106415,0.0489775441,51.4822096,-2.048759848,0.1050783831
0.001856156162,-0.01723261034,-1.24065398,0.001580580557,0.0537844675,53.53020026,-0.257390898,0.1159379169
0.001920600614,-0.01902115167,-1.262455201,0.001616213772,0.05727976683,54.93553017,1.337162784,0.1238741168
0.001992960345,-0.02116537185,-1.291810788,0.001762836363,0.06130951991,56.42711245,2.557451281,0.1330675522
0.002070141778,-0.02361526168,-1.334613281,0.001971246986,0.06572181363,57.88453777,2.611149738,0.1431970044
0.002169643562,-0.0270284252,-1.405366766,0.002161439149,0.07156685696,59.57047584,0.9870103791,0.1567372724
0.002232538122,-0.02933736305,-1.452483908,0.002180928541,0.07534485897,60.5607206,-0.3459654615,0.1655696427
0.002303460714,-0.03208471344,-1.500493581,0.002114813332,0.07967861563,61.64730708,-1.391994623,0.1757785829
0.002375569964,-0.03503689919,-1.539369337,0.002003544894,0.08416347298,62.74238461,-1.52302304,0.1864245972
0.002475953418,-0.03941867313,-1.577818882,0.001903603393,0.0905374814,64.24181609,-0.2593588107,0.2016829405
0.002541656383,-0.04246129062,-1.598815467,0.00192487978,0.09478930105,65.17401217,0.8934623452,0.2119398598
0.002616192597,-0.04608324165,-1.625637114,0.002029677731,0.09968396071,66.14443557,1.802594715,0.2238278905
0.002694676442,-0.05009548034,-1.661845933,0.002179582663,0.104911274,67.04066157,1.847414107,0.2366277561
0.002794727733,-0.0555097091,-1.718598078,0.002314217141,0.1116684329,68.00327837,0.682835981,0.2533513883
0.002857807131,-0.05909771677,-1.755704694,0.002326776665,0.1159749844,68.53297472,-0.2690987944,0.2641219552
0.002928767909,-0.06329689268,-1.793440048,0.002278089829,0.1208579689,69.08610548,-1.013022984,0.2764416485
0.003001433877,-0.06777708118,-1.824559135,0.002196673792,0.1258978218,69.62215433,-1.104712656,0.2892747638
0.003104037234,-0.07441607184,-1.856405581,0.002123020931,0.1330778347,70.31981751,-0.1804118307,0.3077575296
0.003169480726,-0.0788435388,-1.873493935,0.002137986543,0.1376927223,70.70434353,0.6254221149,0.3197606178
0.003244598905,-0.08411201297,-1.895045026,0.002211532419,0.1430178749,71.05912721,1.246847703,0.3337360241
0.003323283904,-0.08984540738,-1.922929081,0.002314087099,0.1486200003,71.31427835,1.239123049,0.3485932408
0.003422698792,-0.09740464611,-1.964773357,0.002400320195,0.1557189705,71.47301295,0.3882110376,0.3676690747
0.00348480559,-0.1023060833,-1.991301986,0.002403348415,0.1601589587,71.49828409,-0.278220628,0.37975076
0.003553696734,-0.1079040595,-2.017620051,0.00236445891,0.165084138,71.47895171,-0.7899641023,0.3932936132
0.003627630645,-0.1141002702,-2.040051205,0.002300263175,0.1703667398,71.41451763,-0.8563488016,0.4079864864
0.003721731743,-0.1222685582,-2.060376561,0.002242679341,0.1770805117,71.26362106,-0.2742608274,0.4269130892
0.003786188709,-0.1280455295,-2.071584522,0.002243246609,0.1816690092,71.10088953,0.2881404145,0.4400157193
0.003853376456,-0.134224249,-2.08374791,0.002278857008,0.1864385804,70.86407585,0.728404248,0.4537865028
0.003928600729,-0.1413315134,-2.100097123,0.002340348398,0.1917564397,70.50584446,0.8280223392,0.4693336484
0.004019382409,-0.1501737863,-2.123831157,0.002399066079,0.1981325355,69.94235229,0.381876564,0.48826542
0.004091864515,-0.1574403794,-2.143577803,0.002406519852,0.2031829846,69.40307042,-0.1795138035,0.5035038709
0.004164346621,-0.164889002,-2.161069307,0.002375950422,0.2081919899,68.80125684,-0.6234098148,0.518842816
0.004242101778,-0.1730800773,-2.175084129,0.002320027222,0.2135146923,68.09876478,-0.744539924,0.5354004869
0.004338110917,-0.1834774209,-2.185410746,0.002262739841,0.2200080711,67.15127444,-0.3728523764,0.5559781133
0.004412048339,-0.1916953188,-2.19033016,0.002251868744,0.2249438463,66.34910546,0.07754212305,0.5719143897
0.004486442566,-0.200146697,-2.195297913,0.002271194477,0.2298474278,65.46381583,0.4024878902,0.588017939
0.004562533182,-0.2089778174,-2.202101996,0.002305051478,0.2347913266,64.46843686,0.4303814456,0.6045507273
0.004654469436,-0.2198961958,-2.212527992,0.002330517864,0.240658495,63.1464058,0.06838102106,0.6245963059
0.004721149318,-0.2279820837,-2.22001655,0.002322647992,0.2448350239,62.11548215,-0.3034180936,0.6391737847
