time,mass.v,mass.s
0,0,0
0.0001,1.2566364e-06,4.188788882e-11
0.002817165045,0.0009969032431,9.363034479e-07
0.009451338289,0.01117257932,3.526494196e-05
0.01727890856,0.03693231315,0.0002140629199
0.02694008651,0.08777132653,0.0008004336324
0.03833626735,0.1708317315,0.002252879055
0.0516275481,0.2905108255,0.005297894346
0.06674716368,0.4402783728,0.01081651901
0.08369896706,0.5999890786,0.01966564348
0.1025296825,0.7339938014,0.03232231265
0.1235457561,0.7955092748,0.04857877421
0.1478236446,0.7320902649,0.0674085079
0.1750779227,0.5201013523,0.08472752933
0.2023322007,0.2529780178,0.09524980213
0.2295864787,0.05122758846,0.09912052601
0.2568407567,0.005865718176,0.0994856134
0.2840950347,0.1373565036,0.1010724742
0.3113493128,0.386380518,0.1080573397
0.3386035908,0.640595579,0.12218124
0.3666306822,0.7870047296,0.142572128
0.3967334009,0.7378813767,0.1660789948
0.4334077651,0.438742193,0.1881957791
0.4603311935,0.1819040629,0.1964565603
0.4883879816,0.01682782092,0.1988793158
0.5164447696,0.03350447718,0.1991294111
0.5494435707,0.2696537547,0.2036308242
0.5722157145,0.4940819825,0.2123164446
0.5999445309,0.7194593917,0.229387768
0.6276733473,0.7948787925,0.2508069221
0.6598401157,0.6527443983,0.2747006402
0.692006884,0.3529197507,0.2910720877
0.7241736524,0.08091945696,0.2977107109
0.7563404207,0.005041981133,0.2984280795
0.7885071891,0.1722360322,0.3006995023
0.8206739574,0.4790513469,0.3110387267
0.8528407258,0.7356478869,0.3309675989
0.8851249354,0.7829642663,0.3561663995
0.9229529573,0.5401462673,0.382018089
0.9536149067,0.2411155674,0.3939840821
0.9842768561,0.03067018594,0.3977283156
1,6.079156601e-06,0.3978899656
