time,spring.w_rel_ref,spring.w_rel_sim,spring.w_rel_relerr
2.3552,-3.278318165e-09,5.273735892e-10,8.47731e-07
2.356,-2.418593248e-09,5.462006403e-10,6.60418e-07
2.3568,-1.536528722e-09,5.606027864e-10,4.67143e-07
2.3576,-6.337178923e-10,5.702555095e-10,2.68189e-07
2.3584,2.882066178e-10,5.748294063e-10,6.38462e-08
2.3592,1.227572865e-09,5.739897446e-10,1.45588e-07
2.36,2.182669587e-09,5.673965742e-10,3.59807e-07
2.3608,3.1517462e-09,5.547048376e-10,5.785e-07
2.3616,4.133012803e-09,5.355639265e-10,8.01344e-07
2.3624,5.124640173e-09,5.096184585e-10,1.02801e-06
2.3632,6.12475977e-09,4.733226033e-10,1.25888e-06
2.364,7.131463732e-09,4.333358117e-10,1.49203e-06
2.3648,8.142804878e-09,3.949256477e-10,1.72587e-06
2.3656,9.156796707e-09,3.580593599e-10,1.95995e-06
2.3664,1.01714134e-08,3.227041967e-10,2.19383e-06
2.3672,1.118458982e-08,2.888286277e-10,2.42707e-06
2.368,1.21942215e-08,2.564001234e-10,2.65919e-06
2.3688,1.319816467e-08,2.253873754e-10,2.88973e-06
2.3696,1.419423623e-08,1.957592977e-10,3.11821e-06
2.3704,1.518021375e-08,1.674848038e-10,3.34414e-06
2.3712,1.615383551e-08,1.405333627e-10,3.56702e-06
2.372,1.711280044e-08,1.148743323e-10,3.78634e-06
2.3728,1.805476816e-08,9.047773641e-11,4.00161e-06
2.3736,1.897735899e-08,6.731382118e-11,4.21228e-06
2.3744,1.987815389e-08,4.535327669e-11,4.41782e-06
2.3752,2.075469455e-08,2.456645998e-11,4.61771e-06
2.376,2.16044833e-08,4.92506036e-12,4.81137e-06
2.3768,2.242498316e-08,-1.360023205e-11,4.99827e-06
2.3776,2.321361784e-08,-3.103695079e-11,5.17782e-06
2.3784,2.396777173e-08,-4.741362858e-11,5.34946e-06
2.3792,2.468478989e-08,-6.275790998e-11,5.5126e-06
2.38,2.536197807e-08,-7.709699545e-11,5.66664e-06
2.3808,2.59966027e-08,-9.045841853e-11,5.81098e-06
2.3816,2.658589087e-08,-1.028684915e-10,5.94501e-06
2.3824,2.712703038e-08,-1.143539707e-10,6.06811e-06
2.3832,2.76171697e-08,-1.249412795e-10,6.17965e-06
2.384,2.805341797e-08,-1.346561751e-10,6.27899e-06
2.3848,2.843284503e-08,-1.435243036e-10,6.36548e-06
2.3856,2.875248137e-08,-1.515713111e-10,6.43847e-06
2.3864,2.90093182e-08,-1.588218446e-10,6.4973e-06
2.3872,2.920030737e-08,-1.65300662e-10,6.54129e-06
2.388,2.948453491e-08,-1.710326325e-10,6.60588e-06
2.3888,2.997844787e-08,-1.760416257e-10,6.71701e-06
2.3896,3.044088163e-08,-1.803516225e-10,6.82098e-06
2.3904,3.087066192e-08,-1.839861596e-10,6.91753e-06
2.3912,3.126661441e-08,-1.869686628e-10,7.00639e-06
2.392,3.162756484e-08,-1.893218915e-10,7.08732e-06
2.3928,3.195233889e-08,-1.910686054e-10,7.16005e-06
2.3936,3.223976227e-08,-1.92231453e-10,7.22434e-06
2.3944,3.248866069e-08,-1.928323057e-10,7.27991e-06
2.3952,3.269785985e-08,-1.928929239e-10,7.32653e-06
2.396,3.286618545e-08,-1.924351789e-10,7.36392e-06
2.3968,3.299246321e-08,-1.91479832e-10,7.39183e-06
2.3976,3.307551883e-08,-1.900479774e-10,7.41002e-06
2.3984,3.311417801e-08,-1.881604872e-10,7.41821e-06
2.3992,3.310726645e-08,-1.858373455e-10,7.41615e-06
2.4,3.305360986e-08,-1.830988694e-10,7.40359e-06
2.4008,3.295203395e-08,-1.799647098e-10,7.38026e-06
2.4016,3.280136442e-08,-1.764541846e-10,7.34592e-06
2.4024,3.260042698e-08,-1.725867227e-10,7.3003e-06
