time,springPlateB.s,springPlateA.s,spool.s,springPlateB.v,spool.v,springPlateA.v,outerContactA.v_rel,outerContactB.s_rel,innerContactB.s_rel,outerContactB.v_rel,innerContactA.s_rel,friction.v_rel
0,-0.06925,-0.093,0.01475,0,0,0,0,0.00325,0.00275,0,0.001,0
2.438127639e-12,-0.06925,-0.093,0.01475,1.584782965e-08,1.901759536e-22,-1.584782965e-08,-1.584782965e-08,0.00325,0.00275,-1.584782965e-08,0.001,1.901759536e-22
2.438127639e-12,-0.06925,-0.093,0.01475,1.584782965e-08,1.901759536e-22,-1.584782965e-08,-1.584782965e-08,0.00325,0.00275,-1.584782965e-08,0.001,1.901759536e-22
6.28309157e-11,-0.06925,-0.093,0.01475,4.084009521e-07,1.241044137e-19,-4.083987787e-07,-4.083987787e-07,0.00325,0.00275,-4.084009521e-07,0.001,1.241044137e-19
6.28309157e-11,-0.06925,-0.093,0.01475,4.084009521e-07,1.241044137e-19,-4.083987787e-07,-4.083987787e-07,0.00325,0.00275,-4.084009521e-07,0.001,1.241044137e-19
1.512917123e-06,-0.06924999256,-0.09300000744,0.01475,0.009833946293,-4.919842149e-08,-0.009832452448,-0.009832452448,0.003249992561,0.002749992561,-0.009833946293,0.0009999925616,-4.919842149e-08
3.314262867e-06,-0.0692499643,-0.09300003569,0.01475,0.0215425509,-5.177881916e-07,-0.02152678564,-0.02152678564,0.003249964301,0.002749964301,-0.0215425509,0.0009999643145,-5.177881916e-07
1.23320072e-05,-0.06924950577,-0.09300049173,0.01474999992,0.08014993252,-2.566521943e-05,-0.07933978448,-0.07933978448,0.00324950577,0.00274950569,-0.08014993252,0.0009995083505,-2.566521943e-05
2.401730212e-05,-0.06924812566,-0.09300183858,0.0147499989,0.1560527814,-0.0001793330881,-0.1501200574,-0.1501200574,0.003248125659,0.002748124557,-0.1560527814,0.000998162524,-0.0001793330881
3.923415564e-05,-0.06924499975,-0.09300474889,0.01474999262,0.2547643533,-0.0007217351171,-0.2294072708,-0.2294072708,0.003244999754,0.00274499237,-0.2547643533,0.0009952584918,-0.0007217351171
5.777904284e-05,-0.06923916195,-0.09300968442,0.01474996801,0.3747554807,-0.002065839719,-0.2967041507,-0.2967041507,0.003239161948,0.002739129957,-0.3747554807,0.0009903475718,-0.002065839719
8.01826838e-05,-0.06922914781,-0.09301674936,0.01474989378,0.5190912663,-0.004742702463,-0.3233315074,-0.3233315074,0.003229147807,0.00272904159,-0.5190912663,0.0009833568525,-0.004742702463
0.0001066926453,-0.06921313457,-0.09302483595,0.01474971292,0.6887873731,-0.009051591067,-0.2723340801,-0.2723340801,0.003213134571,0.002712847495,-0.6887873731,0.0009754511297,-0.009051591067
0.0001242468897,-0.0692000627,-0.09302898518,0.01474952657,0.8004231981,-0.01218252768,-0.1955405297,-0.1955405297,0.003200062703,0.002699589269,-0.8004231981,0.0009714882589,-0.01218252768
0.0001331259014,-0.06919270597,-0.09303050958,0.01474941149,0.8566565112,-0.01372777659,-0.1469359992,-0.1469359992,0.003192705972,0.002692117463,-0.8566565112,0.0009700789335,-0.01372777659
0.0001372565344,-0.06918911351,-0.09303106687,0.01474935336,0.8827631211,-0.01439889933,-0.1229585437,-0.1229585437,0.003189113508,0.002688466871,-0.8827631211,0.0009695797657,-0.01439889933
0.0001392620239,-0.06918733044,-0.0930313025,0.01474932421,0.8954259328,-0.01466528216,-0.1121924008,-0.1121924008,0.003187330437,0.002686654649,-0.8954259328,0.0009693732869,-0.01466528216
0.0001491337919,-0.06917818376,-0.09303219426,0.01474917491,0.9576383392,-0.0154565139,-0.07154104489,-0.07154104489,0.003178183763,0.002677358673,-0.9576383392,0.000968630826,-0.0154565139
0.0001572982969,-0.0691701556,-0.0930326822,0.01474904769,1.008940028,-0.01565539489,-0.04935889893,-0.04935889893,0.003170155599,0.002669203291,-1.008940028,0.0009682701092,-0.01565539489
0.0001684777371,-0.06915848459,-0.09303311479,0.01474887297,1.078956159,-0.01554876604,-0.02967805922,-0.02967805922,0.003158484592,0.00265735756,-1.078956159,0.0009680122468,-0.01554876604
