time,damper.phi_rel,inertia3.w,inertia3.phi,damper.phi_relˍt,inertia2.wˍt,damper.w_rel
0,-0,0,0,-0,-0,0
1e-06,-4.363322221e-17,5.454153002e-20,1.090830631e-26,-1.308996575e-10,0.0002617992786,-1.308996575e-10
4.296582724e-05,-3.460851379e-12,1.858732141e-13,1.5972414e-18,-2.416460397e-07,0.0112482196,-2.416460397e-07
0.0004626240997,-4.319682423e-09,2.497961751e-09,2.311300081e-13,-2.801078173e-05,0.1210835004,-2.801078173e-05
0.002237742369,-4.884805745e-07,1.365561521e-06,6.113966407e-10,-0.000654574452,0.5844051095,-0.000654574452
0.005604723455,-7.651259344e-06,5.338701312e-05,5.997596329e-08,-0.004086055694,1.450011869,-0.004086055694
0.009914585416,-4.206052325e-05,0.0005145089498,1.027070439e-06,-0.01264281417,2.509135115,-0.01264281417
0.0144580906,-0.0001290182931,0.002266973775,6.648130822e-06,-0.02641024126,3.532319875,-0.02641024126
0.01963836273,-0.000317946619,0.007404970626,2.984762119e-05,-0.04740321044,4.541715963,-0.04740321044
0.02534882563,-0.0006678273998,0.01936187286,0.0001025026662,-0.0759755334,5.422359148,-0.0759755334
0.03186428031,-0.00128337745,0.04431834481,0.0003025891545,-0.1137162562,6.104876381,-0.1137162562
0.03935453607,-0.002310853174,0.09101634568,0.0007969211282,-0.1610954287,6.475770604,-0.1610954287
0.04831874332,-0.0040160389,0.1718557517,0.001956755425,-0.2192649535,6.422921652,-0.2192649535
0.05860989218,-0.006604885058,0.2863067541,0.00430344014,-0.2829137669,5.876706813,-0.2829137669
0.06893545878,-0.00982478303,0.3990488797,0.007856652538,-0.3392148757,4.979033578,-0.3392148757
0.08038198517,-0.01400657653,0.4868821803,0.01297881645,-0.3888930434,3.636410897,-0.3888930434
0.0921800115,-0.01880799839,0.5127920739,0.01894394426,-0.4214132001,1.788847074,-0.4214132001
0.1039780378,-0.02385222218,0.4772960105,0.02483378223,-0.42902157,-0.5782902853,-0.42902157
0.1159929188,-0.02890029647,0.4070188894,0.03016296003,-0.405814228,-3.2989482,-0.405814228
0.1290772764,-0.0338467974,0.32802532,0.03496040257,-0.3444511041,-5.956043631,-0.3444511041
0.1422261371,-0.03780689898,0.259814179,0.038817246,-0.2545903466,-7.45624838,-0.2545903466
0.1557848522,-0.04056572263,0.1841546648,0.04184830577,-0.1528189519,-7.254624234,-0.1528189519
0.1693435673,-0.04201512175,0.08289531052,0.0436896549,-0.06497333931,-5.500080804,-0.06497333931
0.1838723355,-0.04247091775,-0.03883776066,0.04399730292,-0.004405633591,-2.77555366,-0.004405633591
0.1951348616,-0.04239056547,-0.1055518237,0.04314311093,0.01464115927,-0.6294147777,0.01464115927
0.2072208181,-0.04222028414,-0.1145771413,0.04173704665,0.009291451281,1.479278904,0.009291451281
0.2193067746,-0.04226392359,-0.04983098845,0.04067574043,-0.02040062954,3.409748761,-0.02040062954
0.2316889719,-0.04282535398,0.06755934868,0.04075457121,-0.07399646204,5.204784083,-0.07399646204
0.2440711692,-0.04417932623,0.1908327999,0.04237155519,-0.1475148926,6.559792979,-0.1475148926
0.2576608831,-0.04681312401,0.290627672,0.04569718775,-0.2410354844,6.962336919,-0.2410354844
0.272185261,-0.05101743804,0.3505984501,0.05039786542,-0.334579273,5.594792707,-0.334579273
0.2867096388,-0.05637200142,0.3922847909,0.05579572088,-0.3953717074,2.56948127,-0.3953717074
0.3012775006,-0.06227573612,0.4327402843,0.06181431637,-0.406283152,-1.05744485,-0.406283152
0.3158453624,-0.06796711334,0.4432379184,0.06826202481,-0.3678117829,-4.039840548,-0.3678117829
0.3312606769,-0.07307162344,0.3709493841,0.07466830647,-0.2898361369,-5.841426904,-0.2898361369
0.3466759915,-0.07681203109,0.2097850441,0.07922681109,-0.1939340413,-6.437232316,-0.1939340413
0.362091306,-0.07903962399,0.03137961651,0.08104428015,-0.09580706573,-6.148598337,-0.09580706573
0.3775066206,-0.07982684032,-0.07663882375,0.0805683511,-0.009769421137,-4.800964496,-0.009769421137
0.392956283,-0.07949999633,-0.08873468739,0.07918475356,0.04499278033,-2.054236399,0.04499278033
