time,idealTransformer.plug_p2.pin[3].i,idealTransformer.idealTransformer[1].p2.i,idealTransformer.plug_p2.pin[2].i,transformerL.inductor[1].i,transformerL.inductor[3].i,transformerL.inductor[2].i
0.4337648168,-0.04156300509,-0.4521365029,0.493699508,0.4521365029,0.04156300509,-0.493699508
0.4457281665,0.1617783355,-0.5340093284,0.3722309929,0.5340093284,-0.1617783355,-0.3722309929
0.4576915162,0.3425353329,-0.5413341627,0.1987988299,0.5413341627,-0.3425353329,-0.1987988299
0.4696548659,0.4754742124,-0.473088455,-0.002385757452,0.473088455,-0.4754742124,0.002385757452
0.4816345107,0.5420766434,-0.3385790362,-0.2034976072,0.3385790362,-0.5420766434,0.2034976072
0.4936141555,0.5328010225,-0.156676464,-0.3761245585,0.156676464,-0.5328010225,0.3761245585
0.5055938002,0.4489457294,0.04715714602,-0.4961028754,-0.04715714602,-0.4489457294,0.4961028754
0.5176303923,0.3014310352,0.245266302,-0.5466973372,-0.245266302,-0.3014310352,0.5466973372
0.5296669843,0.111325709,0.4087206545,-0.5200463636,-0.4087206545,-0.111325709,0.5200463636
0.5417035764,-0.09450934245,0.514424974,-0.4199156315,-0.514424974,0.09450934245,0.4199156315
0.5537802333,-0.2875776105,0.5474241235,-0.259846513,-0.5474241235,0.2875776105,0.259846513
0.5658568902,-0.4397450147,0.5025655804,-0.06282056572,-0.5025655804,0.4397450147,0.06282056572
0.5779335471,-0.5293694689,0.3862294013,0.1431400677,-0.3862294013,0.5293694689,-0.1431400677
0.5900102041,-0.5437040914,0.2149615565,0.3287425349,-0.2149615565,0.5437040914,-0.3287425349
0.602086861,-0.4807101334,0.0131206992,0.4675894342,-0.0131206992,0.4807101334,-0.4675894342
0.6141635179,-0.3493469414,-0.190586256,0.5399331973,0.190586256,0.3493469414,-0.5399331973
0.6262401748,-0.1682977096,-0.3671869876,0.5354846973,0.3671869876,0.1682977096,-0.5354846973
0.6383168317,0.03668774618,-0.4915643703,0.4548766241,0.4915643703,-0.03668774618,-0.4548766241
0.6504183044,0.2368403154,-0.5460615358,0.3092212204,0.5460615358,-0.2368403154,-0.3092212204
0.6625197771,0.4031712552,-0.5225791695,0.1194079143,0.5225791695,-0.4031712552,-0.1194079143
0.6746212497,0.5119279164,-0.4244706525,-0.08745726389,0.4244706525,-0.5119279164,0.08745726389
0.6867564646,0.5475693398,-0.2652384854,-0.2823308545,0.2652384854,-0.5475693398,0.2823308545
0.6988916795,0.5045845406,-0.06792034995,-0.4366641906,0.06792034995,-0.5045845406,0.4366641906
0.7110268943,0.3891457863,0.1391505577,-0.5282963441,-0.1391505577,-0.3891457863,0.5282963441
0.7231621092,0.2178290792,0.3262406547,-0.5440697339,-0.3262406547,-0.2178290792,0.5440697339
0.7352973241,0.01523400949,0.466485429,-0.4817194385,-0.466485429,-0.01523400949,0.4817194385
0.7474325389,-0.1895485316,0.5397469499,-0.3501984183,-0.5397469499,0.1895485316,0.3501984183
0.7595677538,-0.3671135509,0.5355054997,-0.1683919488,-0.5355054997,0.3671135509,0.1683919488
0.7717029687,-0.4919642549,0.4543701138,0.0375941411,-0.4543701138,0.4919642549,-0.0375941411
0.7838492471,-0.5461871527,0.3078337198,0.2383534328,-0.3078337198,0.5461871527,-0.2383534328
0.7959955255,-0.5218409858,0.1170154162,0.4048255696,-0.1170154162,0.5218409858,-0.4048255696
0.808141804,-0.4224279594,-0.09063556272,0.5130635221,0.09063556272,0.4224279594,-0.5130635221
0.8203084414,-0.2619410946,-0.2855475721,0.5474886667,0.2855475721,0.2619410946,-0.5474886667
0.8324750787,-0.06364909193,-0.4392474141,0.502896506,0.4392474141,0.06364909193,-0.502896506
0.8446417161,0.143829181,-0.5295520799,0.3857228989,0.5295520799,-0.143829181,-0.3857228989
0.8568083535,0.3305490477,-0.5434281857,0.212879138,0.5434281857,-0.3305490477,-0.212879138
0.8689749908,0.4695618263,-0.4788730375,0.00931121116,0.4788730375,-0.4695618263,-0.00931121116
0.8811416282,0.5408042465,-0.3452036735,-0.1956005731,0.3452036735,-0.5408042465,0.1956005731
0.8933082655,0.5339941174,-0.161712166,-0.3722819514,0.161712166,-0.5339941174,0.3722819514
0.9054749029,0.4501143232,0.04511874177,-0.495233065,-0.04511874177,-0.4501143232,0.495233065
0.9176508234,0.3011375801,0.245580578,-0.5467181581,-0.245580578,-0.3011375801,0.5467181581
0.9298267439,0.1086330665,0.4105451087,-0.5191781751,-0.4105451087,-0.1086330665,0.5191781751
0.9420026645,-0.09957375288,0.5161676267,-0.4165938739,-0.5161676267,0.09957375288,0.4165938739
0.954178585,-0.2933877399,0.5471809846,-0.2537932447,-0.5471809846,0.2933877399,0.2537932447
0.9663545055,-0.4447941606,0.4991023738,-0.05430821319,-0.4991023738,0.4447941606,0.05430821319
0.978530426,-0.5319080587,0.3788812902,0.1530267685,-0.3788812902,0.5319080587,-0.1530267685
0.9907063465,-0.5421376047,0.2038950229,0.3382425817,-0.2038950229,0.5421376047,-0.3382425817
1,-0.4968657519,0.0489608503,0.4479049016,-0.0489608503,0.4968657519,-0.4479049016
