time,mass2.T,mass1.T
0,273.15,373.15
0.001,273.2166222,373.0833778
0.002,273.2831557,373.0168443
0.003,273.3496005,372.9503995
0.004,273.4159568,372.8840432
0.005,273.4822247,372.8177753
0.006,273.5484042,372.7515958
0.007,273.6144956,372.6855044
0.008,273.680499,372.619501
0.009,273.7464143,372.5535857
0.01,273.8122419,372.4877581
0.011,273.8779817,372.4220183
0.012,273.943634,372.356366
0.013,274.0091988,372.2908012
0.014,274.0746762,372.2253238
0.015,274.1400663,372.1599337
0.016,274.2053694,372.0946306
0.017,274.2705854,372.0294146
0.018,274.3357145,371.9642855
0.019,274.4007569,371.8992431
0.02,274.4657125,371.8342875
0.021,274.5305817,371.7694183
0.022,274.5953644,371.7046356
0.023,274.6600607,371.6399393
0.024,274.7246709,371.5753291
0.025,274.789195,371.510805
0.026,274.8536331,371.4463669
0.027,274.9179854,371.3820146
0.028,274.9822519,371.3177481
0.029,275.0464327,371.2535673
0.03,275.1105281,371.1894719
0.031,275.174538,371.125462
0.032,275.2384627,371.0615373
0.033,275.3023022,370.9976978
0.034,275.3660566,370.9339434
0.035,275.429726,370.870274
0.036,275.4933107,370.8066893
0.037,275.5568106,370.7431894
0.038,275.6202259,370.6797741
0.039,275.6835567,370.6164433
0.04,275.7468031,370.5531969
0.041,275.8099652,370.4900348
0.042,275.8730432,370.4269568
0.043,275.9360371,370.3639629
0.044,275.9989471,370.3010529
0.045,276.0617733,370.2382267
0.046,276.1245158,370.1754842
0.047,276.1871746,370.1128254
0.048,276.24975,370.05025
0.049,276.312242,369.987758
0.05,276.3746507,369.9253493
0.051,276.4369763,369.8630237
0.052,276.4992188,369.8007812
0.053,276.5613784,369.7386216
0.054,276.6234552,369.6765448
0.055,276.6854492,369.6145508
0.056,276.7473607,369.5526393
0.057,276.8091896,369.4908104
0.058,276.8709362,369.4290638
0.059,276.9326005,369.3673995
0.06,276.9941827,369.3058173
0.061,277.0556827,369.2443173
0.062,277.1171009,369.1828991
0.063,277.1784372,369.1215628
0.064,277.2396917,369.0603083
0.065,277.3008647,368.9991353
0.066,277.3619561,368.9380439
0.067,277.4229662,368.8770338
0.068,277.4838949,368.8161051
0.069,277.5447425,368.7552575
0.07,277.605509,368.694491
0.071,277.6661945,368.6338055
0.072,277.7267992,368.5732008
0.073,277.7873231,368.5126769
0.074,277.8477664,368.4522336
0.075,277.9081291,368.3918709
0.076,277.9684114,368.3315886
0.077,278.0286134,368.2713866
0.078,278.0887351,368.2112649
0.079,278.1487768,368.1512232
0.08,278.2087384,368.0912616
0.081,278.2686202,368.0313798
0.082,278.3284219,367.9715781
0.083,278.3881439,367.9118561
0.084,278.4477864,367.8522136
0.085,278.5073494,367.7926506
0.086,278.5668331,367.7331669
0.087,278.6262375,367.6737625
0.088,278.6855628,367.6144372
0.089,278.7448091,367.5551909
0.09,278.8039765,367.4960235
0.091,278.863065,367.436935
0.092,278.9220748,367.3779252
0.093,278.981006,367.318994
0.094,279.0398587,367.2601413
0.095,279.098633,367.201367
0.096,279.157329,367.142671
0.097,279.2159468,367.0840532
0.098,279.2744865,367.0255135
0.099,279.3329482,366.9670518
0.1,279.391332,366.908668
0.101,279.4496381,366.8503619
0.102,279.5078664,366.7921336
0.103,279.5660172,366.7339828
0.104,279.6240905,366.6759095
0.105,279.6820865,366.6179135
0.106,279.7400051,366.5599949
0.107,279.7978466,366.5021534
0.108,279.8556111,366.4443889
0.109,279.9132985,366.3867015
0.11,279.9709091,366.3290909
0.111,280.028443,366.271557
0.112,280.0859002,366.2140998
0.113,280.1432808,366.1567192
0.114,280.200585,366.099415
0.115,280.2578129,366.0421871
0.116,280.3149644,365.9850356
0.117,280.3720399,365.9279601
0.118,280.4290393,365.8709607
0.119,280.4859627,365.8140373
0.12,280.5428103,365.7571897
0.121,280.5995822,365.7004178
0.122,280.6562784,365.6437216
0.123,280.712899,365.587101
0.124,280.7694442,365.5305558
0.125,280.8259141,365.4740859
0.126,280.8823087,365.4176913
0.127,280.9386282,365.3613718
0.128,280.9948726,365.3051274
0.129,281.0510421,365.2489579
0.13,281.1071368,365.1928632
0.131,281.1631567,365.1368433
0.132,281.219102,365.080898
0.133,281.2749727,365.0250273
0.134,281.3307689,364.9692311
0.135,281.3864909,364.9135091
0.136,281.4421385,364.8578615
0.137,281.497712,364.802288
0.138,281.5532115,364.7467885
0.139,281.608637,364.691363
0.14,281.6639887,364.6360113
0.141,281.7192666,364.5807334
0.142,281.7744708,364.5255292
0.143,281.8296015,364.4703985
0.144,281.8846587,364.4153413
0.145,281.9396426,364.3603574
0.146,281.9945531,364.3054469
0.147,282.0493906,364.2506094
0.148,282.1041549,364.1958451
0.149,282.1588463,364.1411537
0.15,282.2134648,364.0865352
0.151,282.2680105,364.0319895
0.152,282.3224835,363.9775165
0.153,282.3768839,363.9231161
0.154,282.4312119,363.8687881
0.155,282.4854675,363.8145325
0.156,282.5396507,363.7603493
0.157,282.5937618,363.7062382
0.158,282.6478007,363.6521993
0.159,282.7017677,363.5982323
0.16,282.7556627,363.5443373
0.161,282.8094859,363.4905141
0.162,282.8632374,363.4367626
0.163,282.9169173,363.3830827
0.164,282.9705256,363.3294744
0.165,283.0240625,363.2759375
0.166,283.0775281,363.2224719
0.167,283.1309224,363.1690776
0.168,283.1842456,363.1157544
0.169,283.2374977,363.0625023
0.17,283.2906789,363.0093211
0.171,283.3437892,362.9562108
0.172,283.3968287,362.9031713
0.173,283.4497976,362.8502024
0.174,283.5026958,362.7973042
0.175,283.5555236,362.7444764
0.176,283.608281,362.691719
0.177,283.6609681,362.6390319
0.178,283.713585,362.586415
0.179,283.7661318,362.5338682
0.18,283.8186085,362.4813915
0.181,283.8710154,362.4289846
0.182,283.9233524,362.3766476
0.183,283.9756196,362.3243804
0.184,284.0278172,362.2721828
0.185,284.0799453,362.2200547
0.186,284.1320039,362.1679961
0.187,284.1839931,362.1160069
0.188,284.2359131,362.0640869
0.189,284.2877639,362.0122361
0.19,284.3395456,361.9604544
0.191,284.3912582,361.9087418
0.192,284.442902,361.857098
0.193,284.494477,361.805523
0.194,284.5459833,361.7540167
0.195,284.5974209,361.7025791
0.196,284.64879,361.65121
0.197,284.7000906,361.5999094
0.198,284.7513229,361.5486771
