time,dcpm.inertiaRotor.w,dcpm.flange.tau,dcpm.friction.phi,dcpm.airGapDC.ia,dcpm.la.i,loadInertia.w,loadInertia.phi
1.015606274,152.7789916,-26.76422486,59.43066025,84.0822922,84.0822922,152.7789916,59.43066025
1.021876004,153.8534673,-24.57300818,60.39195949,77.19838198,77.19838198,153.8534673,60.39195949
1.029279169,154.9925498,-21.52199808,61.53527152,67.61335105,67.61335105,154.9925498,61.53527152
1.037720917,156.0978285,-17.72520703,62.8484953,55.68538018,55.68538018,156.0978285,62.8484953
1.048669251,157.209107,-12.75434977,64.56392135,40.06897155,40.06897155,157.209107,64.56392135
1.059617585,157.9689895,-8.160103681,66.28956516,25.63572178,25.63572178,157.9689895,66.28956516
1.070565919,158.4168047,-4.23914328,68.0217751,13.31766139,13.31766139,158.4168047,68.0217751
1.081514253,158.6078294,-1.137077037,69.7574275,3.572232867,3.572232867,158.6078294,69.7574275
1.090535491,158.6156864,0.7811585589,71.18838859,-2.45408199,-2.45408199,158.6156864,71.18838859
1.099556729,158.5248593,2.152068765,72.61895067,-6.760923423,-6.760923423,158.5248593,72.61895067
1.108577967,158.3666915,3.031543957,74.0483674,-9.523876225,-9.523876225,158.3666915,74.0483674
1.117708517,158.1660772,3.49521231,75.49344806,-10.98053332,-10.98053332,158.1660772,75.49344806
1.126972338,157.9450037,3.611930951,76.95765167,-11.34721574,-11.34721574,157.9450037,76.95765167
1.136466192,157.7201878,3.452491658,78.45608335,-10.84632243,-10.84632243,157.7201878,78.45608335
1.146333483,157.5043945,3.080843918,80.01126941,-9.678756619,-9.678756619,157.5043945,80.01126941
1.156770884,157.3078105,2.553939645,81.65414805,-8.023438027,-8.023438027,157.3078105,81.65414805
1.168252998,157.1367067,1.913305304,83.45934497,-6.010825888,-6.010825888,157.1367067,83.45934497
1.183475844,156.9846635,1.099942674,85.85015058,-3.455571823,-3.455571823,156.9846635,85.85015058
1.193107583,156.9286374,0.6567000339,87.36189327,-2.063084002,-2.063084002,156.9286374,87.36189327
1.204299182,156.8959851,0.2365096589,89.11796364,-0.7430170068,-0.7430170068,156.8959851,89.11796364
1.215490781,156.8906295,-0.07490574763,90.87382892,0.2353233465,0.2353233465,156.8906295,90.87382892
1.226682379,156.9045706,-0.2823684874,92.62974948,0.8870867656,0.8870867656,156.9045706,92.62974948
1.237873978,156.9304997,-0.3988954689,94.38589948,1.253167075,1.253167075,156.9304997,94.38589948
1.249065577,156.9622655,-0.4419324952,96.14237744,1.38837188,1.38837188,156.9622655,96.14237744
1.260280366,156.9951543,-0.4302801107,97.90286147,1.351764835,1.351764835,156.9951543,97.90286147
1.271804611,157.0264804,-0.3802847054,99.71229627,1.194699637,1.194699637,157.0264804,99.71229627
1.283940033,157.0542912,-0.3047350839,101.6180538,0.9573535008,0.9573535008,157.0542912,101.6180538
1.297427843,157.0775385,-0.2122280433,103.7365385,0.6667340618,0.6667340618,157.0775385,103.7365385
