time,dcpm1.flange.tau,dcpm2.friction.phi,dcpm2.inertiaRotor.w,dcpm2.brush.n.i,dcpm2.airGapDC.ia,dcpm1.friction.phi,dcpm1.inertiaRotor.w,dcpm2.flange.tau,dcpm1.airGapDC.ia,dcpm1.la.i,dcpm2.la.i,loadInertia1.w,loadInertia2.w,loadInertia2.phi,loadInertia1.phi
0.2069068007,-0.584744535,1.078499725e-05,0.005672009231,-0.997818057,0.9907734591,1.600194622e-05,0.009157415455,-0.3153729649,1.837028759,1.837028759,0.9907734591,0.009157415455,0.005672009231,1.078499725e-05,1.600194622e-05
0.2069781027,-0.5963819657,1.119479417e-05,0.005823045392,-1.012902883,1.005699962,1.666486349e-05,0.009438133565,-0.3201242196,1.873588802,1.873588802,1.005699962,0.009438133565,0.005823045392,1.119479417e-05,1.666486349e-05
0.2070094553,-0.601532167,1.137841294e-05,0.005890178723,-1.019664903,1.012381824,1.696273312e-05,0.009563325513,-0.3222511227,1.889768626,1.889768626,1.012381824,0.009563325513,0.005890178723,1.137841294e-05,1.696273312e-05
0.2073229812,-0.6541381555,1.333312552e-05,0.00658690716,-1.091332514,1.083251979,2.01638728e-05,0.01087525988,-0.3448098004,2.055035093,2.055035093,1.083251979,0.01087525988,0.00658690716,1.333312552e-05,2.01638728e-05
0.2085232933,-0.8737015715,2.305435585e-05,0.009754514737,-1.432460608,1.421401823,3.669915625e-05,0.0169692367,-0.4524462838,2.744813145,2.744813145,1.421401823,0.0169692367,0.009754514737,2.305435585e-05,3.669915625e-05
0.2103560734,-1.261989997,4.677601872e-05,0.01659350626,-2.14929672,2.133909821,7.897386341e-05,0.02995343073,-0.6792448141,3.964654475,3.964654475,2.133909821,0.02995343073,0.01659350626,4.677601872e-05,7.897386341e-05
0.2125521292,-1.80543995,9.59587683e-05,0.02908858713,-3.299838114,3.279591782,0.000167842889,0.05230807341,-1.043927385,5.671944596,5.671944596,3.279591782,0.05230807341,0.02908858713,9.59587683e-05,0.000167842889
0.2153765821,-2.61704273,0.0002109154975,0.05421112441,-5.205335372,5.179315819,0.000370522297,0.09375744426,-1.648630948,8.221642739,8.221642739,5.179315819,0.09375744426,0.05421112441,0.0002109154975,0.000370522297
0.2187504126,-3.730579938,0.0004671695334,0.1010681913,-8.036368396,8.004074063,0.0007997638244,0.1648719295,-2.547788711,11.71984046,11.71984046,8.004074063,0.1648719295,0.1010681913,0.0004671695334,0.0007997638244
0.2227993987,-5.237299452,0.001038219468,0.1868281746,-12.1089389,12.06986997,0.001697874481,0.2855317468,-3.842003197,16.45309538,16.45309538,12.06986997,0.2855317468,0.1868281746,0.001038219468,0.001697874481
0.2274974466,-7.163147488,0.002239821749,0.3337734189,-17.5707436,17.5246387,0.00347083996,0.4792914896,-5.578406375,22.50265995,22.50265995,17.5246387,0.4792914896,0.3337734189,0.002239821749,0.00347083996
