time,resistor.i,resistor.LossPower
0,0,0
0.01002004008,0.1384103061,1.915814686
0.02004008016,0.2762405991,7.632051647
0.03006012024,0.4129143348,17.0556407
0.04008016032,0.5478618455,30.03328932
0.0501002004,0.6805236313,46.35417566
0.06012024048,0.8103534786,65.75363326
0.07014028056,0.9368213624,87.91774576
0.08016032064,1.059416092,112.4887519
0.09018036072,1.177647673,139.0711468
0.1002004008,1.291049362,167.2383541
0.1102204409,1.399179416,196.539837
0.120240481,1.501622523,226.5085148
0.130260521,1.597990937,256.6683473
0.1402805611,1.687925327,286.5419598
0.1503006012,1.771095369,315.6581806
0.1603206413,1.847200112,343.5593766
0.1703406814,1.915968146,369.8084788
0.1803607214,1.977157617,393.9956018
0.1903807615,2.030556115,415.7441714
0.2004008016,2.075980482,434.7164872
0.2104208417,2.11327657,450.6186558
0.2204408818,2.142318968,463.2048418
0.2304609218,2.163010759,472.2807948
0.2404809619,2.175283285,477.706616
0.250501002,2.179095982,479.3987409
0.2605210421,2.174436275,477.3311195
0.2705410822,2.161319534,471.5355834
0.2805611222,2.139789129,462.1013967
0.2905811623,2.109916532,449.1739957
0.3006012024,2.071801501,432.9529268
0.3106212425,2.025572307,413.6890019
0.3206412826,1.971385989,391.6806982
0.3306613226,1.909428619,367.2698363
0.3406813627,1.839915544,340.8365815
0.3507014028,1.763091569,312.7938223
0.3607214429,1.679231063,283.5809892
0.370741483,1.588637924,253.6573913
0.380761523,1.491645396,223.4951548
0.3907815631,1.388615683,193.5718628
0.4008016032,1.279939331,164.3630026
0.4108216433,1.166034349,136.3343405
0.4208416834,1.047345052,109.9343467
0.4308617234,0.9243405901,85.58680433
0.4408817635,0.7975131761,63.68373579
0.4509018036,0.6673759951,44.57878184
0.4609218437,0.5344608145,28.58116455
0.4709418838,0.3993153109,15.95035841
0.4809619238,0.2625001447,6.891582346
0.4909819639,0.1245858216,1.552210881
0.501002004,-0.01385061228,0.01918395341
0.5110220441,-0.1522289875,2.317473871
0.5210420842,-0.2899694822,8.409644268
0.5310621242,-0.426496088,18.19651116
0.5410821643,-0.5612400083,31.51889099
0.5511022044,-0.6936429347,48.16039592
0.5611222445,-0.8231601458,67.85121353
0.5711422846,-0.9492633856,90.27278732
0.5811623246,-1.071443482,115.0632967
0.5911823647,-1.189212677,141.8238211
0.6012024048,-1.302106655,170.1250619
0.6112224449,-1.409686256,199.5144906
0.621242485,-1.51153888,229.5237873
0.6312625251,-1.607279586,259.6764359
0.6412825651,-1.696551924,289.4953452
0.6513026052,-1.779028492,318.5103716
0.6613226453,-1.85441129,346.2656282
0.6713426854,-1.922431864,372.326474
0.6813627255,-1.982851311,396.2860877
0.6913827655,-2.035460157,417.7715421
0.7014028056,-2.080078157,436.4493064
0.7114228457,-2.116554047,452.0301133
0.7214428858,-2.144765279,464.2731397
0.7314629259,-2.164617767,472.9894583
0.7414829659,-2.176045673,478.0447279
0.751503006,-2.179011235,479.3610956
0.7615230461,-2.173504671,476.9182965
0.7715430862,-2.15954415,470.753939
0.7815631263,-2.137175844,460.9629746
0.7915831663,-2.106474046,447.6963566
0.8016032064,-2.067541354,431.1588984
0.8116232465,-2.020508904,411.6063529
0.8216432866,-1.965536626,389.3417374
0.8316633267,-1.90281351,364.7109428
0.8416833667,-1.832557841,338.0976695
0.8517034068,-1.755017379,309.9177468
0.8617234469,-1.670469448,280.6129004
0.871743487,-1.579220892,250.6440444
0.8817635271,-1.481607874,220.4841861
0.8917835671,-1.377995461,190.6110409
0.9018036072,-1.268776991,161.4994675
0.9118236473,-1.154373162,133.6138413
0.9218436874,-1.035230841,107.4004923
0.9318637275,-0.911821571,83.28033937
0.9418837675,-0.7846397606,61.64185619
0.9519038076,-0.6542005658,42.83450251
0.9619238477,-0.5210374695,27.16275276
0.9719438878,-0.3856995823,14.88084425
0.9819639279,-0.2487486934,6.188357067
0.9919839679,-0.1107561135,1.226721765
1.002004008,0.02770064369,0.07673268382
1.012024048,0.1660412869,2.757122923
1.022044088,0.3036862205,9.224233469
1.032064128,0.4400600057,19.37278405
1.042084168,0.5745947499,33.03772808
1.052104208,0.7067333673,49.9971496
1.062124248,0.8359326576,69.97613712
1.072144289,0.9616661597,92.65154891
1.082164329,1.083426743,117.6575668
1.092184369,1.200728908,144.5919217
1.102204409,1.313110782,173.0226647
1.112224449,1.420135804,202.4953496
1.122244489,1.521394094,232.5404938
1.132264529,1.616503528,262.6811814
1.142284569,1.705110538,292.44068
1.152304609,1.786890653,321.3499473
1.162324649,1.86154882,348.9549127
1.172344689,1.928819546,374.8234288
1.182364729,1.988466875,398.5517994
1.19238477,2.040284267,419.7707993
1.20240481,2.084094387,438.151116
1.21242485,2.119748854,453.4081502
1.22244489,2.147127978,465.3061254
1.23246493,2.166140507,473.6614647
1.24248497,2.176723415,478.3454032
1.25250501,2.178841744,479.2858108
1.26252505,2.172488505,476.4682105
1.27254509,2.157684665,469.9359823
1.28256513,2.134479201,459.7897516
1.29258517,2.102949228,446.185967
1.30260521,2.063200186,429.3346801
1.312625251,2.015366079,409.4965477
1.322645291,1.959609731,386.9790835
1.332665331,1.896123052,362.132198
1.342685371,1.825127267,335.3430696
1.352705411,1.74687309,307.0304062
1.362725451,1.661640803,277.6381614
1.372745491,1.569740193,247.6287836
1.382765531,1.471510334,217.4760868
1.392785571,1.367319156,187.6578434
1.402805611,1.257562777,158.6482067
1.412825651,1.142664569,130.9100858
1.422845691,1.023073942,104.8875966
1.432865731,0.8992648093,80.99872337
1.442885772,0.7717337562,59.62832508
1.452905812,0.6409978846,41.12162077
1.462925852,0.5075923662,25.77828457
1.472945892,0.3720677158,13.84727239
1.482965932,0.23498682,5.522490448
1.492985972,0.09692176136,0.9394004316
1.503006012,-0.04154951338,0.1726368022
1.513026052,-0.1798466259,3.234690134
1.523046092,-0.3173902411,10.07568649
1.533066132,-0.453605524,20.5842679
1.543086172,-0.5879255188,34.58955377
1.553106212,-0.7197943928,51.86413882
1.563126253,-0.8486704954,72.12806024
1.573146293,-0.9740291867,95.05364669
1.583166333,-1.0953654,120.2711447
1.593186373,-1.212195915,147.3750048
1.603206413,-1.324061319,175.9306993
1.613226453,-1.430527661,205.4819394
1.623246493,-1.531187795,235.5581556
1.633266533,-1.625662421,265.6821087
1.643286573,-1.71360086,295.3775002
1.653306613,-1.79468157,324.1764619
1.663326653,-1.868612452,351.6268092
1.673346693,-1.935130969,377.2989537
1.683366733,-1.994004116,400.7923844
1.693386774,-2.045028281,421.7416327
1.703406814,-2.088029037,439.8216524
1.713426854,-2.122860885,454.7525534
1.723446894,-2.149406988,466.3036394
1.733466934,-2.167578927,474.2967103
1.743486974,-2.177316489,478.6085955
1.753507014,-2.178587514,479.1728981
1.763527054,-2.17138781,475.9809308
1.773547094,-2.15574114,469.0818394
1.783567134,-2.13169929,458.5819087
1.793587174,-2.099342195,444.6430605
1.803607214,-2.058778143,427.4805546
1.813627255,-2.010144007,407.3599141
1.823647295,-1.953605508,384.5931046
1.833667335,-1.889357478,359.5340046
1.843687375,-1.817624084,332.5732134
1.853707415,-1.738658996,304.1322545
1.863727455,-1.65274545,274.6572418
1.873747495,-1.560196176,244.6120863
1.883767535,-1.461353158,214.4713351
1.893787575,-1.356587177,184.7127412
1.903807615,-1.246297123,155.8096766
1.913827655,-1.130909032,128.2235082
1.923847695,-1.010874839,102.3960644
1.933867735,-0.8866708114,78.74232488
1.943887776,-0.7587956886,57.64346856
1.953907816,-0.6277684942,39.44041463
1.963927856,-0.4941260612,24.42798514
1.973947896,-0.3584202792,12.84981116
1.983967936,-0.2212151001,4.894091048
1.993987976,-0.08308334501,0.6902937518
2.004008016,0.05539664058,0.3068806623
2.014028056,0.1936444261,3.750097619
2.024048096,0.3310809718,10.96386459
2.034068136,0.4671320803,21.83076553
2.044088176,0.6012317647,36.1741159
2.054108216,0.7328254765,53.76106085
2.064128257,0.861373143,74.30663481
2.074148297,0.9863519708,97.47869317
2.084168337,1.107258981,122.9036102
2.094188377,1.22361325,150.1726242
2.104208417,1.334957843,178.8487012
2.114228457,1.440861434,208.4737844
2.124248497,1.540919618,238.576294
2.134268537,1.634755929,268.6787433
2.144288577,1.72202258,298.305343
2.154308617,1.802400964,326.9894717
2.164328657,1.875601936,354.2808996
2.174348697,1.941365915,379.7526624
2.184368737,1.999462842,403.0074941
2.194388778,2.049692037,423.6837365
2.204408818,2.091881975,441.460657
2.214428858,2.125890035,456.063115
2.224448898,2.151602233,467.2655278
2.234468938,2.16893298,474.895097
2.244488978,2.177824874,478.8342644
2.254509018,2.178248553,479.0223749
2.264529058,2.170202622,475.4565327
2.274549098,2.153713641,468.1916421
2.284569138,2.128836202,457.3396325
2.294589178,2.09565307,443.0678759
2.304609218,2.054275376,425.5968094
2.314629259,2.004842868,405.1967842
2.324649299,1.947524166,382.1841724
2.334669339,1.882517026,356.9167688
2.344689379,1.81004856,329.7885352
2.354709419,1.730375393,301.2237476
2.364729459,1.643783716,271.6706119
2.374749499,1.550589199,241.5944304
2.384769539,1.451136729,211.4704085
2.394789579,1.345799934,181.7762043
2.404809619,1.234980467,152.9843316
2.414829659,1.119107014,125.5545401
2.424849699,0.9986340186,99.92629729
2.434869739,0.8740400859,76.5115085
2.44488978,0.7458260855,55.68760818
2.45490982,0.614512939,37.79115707
2.46492986,0.4806391128,23.1120741
2.4749499,0.3447578413,11.88862303
2.48496994,0.2074341099,4.303261325
2.49498998,0.06924144464,0.4794423628
2.50501002,-0.06924144464,0.4794423628
2.51503006,-0.2074341099,4.303261325
2.5250501,-0.3447578413,11.88862303
2.53507014,-0.4806391128,23.1120741
2.54509018,-0.614512939,37.79115707
2.55511022,-0.7458260855,55.68760818
2.565130261,-0.8740400859,76.5115085
2.575150301,-0.9986340186,99.92629729
2.585170341,-1.119107014,125.5545401
2.595190381,-1.234980467,152.9843316
2.605210421,-1.345799934,181.7762043
2.615230461,-1.451136729,211.4704085
2.625250501,-1.550589199,241.5944304
2.635270541,-1.643783716,271.6706119
2.645290581,-1.730375393,301.2237476
2.655310621,-1.81004856,329.7885352
2.665330661,-1.882517026,356.9167688
2.675350701,-1.947524166,382.1841724
2.685370741,-2.004842868,405.1967842
2.695390782,-2.054275376,425.5968094
2.705410822,-2.09565307,443.0678759
2.715430862,-2.128836202,457.3396325
2.725450902,-2.153713641,468.1916421
2.735470942,-2.170202622,475.4565327
2.745490982,-2.178248553,479.0223749
2.755511022,-2.177824874,478.8342644
2.765531062,-2.16893298,474.895097
2.775551102,-2.151602233,467.2655278
2.785571142,-2.125890035,456.063115
2.795591182,-2.091881975,441.460657
2.805611222,-2.049692037,423.6837365
2.815631263,-1.999462842,403.0074941
2.825651303,-1.941365915,379.7526624
2.835671343,-1.875601936,354.2808996
2.845691383,-1.802400964,326.9894717
2.855711423,-1.72202258,298.305343
2.865731463,-1.634755929,268.6787433
2.875751503,-1.540919618,238.576294
2.885771543,-1.440861434,208.4737844
2.895791583,-1.334957843,178.8487012
2.905811623,-1.22361325,150.1726242
2.915831663,-1.107258981,122.9036102
2.925851703,-0.9863519708,97.47869317
2.935871743,-0.861373143,74.3066348
