time,dcpm.inertiaRotor.a,dcse.flange.phi,dcpm.flange.phi,dcee.ie,dcse.inertiaRotor.a,dcee.inertiaRotor.flange_b.tau,loadInertia3.w,dcpm.ra.p.i,dcee.airGapDC.flange.phi,loadInertia2.w,dcee.ra.p.i,loadInertia1.w,dcse.brush.p.i,dcee.ia,loadInertia1.phi,loadInertia3.phi,loadInertia2.phi,dcpm.ia,dcse.ia,dcse.tauElectrical,dcee.tauElectrical,dcpm.tauElectrical
0,0.006590789194,0,0,1,0.006590789194,-63.66098862,147.6548547,100,0,149.225651,100,149.225651,100,100,0,0,0,100,100,63.66197724,63.66197724,63.66197724
1e-06,0.00659061112,0.0001476548547,0.000149225651,1,0.006590771386,-63.66098859,147.6548547,99.99999992,0.000149225651,149.2256511,99.99999992,149.2256511,100,99.99999992,0.000149225651,0.0001476548547,0.000149225651,99.99999992,100,63.66197723,63.66197718,63.66197718
9.793681847e-06,0.006589045401,0.001446084671,0.00146146855,1,0.006590614794,-63.66098836,147.6548548,99.99999918,0.00146146855,149.2256511,99.99999918,149.2256511,99.99999996,99.99999918,0.00146146855,0.001446084671,0.00146146855,99.99999918,99.99999996,63.66197718,63.66197671,63.66197671
7.254424135e-05,0.006577883428,0.01071150943,0.01082546166,1,0.006589497479,-63.66098668,147.6548552,99.99999392,0.01082546166,149.2256515,99.99999392,149.2256515,99.9999997,99.99999392,0.01082546166,0.01071150943,0.01082546166,99.99999392,99.9999997,63.66197685,63.66197337,63.66197337
0.0004781450534,0.006506190479,0.07060043915,0.07135150764,1,0.006582280056,-63.66097593,147.6548579,99.99996013,0.07135150764,149.2256542,99.99996013,149.2256542,99.999998,99.99996013,0.07135150764,0.07060043915,0.07135150764,99.99996013,99.999998,63.66197468,63.66195186,63.66195186
0.003139871234,0.006054712971,0.4636172633,0.4685493607,1,0.006535112009,-63.66090821,147.6548753,99.99974738,0.4685493607,149.2256709,99.99974738,149.2256709,99.99998688,99.99974738,0.4685493607,0.4636172633,0.4685493607,99.99974738,99.99998688,63.66196053,63.66181641,63.66181641
0.01247449772,0.004704995729,1.841920655,1.861515503,1,0.006372349886,-63.66070575,147.6549356,99.99911134,1.861515503,149.2257208,99.99911134,149.2257208,99.99994853,99.99911134,1.861515503,1.841920655,1.861515503,99.99911134,99.99994853,63.6619117,63.6614115,63.6614115
0.02645832304,0.003224558828,3.906702097,3.948262324,1,0.006136076416,-63.66048368,147.655023,99.9984137,3.948262324,149.2257756,99.9984137,149.2257756,99.99989286,99.9984137,3.948262324,3.906702097,3.948262324,99.9984137,99.99989286,63.66184082,63.66096737,63.66096737
0.04307325754,0.002058294122,6.359981468,6.427639198,1,0.00586670908,-63.66030874,147.6551227,99.99786411,6.427639198,149.2258188,99.99786411,149.2258188,99.99982939,99.99786411,6.427639198,6.359981468,6.427639198,99.99786411,99.99982939,63.66176001,63.66061749,63.66061749
0.06417849911,0.001163735967,9.476279784,9.577086534,1,0.005541526399,-63.66017456,147.6552431,99.99744256,9.577086534,149.2258519,99.99744256,149.2258519,99.99975277,99.99744256,9.577086534,9.476279784,9.577086534,99.99744256,99.99975277,63.66166246,63.66034912,63.66034912
0.08928296075,0.0005905734626,13.18308688,13.3233215,1,0.005178113893,-63.66008859,147.6553776,99.99717246,13.3233215,149.2258731,99.99717246,149.2258731,99.99966715,99.99717246,13.3233215,13.18308688,13.3233215,99.99717246,99.99966715,63.66155343,63.66017717,63.66017717
0.11968003,0.0002597700941,17.67137993,17.85935091,1,0.004769836509,-63.66003897,147.6555287,99.99701658,17.85935091,149.2258854,99.99701658,149.2258854,99.99957095,99.99701658,17.85935091,17.67137993,17.85935091,99.99701658,99.99957095,63.66143095,63.66007793,63.66007793
0.156109102,9.707876985e-05,23.05033688,23.29551156,1,0.004322724217,-63.66001456,147.6556942,99.99693991,23.29551156,149.2258914,99.99693991,149.2258914,99.9994656,99.99693991,23.29551156,23.05033688,23.29551156,99.99693991,99.9994656,63.66129682,63.66002912,63.66002912
0.2005185998,2.924266029e-05,29.60765621,29.92255852,1,0.003833959192,-63.66000439,147.6558751,99.99690794,29.92255852,149.2258939,99.99690794,149.2258939,99.99935044,99.99690794,29.92255852,29.60765621,29.92255852,99.99690794,99.99935044,63.66115019,63.66000877,63.66000877
