time,mass4.v,mass3.v,mass3.s,mass2.v,mass1.v,mass1.s,linearSpeedDependentForce.s,inverseSpeedDependentForce.s
0,100,100,0,100,100,0,0,0
9.99900005e-05,99.9900005,99.990002,0.009998500183,99.9900015,99.990001,0.00999850015,0.009998500167,0.009998500133
0.001421097818,99.8577891,99.85809188,0.1420089014,99.85799115,99.85789022,0.1420088059,0.1420088537,0.142008758
0.01248952918,98.74314871,98.7664535,1.24121784,98.75881413,98.75104708,1.241153501,1.24118587,1.241120723
0.0406900564,95.84466012,96.09008886,3.988400889,96.01266689,95.93099436,3.986221606,3.987333105,3.985063046
0.08482578025,91.123457,92.18070015,8.14194028,91.86723213,91.51742197,8.122807375,8.132767868,8.111926589
0.1401150819,84.8392511,87.71044386,13.1129206,86.92581938,85.98849181,13.02989638,13.07418062,12.97842228
0.2089816041,76.29134565,82.71424422,18.97783545,81.14101621,79.10183959,18.71449487,18.85898379,18.53187872
0.2857481238,65.46028245,77.77573036,25.13407441,75.14518649,71.42518762,24.49221287,24.85481351,23.9833557
0.3662147493,51.72817002,73.19493455,31.20439555,69.3353888,63.37852507,29.9158128,30.6646112,28.71980997
0.4234817734,39.12299171,70.25028421,35.31058195,65.47631096,57.65182266,33.38133672,34.52368904,31.33788599
0.4525672375,30.80476126,68.84362843,37.33324953,63.59933081,54.74327625,35.01586853,36.40066919,32.35962195
0.4711948445,24.00850048,67.9719614,38.60748857,62.42559337,52.88051555,36.01825538,37.57440663,32.87275733
0.483030623,18.43137069,67.42949042,39.40877079,61.69109314,51.6969377,36.63713316,38.30890686,33.12535715
0.4897865737,14.3040914,67.12370816,39.86328661,61.27571587,51.02134263,36.98411298,38.72428413,33.2365225
0.4938473118,11.10849084,66.9412452,40.1354876,61.02739576,50.61526882,37.19047281,38.97260424,33.28839131
0.4963315382,8.585934193,66.8301086,40.3016467,60.87597805,50.36684618,37.31590403,39.12402195,33.31298776
0.4978128793,6.64032638,66.76401343,40.40059591,60.78586672,50.21871207,37.39040479,39.21413328,33.32432676
0.4986938651,5.14544903,66.72476716,40.45939677,60.73233882,50.13061349,37.43460796,39.26766118,33.32954614
0.4992238951,3.984459109,66.70117754,40.49475665,60.70015738,50.07761049,37.46116464,39.29984262,33.33197874
0.499542403,3.083226815,66.68700998,40.51599924,60.68082698,50.0457597,37.47710968,39.31917302,33.3331104
0.4997328932,2.38679632,66.67853966,40.52870166,60.66926898,50.02671068,37.4866411,39.33073102,33.33363421
0.4998469809,1.848034376,66.67346767,40.53630857,60.66234776,50.01530191,37.49234787,39.33765224,33.33387708
0.4998873375,1.614961583,66.67167373,40.53899925,60.65989968,50.01126625,37.49436624,39.34010032,33.33394706
0.4999235426,1.372591338,66.67006441,40.54141307,60.65770353,50.00764574,37.49617684,39.34229647,33.33400127
0.4999609341,1.065943227,66.66840244,40.54390593,60.65543549,50.00390659,37.49804663,39.34456451,33.3340471
0.4999665906,1.011485806,66.66815103,40.54428304,60.65509239,50.00334094,37.49832948,39.34490761,33.33405297
0.4999675905,1.00155204,66.66810659,40.5443497,60.65503174,50.00324095,37.49837947,39.34496826,33.33405398
0.4999680252,0.9974017674,66.66808726,40.54437869,60.65500537,50.00319748,37.49840121,39.34499463,33.33405441
0.4999682273,0.9973816122,66.66807828,40.54439216,60.65499311,50.00317727,37.49841131,39.34500689,33.33405461
0.4999702481,0.9971800831,66.66798847,40.54452688,60.65487054,50.00297519,37.49851236,39.34512946,33.33405663
0.4999904559,0.9951670299,66.66709031,40.54587409,60.65364485,50.00095441,37.49952279,39.34635515,33.33407676
0.5001925346,0.9752586616,66.65811014,40.55934517,60.64138928,49.98074654,37.50962487,39.35861072,33.33427584
0.5016930318,0.8393711698,66.59150511,40.6593155,60.55046528,49.83069682,37.58450827,39.44953472,33.33563472
0.5044217425,0.6389217141,66.47072185,40.84085956,60.3854658,49.55782575,37.72010954,39.6145342,33.33763921
0.507690688,0.4607646511,66.32660134,41.05791299,60.18839129,49.2309312,37.88157706,39.81160871,33.33942078
0.5117171883,0.3080423811,66.14993861,41.32462109,59.94652997,48.82828117,38.07899479,40.05347003,33.34094801
0.5163358504,0.1940995534,65.94845013,41.62967953,59.67029561,48.36641496,38.30344952,40.32970439,33.34208744
0.5215778439,0.1149126064,65.72125088,41.9747847,59.3583227,47.84221561,38.55561203,40.6416773,33.3428793
0.5273494048,0.06452262266,65.47290286,42.35338132,59.01671927,47.26505952,38.83007074,40.98328073,33.3433832
0.5336257816,0.03444550105,65.20495444,42.76347191,58.64746809,46.63742184,39.12475442,41.35253191,33.34368398
0.5403628297,0.01756088253,64.91976909,43.20179877,58.25368524,45.96371703,39.43668358,41.74631476,33.34385282
0.5475641855,0.008546643665,64.61767477,43.66821969,57.83568661,45.24358145,39.76509169,42.16431339,33.34394296
0.5552743161,0.003953203111,64.29733854,44.16519344,57.39148055,44.47256839,40.11095331,42.60851945,33.3439889
0.5636149133,0.001716809027,63.95436522,44.70003878,56.91479203,43.63850867,40.4784028,43.08520797,33.34401126
0.5727923846,0.0006857252327,63.58118224,45.28526236,56.39484769,42.72076154,40.87468267,43.60515231,33.34402157
0.5831109851,0.0002443544195,63.16676479,45.93918842,55.81592377,41.68890149,41.31017746,44.18407623,33.34402599
0.5949996345,7.442261629e-05,62.69593866,46.68735021,55.15627675,40.50003655,41.7987352,44.84372325,33.34402769
0.609086878,1.819310924e-05,62.14704788,47.56668565,54.38472413,39.0913122,42.35934655,45.61527587,33.34402825
0.6263621396,3.233287408e-06,61.4869203,48.63456993,53.45328241,37.36378604,43.01973746,46.54671759,33.3440284
0.6485273698,3.522281709e-07,60.66019958,49.9882381,52.28151235,35.14726302,43.82334951,47.71848765,33.34402843
0.6788618122,1.681282715e-08,59.56416339,51.81160657,50.71939459,32.11381878,44.84351322,49.28060541,33.34402843
0.72472826,1.14108346e-10,57.98014772,54.50695021,48.44561972,27.527174,46.21127346,51.55438028,33.34402843
0.8070194735,-2.885075523e-12,55.33974633,59.16787822,44.61859554,19.29805265,48.13792582,55.38140446,33.34402843
0.9335794651,1.792446946e-13,51.71755317,65.9372922,39.31439437,6.642053485,49.77941563,60.68560563,33.34402843
0.9627075171,9.678547525e-15,50.9500259,67.43248978,38.18575991,3.729248289,49.93046354,61.81424009,33.34402843
0.9773930329,2.228585395e-15,50.57163506,68.17793185,37.6290799,2.26069671,49.97444625,62.3709201,33.34402843
0.9846557274,1.077989774e-15,50.38657207,68.54454534,37.3567814,1.534427257,49.98822766,62.6432186,33.34402843
0.9894884846,6.648607247e-16,50.26417575,68.78775541,37.17668068,1.05115154,49.9944754,62.82331932,33.34402843
0.9915808248,5.393385935e-16,50.21136857,68.89286991,37.09897574,0.8536277169,49.99646244,62.90102426,33.34402843
0.9925157332,4.912006597e-16,50.1878089,68.93980192,37.0643078,0.7774383341,49.99722433,62.9356922,33.34402843
0.9973650213,3.024524103e-16,50.06596079,69.18288139,36.88500739,0.4787006967,50.00021171,63.11499261,33.34402843
1.001280136,2.044681992e-16,49.96801649,69.37870352,36.74088067,0.3236180836,50.00176254,63.25911933,33.34402843
1.006621351,1.198560067e-16,49.83501188,69.6452379,36.54516289,0.1896997742,50.00310172,63.45483711,33.34402843
1.012056391,6.960156897e-17,49.70039572,69.91572705,36.34707725,0.1101605357,50.00389711,63.65292275,33.34402843
1.018235446,3.752028886e-17,49.54823238,70.2223579,36.12317913,0.05938451078,50.00440487,63.87682087,33.34402843
1.024749389,1.956001951e-17,49.38882777,70.54459257,35.88863949,0.03095824219,50.00468914,64.11136051,33.34402843
1.031760567,9.702370526e-18,49.21839733,70.89026826,35.63789789,0.01535623911,50.00484516,64.36210211,33.34402843
1.03918379,4.618400239e-18,49.03922803,71.2549616,35.3743293,0.007309683563,50.00492562,64.6256707,33.34402843
1.047134042,2.085531765e-18,48.84877923,71.64407777,35.09420945,0.003300835023,50.00496571,64.90579055,33.34402843
1.055731607,8.827337987e-19,48.64448186,72.06317889,34.79377804,0.00139712983,50.00498475,65.20622196,33.34402843
1.065225056,3.416137176e-19,48.42087238,72.52391974,34.46502804,0.0005406824976,50.00499331,65.53497196,33.34402843
1.075943596,1.169597516e-19,48.17086508,73.04157865,34.09758599,0.0001851157824,50.00499687,65.90241401,33.34402843
1.088365447,3.377263314e-20,47.88433895,73.63816678,33.67665069,5.345298125e-05,50.00499818,66.32334931,33.34402843
1.10319242,7.667264634e-21,47.5467665,74.34563812,33.18101138,1.213521466e-05,50.0049986,66.81898862,33.34402843
1.121556438,1.222024399e-21,47.1352056,75.2149979,32.57723552,1.934135458e-06,50.0049987,67.42276448,33.34402843
1.145453052,1.11904468e-22,46.61020144,76.33507336,31.80797785,1.771146302e-07,50.00499872,68.19202215,33.34402843
1.178862369,3.88114677e-24,45.89550969,77.88028817,30.76285075,6.142809908e-09,50.00499872,69.23714925,33.34402843
1.231190977,-2.036968469e-27,44.81911229,80.25355036,29.1944671,-3.223972407e-12,50.00499872,70.8055329,33.34402843
1.331514509,8.280200135e-29,42.89057544,84.651805,26.40770111,1.310532645e-13,50.00499872,73.59229889,33.34402843
1.491128682,-6.987643443e-30,40.14244599,91.27358811,22.51184249,-1.105955737e-14,50.00499872,77.48815751,33.34402843
1.6822021,6.976595048e-31,37.28279753,98.66381196,18.59640135,1.104207074e-15,50.00499872,81.40359865,33.34402843
1.929290252,-8.107092691e-32,34.13796078,107.4760131,14.52512538,-1.2831344e-16,50.00499872,85.47487462,33.34402843
2.224499325,9.938478965e-33,31.01256421,117.0777644,10.81215391,1.572993517e-17,50.00499872,89.18784609,33.34402843
2.580325692,-1.240743277e-33,27.93041631,127.5453693,7.574932959,-1.963762401e-18,50.00499872,92.42506704,33.34402843
2.996307329,1.532984206e-34,25.02309564,138.5370641,4.997125646,2.426301072e-19,50.00499872,95.00287435,33.34402843
3.476996906,-1.842565503e-35,22.33639541,149.89523,3.090006924,-2.916284876e-20,50.00499872,96.90999308,33.34402843
4.017469615,2.141681862e-36,19.93035814,161.2925486,1.799845253,3.389705503e-21,50.00499872,98.20015475,33.34402843
4.611077841,-2.407922135e-37,17.82188094,172.4742496,0.9941100004,-3.811092141e-22,50.00499872,99.00589,33.34402843
5,2.99626947e-38,16.66666054,179.1759109,0.6737948677,4.742287494e-23,50.00499872,99.32620513,33.34402843
