time,pump.flowPort_a.h,pump.flowPort_b.h,ambient2.flowPort.h,pipe.flowPort_b.H_flow,pump.h,heatCapacitor.T,pipe.T
0.067,293.15,293.15,294.3810705,-294.3810705,293.15,298.300519,294.3810705
0.068,293.15,293.15,294.4079891,-294.4079891,293.15,298.3611553,294.4079891
0.069,293.15,293.15,294.4349773,-294.4349773,293.15,298.4214539,294.4349773
0.07,293.15,293.15,294.4620245,-294.4620245,293.15,298.4814227,294.4620245
0.071,293.15,293.15,294.4891267,-294.4891267,293.15,298.5410652,294.4891267
0.072,293.15,293.15,294.5162799,-294.5162799,293.15,298.6003849,294.5162799
0.073,293.15,293.15,294.5434802,-294.5434802,293.15,298.6593853,294.5434802
0.074,293.15,293.15,294.5707238,-294.5707238,293.15,298.71807,294.5707238
0.075,293.15,293.15,294.5980071,-294.5980071,293.15,298.7764422,294.5980071
0.076,293.15,293.15,294.6253263,-294.6253263,293.15,298.8345054,294.6253263
0.077,293.15,293.15,294.6526778,-294.6526778,293.15,298.8922629,294.6526778
0.078,293.15,293.15,294.6800583,-294.6800583,293.15,298.9497179,294.6800583
0.079,293.15,293.15,294.7074641,-294.7074641,293.15,299.0068737,294.7074641
0.08,293.15,293.15,294.7348921,-294.7348921,293.15,299.0637333,294.7348921
0.081,293.15,293.15,294.7623388,-294.7623388,293.15,299.1202999,294.7623388
0.082,293.15,293.15,294.789801,-294.789801,293.15,299.1765766,294.789801
0.083,293.15,293.15,294.8172757,-294.8172757,293.15,299.2325663,294.8172757
0.084,293.15,293.15,294.8447597,-294.8447597,293.15,299.2882721,294.8447597
0.085,293.15,293.15,294.8722501,-294.8722501,293.15,299.3436968,294.8722501
0.086,293.15,293.15,294.899744,-294.899744,293.15,299.3988433,294.899744
0.087,293.15,293.15,294.9272384,-294.9272384,293.15,299.4537145,294.9272384
0.088,293.15,293.15,294.9547306,-294.9547306,293.15,299.508313,294.9547306
0.089,293.15,293.15,294.9822179,-294.9822179,293.15,299.5626416,294.9822179
0.09,293.15,293.15,295.0096978,-295.0096978,293.15,299.6167029,295.0096978
0.091,293.15,293.15,295.0371675,-295.0371675,293.15,299.6704997,295.0371675
0.092,293.15,293.15,295.0646247,-295.0646247,293.15,299.7240344,295.0646247
0.093,293.15,293.15,295.092067,-295.092067,293.15,299.7773095,295.092067
0.094,293.15,293.15,295.1194919,-295.1194919,293.15,299.8303275,295.1194919
0.095,293.15,293.15,295.1468973,-295.1468973,293.15,299.8830909,295.1468973
0.096,293.15,293.15,295.1742809,-295.1742809,293.15,299.9356021,295.1742809
0.097,293.15,293.15,295.2016407,-295.2016407,293.15,299.9878632,295.2016407
0.098,293.15,293.15,295.2289746,-295.2289746,293.15,300.0398767,295.2289746
0.099,293.15,293.15,295.2562806,-295.2562806,293.15,300.0916447,295.2562806
0.1,293.15,293.15,295.2835569,-295.2835569,293.15,300.1431693,295.2835569
0.101,293.15,293.15,295.3108016,-295.3108016,293.15,300.1944528,295.3108016
0.102,293.15,293.15,295.3380129,-295.3380129,293.15,300.2454973,295.3380129
0.103,293.15,293.15,295.3651893,-295.3651893,293.15,300.2963046,295.3651893
0.104,293.15,293.15,295.392329,-295.392329,293.15,300.3468768,295.392329
0.105,293.15,293.15,295.4194306,-295.4194306,293.15,300.3972159,295.4194306
0.106,293.15,293.15,295.4464926,-295.4464926,293.15,300.4473236,295.4464926
0.107,293.15,293.15,295.4735136,-295.4735136,293.15,300.4972019,295.4735136
0.108,293.15,293.15,295.5004924,-295.5004924,293.15,300.5468525,295.5004924
0.109,293.15,293.15,295.5274277,-295.5274277,293.15,300.5962771,295.5274277
0.11,293.15,293.15,295.5543194,-295.5543194,293.15,300.6454767,295.5543194
0.111,293.15,293.15,295.5811683,-295.5811683,293.15,300.6944518,295.5811683
0.112,293.15,293.15,295.607968,-295.607968,293.15,300.7432073,295.607968
0.113,293.15,293.15,295.6347176,-295.6347176,293.15,300.7917448,295.6347176
0.114,293.15,293.15,295.661416,-295.661416,293.15,300.8400659,295.661416
0.115,293.15,293.15,295.6880623,-295.6880623,293.15,300.8881721,295.6880623
0.116,293.15,293.15,295.7146555,-295.7146555,293.15,300.9360649,295.7146555
