time,Transistor1.Tr.vbcˍt,Transistor1.Tr.vbeˍt,Transistor2.Tr.vbcˍt,Gnd4.p.i,R1.i,R2.i,R4.i,Transistor1.Tr.C.i,Transistor1.Tr.vcs,Transistor1.ct.v,Transistor2.Tr.vcs,Transistor2.ct.v,Transistor2.Tr.vbe,Transistor1.b.i,Transistor2.Tr.C.i,Transistor2.b.i,C4.v,C3.v,C2.v,C1.v,Transistor2.Tr.C.v,C5.v,Transistor1.Tr.C.v
3.151460821e-13,12361588.43,15174091.52,-273583.6253,-2.124688043e-09,0.02657075071,4.727112277e-05,4.72711724e-05,-3.810067507e-06,4.599613116e-07,2.2734014e-06,3.299160754e-08,-1.102870811e-10,6.969176898e-08,0.001485482423,4.099997849e-07,2.201492246e-09,-7.399158603e-08,-2.124688043e-13,7.895456093e-08,7.654752256e-05,3.299160754e-08,-6.980205606e-08,4.599613116e-07
4.171180835e-13,16815617.46,20042728.81,-411286.9544,-2.795260746e-09,0.02704837067,6.256631422e-05,6.256641781e-05,-5.765588286e-06,7.163888865e-07,4.017435666e-06,6.780337079e-08,-1.427068925e-10,1.220009513e-07,0.001962209875,6.166768427e-07,2.848547328e-09,-1.294710551e-07,-2.795260746e-13,1.398300579e-07,0.0001021279294,6.780337079e-08,-1.221436582e-07,7.163888865e-07
5.457785844e-13,22397538.34,26051234.36,-593708.9148,-3.244096501e-09,0.02763740439,8.186436972e-05,8.186457351e-05,-8.311077075e-06,1.072902385e-06,6.897365167e-06,1.323652841e-07,-1.633081362e-10,2.088749385e-07,0.002550145086,8.905008397e-07,3.259674532e-09,-2.214153681e-07,-3.244096501e-13,2.417946777e-07,0.0001344046195,1.323652841e-07,-2.090382466e-07,1.072902385e-06
7.111690063e-13,29424485.25,33560938.49,-834208.9734,-3.068412896e-09,0.02837289543,0.0001066712094,0.0001066715954,-1.157547785e-05,1.571705046e-06,1.16842838e-05,2.504037408e-07,-1.5187167e-10,3.548802827e-07,0.003284267956,1.251515459e-06,3.031296575e-09,-3.755552867e-07,-3.068412896e-13,4.141572608e-07,0.0001758976816,2.504037408e-07,-3.550321544e-07,1.571705046e-06
9.268399367e-13,38273131.47,43004172.56,-1151214.577,-1.524282474e-09,0.02929652552,0.000139018905,0.0001390196177,-1.571136388e-05,2.279689546e-06,1.969913089e-05,4.645491925e-07,-7.108050912e-11,6.035292795e-07,0.004206185757,1.727367027e-06,1.418561617e-09,-6.372858952e-07,-1.524282474e-13,7.085531574e-07,0.0002300084187,4.645491925e-07,-6.0360036e-07,2.279689546e-06
1.218770673e-12,49659145.94,55183834.12,-1581804.516,2.862071064e-09,0.03048558075,0.0001828032809,0.0001828045904,-2.102759802e-05,3.334769577e-06,3.360570955e-05,8.636830642e-07,1.530745691e-10,1.045685724e-06,0.005393047177,2.373691408e-06,-3.05576724e-09,-1.101052205e-06,2.862071064e-13,1.232009775e-06,0.0003032580684,8.636830642e-07,-1.045532649e-06,3.334769577e-06
1.637154312e-12,64834904.42,71502141.94,-2199396.776,1.340859668e-08,0.03207426487,0.0002455508364,0.0002455532941,-2.80750738e-05,5.038547995e-06,5.930623252e-05,1.65520742e-06,6.871815715e-10,1.892540323e-06,0.006978821427,3.300651471e-06,-1.371681424e-08,-1.985272567e-06,1.340859668e-12,2.231040615e-06,0.0004082473039,1.65520742e-06,-1.891853141e-06,5.038547995e-06
2.299639818e-12,86339253.18,94837152.33,-3177475.755,3.914500658e-08,0.03433566828,0.0003449019084,0.0003449068287,-3.796050141e-05,8.202485515e-06,0.0001127081525,3.437549312e-06,1.984355115e-09,3.75180629e-06,0.009236134201,4.768545682e-06,-3.960881229e-08,-3.91440388e-06,3.914500658e-12,4.406435375e-06,0.0005745148625,3.437549312e-06,-3.749821935e-06,8.202485515e-06
3.549934399e-12,119673134.2,131690196.8,-5023571.821,1.119269768e-07,0.03787405667,0.0005323855224,0.0005323969405,-5.295785976e-05,1.575953134e-05,0.0002499591509,8.568049884e-06,5.641875965e-09,9.015265955e-06,0.01276829278,7.53879644e-06,-1.126136653e-07,-9.321929528e-06,1.119269768e-11,1.046374537e-05,0.0008883737897,8.568049884e-06,-9.009624079e-06,1.575953134e-05
5.107420202e-12,150614471.8,167109021.4,-7323410.171,2.341732436e-07,0.0412170791,0.0007658979353,0.0007659201478,-6.630002756e-05,2.813949921e-05,0.000474151253,1.818929616e-05,1.177549967e-08,1.883290388e-05,0.01610574741,1.098944277e-05,-2.350416468e-07,-1.928824044e-05,2.341732436e-11,2.150949645e-05,0.001279438624,1.818929616e-05,-1.882112838e-05,2.813949921e-05
7.119793891e-12,177891410.4,200283408.3,-10294948.38,4.237218669e-07,0.04425852126,0.001067554975,0.001067594375,-7.713051014e-05,4.912396036e-05,0.000827688974,3.592618193e-05,2.1278483e-08,3.696729245e-05,0.01914266561,1.544735965e-05,-4.247222162e-07,-3.747091789e-05,4.237218669e-11,4.141090935e-05,0.001784822254,3.592618193e-05,-3.694601397e-05,4.912396036e-05
9.571624705e-12,198038821.2,227731472.2,-13915063.69,6.790851878e-07,0.04664735687,0.001435002964,0.001435066643,-8.372357533e-05,8.24464796e-05,0.001324218168,6.561851127e-05,3.407571206e-08,6.74882913e-05,0.02152881041,2.087777153e-05,-6.801560709e-07,-6.770628843e-05,6.790851878e-11,7.407412207e-05,0.002400658689,6.561851127e-05,-6.745421559e-05,8.24464796e-05
1.25604709e-11,210611887.6,249309381.4,-18327226.41,1.003430963e-06,0.04835303825,0.001882808622,0.001882904952,-8.5712109e-05,0.000134772465,0.001989731839,0.0001138186512,5.032648986e-08,0.0001173606055,0.02323391925,2.749587652e-05,-1.004522935e-06,-0.0001165682388,1.003430963e-10,0.0001262012541,0.003151427802,0.0001138186512,-0.000117310279,0.000134772465
1.613739852e-11,216000723.3,265558773.1,-23605994.11,1.392819708e-06,0.0494220637,0.002418548153,0.002418686018,-8.321743494e-05,0.0002144843206,0.002834663704,0.0001888347311,6.983437177e-08,0.0001954908177,0.02430464665,3.541348493e-05,-1.393901796e-06,-0.0001923760795,1.392819708e-10,0.0002061625771,0.004049896036,0.0001888347311,-0.0001954209833,0.0002144843206
2.042504956e-11,215576569.7,278211668.1,-29931243.69,1.852021856e-06,0.05001006191,0.003060486804,0.003060676202,-7.675143711e-05,0.0003347380972,0.00388192583,0.0003036331826,9.283928165e-08,0.0003157677652,0.02489672253,4.490028414e-05,-1.853081589e-06,-0.000308123211,1.852021856e-10,0.0003270629535,0.005126761957,0.0003036331826,-0.0003156749259,0.0003347380972
2.557538972e-11,210764969.8,289142755.5,-37525612.47,2.391628465e-06,0.05028223829,0.003831226046,0.00383147842,-6.681082187e-05,0.0005149222132,0.005161237585,0.0004773747572,1.198724305e-07,0.0004987336967,0.02517561525,5.628988745e-05,-2.392665354e-06,-0.0004830037459,2.391628465e-10,0.000508241131,0.006420018348,0.0004773747572,-0.0004986138243,0.0005149222132
