time,VariableResistor.v,R1.i,R4.v,R5.i,R2.i,VariableResistor.i
0,-0,-0,-0,-0,-0,-0
1e-06,-3.141594617e-06,-2.094395102e-06,-1.570795345e-06,-1.570795345e-06,-2.094395102e-06,-1.570795345e-06
6.533215285e-05,-0.0002052553861,-0.0001368313371,-0.0001026193126,-0.0001026193126,-0.0001368313371,-0.0001026193126
0.0007086536814,-0.002227279451,-0.001484195895,-0.001112654117,-0.001112654117,-0.001484195895,-0.001112654117
0.004038506963,-0.01271792199,-0.00845732156,-0.006327021345,-0.006327021345,-0.00845732156,-0.006327021345
0.01135829553,-0.03590416884,-0.0237685704,-0.01770077119,-0.01770077119,-0.0237685704,-0.01770077119
0.02241337931,-0.0711507353,-0.04678746231,-0.03460582581,-0.03460582581,-0.04678746231,-0.03460582581
0.03654117292,-0.1163323373,-0.07586104393,-0.05562539723,-0.05562539723,-0.07586104393,-0.05562539723
0.05453200262,-0.1735215354,-0.1119899288,-0.08122412552,-0.08122412552,-0.1119899288,-0.08122412552
0.07624614684,-0.2409599518,-0.1536509633,-0.1099964691,-0.1099964691,-0.1536509633,-0.1099964691
0.1017907732,-0.3162753445,-0.1989502395,-0.1402876869,-0.1402876869,-0.1989502395,-0.1402876869
0.1309986986,-0.3943703598,-0.2444165955,-0.1694397133,-0.1694397133,-0.2444165955,-0.1694397133
0.1637104843,-0.4680497107,-0.2855298103,-0.1942698601,-0.1942698601,-0.2855298103,-0.1942698601
0.1996860676,-0.5279513563,-0.316815044,-0.2112468879,-0.2112468879,-0.316815044,-0.2112468879
0.238678037,-0.5634759685,-0.3324902533,-0.2169973958,-0.2169973958,-0.3324902533,-0.2169973958
0.280426693,-0.5640967955,-0.3272604512,-0.208842279,-0.208842279,-0.3272604512,-0.208842279
0.3248524821,-0.5209353356,-0.2971423124,-0.1852458008,-0.1852458008,-0.2971423124,-0.1852458008
0.3720275596,-0.4280270317,-0.2400629666,-0.146080934,-0.146080934,-0.2400629666,-0.146080934
0.4219725151,-0.2845604099,-0.1569520968,-0.0931479402,-0.0931479402,-0.1569520968,-0.0931479402
0.475129311,-0.09563296638,-0.05187731058,-0.02999948268,-0.02999948268,-0.05187731058,-0.02999948268
0.5335979659,0.1309708511,0.06984593452,0.03928347624,0.03928347624,0.06984593452,0.03928347624
0.5941400057,0.3542985843,0.185868687,0.1016537384,0.1016537384,0.185868687,0.1016537384
0.6546820455,0.5328924559,0.2753186709,0.1465317784,0.1465317784,0.2753186709,0.1465317784
0.7158919274,0.6395867916,0.325707979,0.1687685727,0.1687685727,0.325707979,0.1687685727
0.7776872954,0.6535231842,0.3283021053,0.1656915659,0.1656915659,0.3283021053,0.1656915659
0.8402099836,0.5670470916,0.2812067464,0.1382865737,0.1382865737,0.2812067464,0.1382865737
0.9045298813,0.3842029286,0.1881746628,0.09016052981,0.09016052981,0.1881746628,0.09016052981
0.9708948223,0.125266519,0.06061854497,0.02829455793,0.02829455793,0.06061854497,0.02829455793
1,-5.308673953e-12,8.164311994e-17,2.654459441e-12,2.654459441e-12,8.164311994e-17,2.654459441e-12
