time,mass2.s,mass2.v,mass1.v,mass1.s,damper1.s_rel,damper1.v_rel
0.3791095173,-0.5008281668,0.01856223255,0.03985575918,-0.501842551,1.000828167,-0.01856223255
0.3860340489,-0.5005176116,0.06762153014,0.1517022621,-0.5011539246,1.000517612,-0.06762153014
0.393707181,-0.4998995851,0.08552359191,0.1958429532,-0.4997521262,0.9998995851,-0.08552359191
0.4019562391,-0.4992995877,0.05152770729,0.1208314124,-0.498364094,0.9992995877,-0.05152770729
0.4102052971,-0.4991445326,-0.01623420341,-0.03668520188,-0.4979911144,0.9991445326,0.01623420341
0.4184543552,-0.4995402815,-0.07433029215,-0.176582828,-0.4989201804,0.9995402815,0.07433029215
0.4267034133,-0.5002375885,-0.0850574976,-0.2062309607,-0.5005944314,1.000237588,0.0850574976
0.4361521617,-0.5008325831,-0.031259646,-0.07825669556,-0.5020532991,1.000832583,0.031259646
0.4435399475,-0.5008265122,0.03292801379,0.08054507601,-0.5020479433,1.000826512,-0.03292801379
0.4509277334,-0.5003878206,0.0804538055,0.2019840349,-0.5009566858,1.000387821,-0.0804538055
0.4588208614,-0.4996991206,0.08490503082,0.2170906891,-0.4992114846,0.9996991206,-0.08490503082
0.4678268591,-0.4991446295,0.02970441423,0.07826205643,-0.4977791193,0.9991446295,-0.02970441423
0.4748652314,-0.4991553021,-0.03268869285,-0.08422539922,-0.4977979992,0.9991553021,0.03268869285
0.4819036037,-0.4995686867,-0.07994487968,-0.2109413526,-0.498879585,0.9995686867,0.07994487968
0.4895014114,-0.5002402241,-0.08825149894,-0.2367901079,-0.5006668394,1.000240224,0.08825149894
0.498078914,-0.5008272071,-0.04005462919,-0.1100092354,-0.5022561349,1.000827207,0.04005462919
0.5051513795,-0.5008895959,0.02322053194,0.0624055499,-0.5024349057,1.000889596,-0.02322053194
0.5122238451,-0.5005245843,0.07571534495,0.2093374071,-0.5014343155,1.000524584,-0.07571534495
0.5195918488,-0.4998779974,0.09180166484,0.2578168691,-0.4996318321,0.9998779974,-0.09180166484
0.527837228,-0.4992409503,0.05382505709,0.1540482358,-0.4978281046,0.9992409503,-0.05382505709
0.5360826073,-0.4990885972,-0.01906432775,-0.05356633172,-0.4973838529,0.9990885972,0.01906432775
0.5429520591,-0.4994167599,-0.07273685717,-0.2106258285,-0.4983263382,0.9994167599,0.07273685717
0.5505346983,-0.5000782867,-0.0933261032,-0.2744602082,-0.5002578193,1.000078287,0.0933261032
0.5586461492,-0.5007324467,-0.05899490346,-0.1764955954,-0.5021962887,1.000732447,0.05899490346
0.5667576002,-0.5009330223,0.01234379464,0.03592415986,-0.5028043685,1.000933022,-0.01234379464
0.5748690511,-0.5005524645,0.0763409704,0.231808368,-0.5016588134,1.000552465,-0.0763409704
0.5829805021,-0.4998253863,0.09300732806,0.2868303487,-0.4994329459,0.9998253863,-0.09300732806
0.5920780791,-0.4991568001,0.04365329481,0.1373281761,-0.4973544819,0.9991568001,-0.04365329481
0.5996491198,-0.499086912,-0.02612942675,-0.08131907675,-0.4971279562,0.999086912,0.02612942675
0.6072201605,-0.4995163874,-0.08188854706,-0.2605426098,-0.4984846595,0.9995163874,0.08188854706
0.6149932506,-0.5002308736,-0.09260495539,-0.2987820249,-0.5007743864,1.000230874,0.09260495539
0.6238402228,-0.5008642285,-0.04107761535,-0.1350430181,-0.5028330697,1.000864229,0.04107761535
0.6310807191,-0.5009198267,0.02643424047,0.08605799303,-0.5030218641,1.000919827,-0.02643424047
0.6383212153,-0.5005135165,0.08088176057,0.2685941863,-0.5016813816,1.000513517,-0.08088176057
0.6458639047,-0.4998193927,0.09436914038,0.3174666491,-0.4993607467,0.9998193927,-0.09436914038
0.6543448192,-0.4991715602,0.04911195182,0.1678945926,-0.4971665917,0.9991715602,-0.04911195182
0.6618666804,-0.4990591684,-0.02068437572,-0.07003557616,-0.4967765027,0.9990591684,0.02068437572
0.6693885417,-0.4994546914,-0.07950453807,-0.2751963639,-0.4981367106,0.9994546914,0.07950453807
0.6769754141,-0.5001520672,-0.09543766051,-0.3344866232,-0.5005663729,1.000152067,0.09543766051
0.6855480791,-0.500822148,-0.05117846365,-0.1821152255,-0.5029301327,1.000822148,0.05117846365
0.6931211789,-0.5009493515,0.01923532356,0.06786696782,-0.503388393,1.000949351,-0.01923532356
0.7006942788,-0.5005574418,0.07929551042,0.2858523888,-0.5019842766,1.000557442,-0.07929551042
0.7082778633,-0.4998586209,0.09609217155,0.3505429398,-0.4994493775,0.9998586209,-0.09609217155
0.7168491683,-0.4991801187,0.05239705941,0.19390294,-0.4969588815,0.9991801187,-0.05239705941
0.724439827,-0.4990442825,-0.01836692304,-0.0674759646,-0.4964508625,0.9990442825,0.01836692304
0.7320304857,-0.4994333039,-0.07918518249,-0.2969398834,-0.4979012017,0.9994333039,0.07918518249
0.7396211445,-0.5001344771,-0.09661116423,-0.3664247523,-0.5005462519,1.000134477,0.09661116423
0.748185755,-0.5008188011,-0.0532878592,-0.204867313,-0.5031570504,1.000818801,0.0532878592
0.7557871572,-0.5009608389,0.01775474696,0.06784835132,-0.5037081818,1.000960839,-0.01775474696
0.7633885595,-0.5005738168,0.07914186547,0.3083637992,-0.5022084743,1.000573817,-0.07914186547
0.7709899617,-0.4998700362,0.09703229869,0.3822039879,-0.4994506412,0.9998700362,-0.09703229869
0.7795509243,-0.4991812819,0.05391248262,0.2151065101,-0.4967224167,0.9991812819,-0.05391248262
0.7871589934,-0.4990350659,-0.01736573391,-0.06895793332,-0.4961342417,0.9990350659,0.01736573391
0.7947670625,-0.4994210286,-0.07916968224,-0.3201601392,-0.497686995,0.9994210286,0.07916968224
0.8023751316,-0.500126991,-0.09737901533,-0.3979193798,-0.5005574969,1.000126991,0.09737901533
0.8109326499,-0.5008191054,-0.05437333969,-0.2249192126,-0.5034008814,1.000819105,0.05437333969
0.8185447897,-0.5009682932,0.0171027415,0.07049410865,-0.5040225208,1.000968293,-0.0171027415
0.8261569295,-0.500582923,0.07922534267,0.3321661911,-0.5024146748,1.000582923,-0.07922534267
0.8337690693,-0.4998751561,0.09766951591,0.4136021499,-0.4994317003,0.9998751561,-0.09766951591
0.8423230036,-0.4991803872,0.05473884446,0.2345191434,-0.4964744312,0.9991803872,-0.05473884446
0.8499378507,-0.49902889,-0.01690359663,-0.07224141378,-0.4958211152,0.99902889,0.01690359663
0.8575526977,-0.4994138554,-0.07928360465,-0.3442745644,-0.4974850465,0.9994138554,0.07928360465
0.8651675448,-0.5001231219,-0.0979159063,-0.4292696129,-0.5005803638,1.000123122,0.0979159063
0.8737178906,-0.5008200753,-0.05504573067,-0.24402112,-0.5036508926,1.000820075,0.05504573067
0.8813347686,-0.5009735055,0.0167368527,0.07408554725,-0.5043350624,1.000973505,-0.0167368527
0.8889516465,-0.5005888873,0.07933364484,0.3564295313,-0.5026145953,1.000588887,-0.07933364484
0.8965685244,-0.4998783669,0.09812636713,0.4449300337,-0.4994070027,0.9998783669,-0.09812636713
0.9051154186,-0.4991795647,0.05531236886,0.2534784148,-0.4962234995,0.9991795647,-0.05531236886
0.912733979,-0.4990244415,-0.01658840964,-0.07597401338,-0.4955088504,0.9990244415,0.01658840964
0.9203525394,-0.4994087198,-0.07937235651,-0.3686059404,-0.497286061,0.9994087198,0.07937235651
0.9279710999,-0.500120293,-0.09830680785,-0.4605869625,-0.5006058996,1.000120293,0.09830680785
0.9365147398,-0.5008206844,-0.05554822684,-0.2629136021,-0.5039022434,1.000820684,0.05554822684
0.9441347755,-0.5009773253,0.01645221584,0.07788456439,-0.504647187,1.000977325,-0.01645221584
0.9517548112,-0.5005933952,0.07939987811,0.3807931396,-0.5028131284,1.000593395,-0.07939987811
0.9593748469,-0.4998809371,0.09846183137,0.4762419037,-0.4993810566,0.9998809371,-0.09846183137
0.9679154516,-0.4991791677,0.05575880011,0.2723358396,-0.4959719387,0.9991791677,-0.05575880011
0.9755368192,-0.4990211506,-0.01632561649,-0.07980827233,-0.4951968085,0.9990211506,0.01632561649
0.9831581868,-0.4994047225,-0.07941751206,-0.3929869293,-0.4970877794,0.9994047225,0.07941751206
0.9907795543,-0.5001179244,-0.09859518365,-0.4918954556,-0.5006320797,1.000117924,0.09859518365
0.9993173275,-0.5008208936,-0.05594785095,-0.2817491048,-0.5041539287,1.000820894,0.05594785095
1,-0.5008571469,-0.05022081172,-0.2531223046,-0.5043365729,1.000857147,0.05022081172
