time,forceToPosition3b.flange.s,forceToPosition3a.flange.s,forceToPosition2b.flange.s,mass3b.v,mass3a.v,mass2b.v,mass2a.v,forceToPosition2a.y,directMass.mass.v,directMass.forceToPosition.y,directMass.f,mass2a.s,mass3a.s,mass2b.s,mass3b.s,directMass.mass.s
0.161142039,0.02141134629,0.02201981183,0.02140300784,0.3509954555,0.3388248543,0.3478406879,0.3451343896,0.02203648873,0.3469385885,0.02161416814,5.990824032,0.02203648873,0.02201981183,0.02140300784,0.02141134629,0.02161416814
0.1770997194,0.02732974117,0.02779481728,0.02729213688,0.3889791333,0.3859886952,0.3893949051,0.3851571515,0.02787002587,0.3879823206,0.02748476654,5.288186478,0.02787002587,0.02779481728,0.02729213688,0.02732974117,0.02748476654
0.1930573997,0.03380527886,0.03428569708,0.03379903978,0.422876913,0.4236694622,0.4250075626,0.4194081629,0.03429817524,0.4231410961,0.03396541827,4.37361026,0.03429817524,0.03428569708,0.03379903978,0.03380527886,0.03396541827
0.2149454808,0.04355358365,0.04384386761,0.04353056083,0.4646227631,0.4485553046,0.4616310839,0.4545386629,0.04388991326,0.4592669436,0.04365034497,2.842660644,0.04388991326,0.04384386761,0.04353056083,0.04355358365,0.04365034497
0.2309296457,0.0511022766,0.05119281499,0.05105261571,0.4774259256,0.4713372415,0.4780133165,0.4701624596,0.05129213677,0.4753963642,0.05113245606,1.582386146,0.05129213677,0.05119281499,0.05105261571,0.0511022766,0.05113245606
0.2476712341,0.05914198448,0.05920475401,0.05912831716,0.4827679875,0.4810174071,0.4849532329,0.4766469163,0.05923208866,0.4821844607,0.05916290766,0.1950663934,0.05923208866,0.05920475401,0.05912831716,0.05914198448,0.05916290766
0.2685349081,0.0692351384,0.06908417733,0.06920851681,0.4813068929,0.4647147825,0.4785630088,0.4702025507,0.06913742051,0.4757761894,0.06918481804,-1.538775141,0.06913742051,0.06908417733,0.06920851681,0.0692351384,0.06918481804
0.2849881724,0.07700969793,0.07665392466,0.07695982711,0.4611279663,0.4558018643,0.4620189282,0.4540199405,0.07675366629,0.4593525989,0.07689110684,-2.837632017,0.07675366629,0.07665392466,0.07695982711,0.07700969793,0.07689110684
0.3015458032,0.08441601312,0.08405211621,0.08440578242,0.4334753531,0.4333793969,0.4358738026,0.4285824978,0.08407257761,0.4334433677,0.08429471415,-4.022590906,0.08407257761,0.08405211621,0.08440578242,0.08441601312,0.08429471415
0.322641518,0.09316375856,0.09263253542,0.09314454578,0.3931022216,0.3796061885,0.3905834113,0.3846438091,0.09267096099,0.3886035439,0.09298668418,-5.274958243,0.09267096099,0.09263253542,0.09314454578,0.09316375856,0.09298668418
