time,C2.vinternal,C1.vinternal,L2.iinternal,L3.p.i,L1.p.i,k1.inductiveCouplePin1.di,L2.ICP.di,L1.iinternal,L3.iinternal
0,0,0,-0,-0,0,0,0,0,-0
1e-06,-3.217553928e-12,-1.198967038e-08,3.597756652e-08,1.930513903e-08,3.501380859e-08,0.07002758246,0.07195326192,3.501380859e-08,1.930513903e-08
7.413635506e-06,-1.310777103e-09,-4.875429566e-06,1.976053431e-06,1.060744631e-06,1.924408717e-06,0.5191495477,0.5327697522,1.924408717e-06,1.060744631e-06
2.174058717e-05,-3.303533994e-08,-0.000122207781,1.692520622e-05,9.113813937e-06,1.654835734e-05,1.522264308,1.550237476,1.654835734e-05,9.113813937e-06
4.147641077e-05,-2.291107041e-07,-0.000838674539,6.091876965e-05,3.311093584e-05,6.022211486e-05,2.90339838,2.893090034,6.022211486e-05,3.311093584e-05
6.548889218e-05,-9.000756868e-07,-0.003237519193,0.0001485256942,8.229396144e-05,0.0001500983372,4.581987749,4.368438079,0.0001500983372,8.229396144e-05
9.518587339e-05,-2.754809398e-06,-0.009627037381,0.0003012266697,0.0001729772952,0.0003169469981,6.653896487,5.841141688,0.0003169469981,0.0001729772952
0.0001312572852,-7.187677633e-06,-0.02399517901,0.0005344318329,0.0003263797857,0.0006022388448,9.162703233,6.954528213,0.0006022388448,0.0003263797857
0.0001763280677,-1.729363216e-05,-0.05362924767,0.0008574973821,0.0005821369861,0.001085595187,12.28336829,7.156672523,0.001085595187,0.0005821369861
0.0002391002241,-4.25820749e-05,-0.1155346563,0.001261364098,0.001050491744,0.001992394239,16.60366273,5.347054519,0.001992394239,0.001050491744
0.0003018723805,-8.451911784e-05,-0.1935159175,0.001494509695,0.001641973172,0.003169596549,20.90054046,1.918174225,0.003169596549,0.001641973172
0.0003646445369,-0.000146887092,-0.2739308056,0.001497317681,0.002352181962,0.004616111217,25.1865652,-1.74343694,0.004616111217,0.002352181962
0.0004274166934,-0.0002334070243,-0.3431045303,0.001300034647,0.00318160958,0.006331665048,29.47424065,-4.25707761,0.006331665048,0.00318160958
0.0005002743762,-0.0003691444238,-0.3983442377,0.0009579924596,0.004299707729,0.00866070547,34.4618941,-4.641730147,0.00866070547,0.004299707729
0.0005932997163,-0.0006071326677,-0.4319468584,0.0006506587077,0.005983525404,0.01216323891,40.84085123,-1.434418539,0.01216323891,0.005983525404
0.0006600890115,-0.0008297384919,-0.4453907721,0.0006666567949,0.007375235655,0.01504365651,45.40967704,1.902908476,0.01504365651,0.007375235655
0.0007288636754,-0.001110220949,-0.4668128897,0.000896399541,0.008965986696,0.01832766989,50.08462843,4.52675106,0.01832766989,0.008965986696
0.0008057468928,-0.001491888756,-0.5129275642,0.00128676008,0.0109241855,0.02237762787,55.25895645,5.16984217,0.02237762787,0.0109241855
0.0008988847579,-0.002060278842,-0.6009727095,0.001673293916,0.01353116871,0.02781322554,61.4491914,2.649487318,0.02781322554,0.01353116871
