time,HeatCapacitor1.T,Capacitor1.v,H_PMOS.D.i,H_NMOS.D.i
1.367698811,298.272466,0.002333964875,2.012443597e-06,7.917257902e-07
1.378980625,298.2918663,0.005112798176,5.537073885e-06,1.58393884e-06
1.387693068,298.3067167,0.009873858542,9.964530647e-06,2.818759614e-06
1.397800766,298.323813,0.01953652529,1.723891338e-05,4.991588813e-06
1.407908464,298.3407799,0.03525241974,2.707869771e-05,7.883233382e-06
1.418270503,298.3580547,0.05986739636,4.010160875e-05,1.131007848e-05
1.428788556,298.375483,0.09672390789,5.661453767e-05,1.465298428e-05
1.439512298,298.3931591,0.1510509164,7.709556299e-05,1.674431775e-05
1.45038481,298.4110018,0.2300334319,0.0001018076445,1.534851968e-05
1.461380118,298.4289794,0.3447449035,0.0001309784308,6.633574998e-06
1.473300446,298.4484021,0.5192396991,0.0001674364752,7.96247744e-08
1.498790658,298.4897103,1.061762877,0.0002621428192,1.0617628e-07
1.512595248,298.5119115,1.464443029,0.0003219915119,1.464443029e-07
1.529217913,298.5383154,2.045853194,0.0003706720708,2.045853194e-07
1.548480031,298.568059,2.7687851,0.0003703954005,2.7687851e-07
1.569264735,298.5988466,3.48676074,0.0003136688153,3.48676074e-07
1.590049439,298.628361,4.053130434,0.000230582509,4.053130434e-07
1.613935379,298.6610555,4.492045702,0.0001411334603,4.492045702e-07
1.638386633,298.6934994,4.750594487,7.616697119e-05,4.750594487e-07
1.665256964,298.7281694,4.892833763,3.51654246e-05,4.892833763e-07
1.696037723,298.7667333,4.96116728,1.343315504e-05,4.96116728e-07
1.734170722,298.8128861,4.988829896,3.986129949e-06,4.988829896e-07
1.802206412,298.8909825,4.997709059,7.952911294e-07,4.997709059e-07
1.855434841,298.9484831,4.998348044,5.215503625e-07,4.998348044e-07
1.93840458,299.0322258,4.998123668,4.384546906e-07,4.998123668e-07
2.008427313,299.0976908,4.997486399,3.724570536e-07,4.997486399e-07
2.052937731,299.1371182,4.971279413,2.705748047e-06,2.978915873e-05
2.082486172,299.1632489,4.783833974,1.195807418e-05,0.000120122504
2.112180662,299.1901972,4.275557682,9.609455014e-06,0.0002541348803
2.141875151,299.2175686,3.305594275,3.6178441e-07,0.0004076090128
2.161927459,299.2356976,2.385064168,2.61493578e-07,0.0005077622344
2.174106594,299.2462369,1.761011764,3.238988236e-07,0.0005017412729
2.186495437,299.2563599,1.187126335,3.812873665e-07,0.0004157358589
2.198884281,299.2659431,0.7443335625,4.255666438e-07,0.000299014212
2.21322356,299.27659,0.4057149137,4.594285086e-07,0.0001798154258
2.22756284,299.286952,0.2111606043,4.788839396e-07,9.893443735e-05
2.24190212,299.2971235,0.1071991461,4.892800854e-07,5.165804224e-05
2.256612148,299.3073951,0.05305283063,4.946947169e-07,2.580808533e-05
2.274066625,299.3193846,0.02332725043,4.97667275e-07,1.125877889e-05
2.291521102,299.3311659,0.01073337016,4.98926663e-07,5.050104381e-06
2.308975579,299.3427431,0.005397880126,4.99460212e-07,2.434400213e-06
2.326430055,299.35412,0.0031231465,4.996876854e-07,1.326349534e-06
2.34396023,299.365348,0.002153748014,4.997846252e-07,8.44022835e-07
2.353918871,299.3716394,0.001887094206,5.11275918e-07,6.993124381e-07
2.363877512,299.37787,0.002019173132,1.334926293e-06,7.015194227e-07
2.376247159,299.3855347,0.004194827836,4.497437472e-06,1.326017054e-06
2.388616806,299.3931332,0.01062500068,1.055692213e-05,2.996006507e-06
2.400986453,299.4006858,0.02383081045,2.005758144e-05,5.839298612e-06
2.4133561,299.4082152,0.04702269684,3.350703201e-05,9.650503077e-06
2.425725747,299.4157464,0.08454245414,5.135947612e-05,1.373451694e-05
2.438095394,299.4233052,0.142560721,7.399989861e-05,1.660222168e-05
2.450465041,299.4309161,0.2302921013,0.0001017297087,1.537062759e-05
2.462834688,299.4385975,0.362226551,0.0001347542181,5.367572089e-06
2.475204336,299.4463577,0.5499998421,0.0001731734433,5.499998489e-08
2.492032739,299.4570455,0.891158276,0.0002340630149,8.91158276e-08
2.521465441,299.4759373,1.758226355,0.0003522786749,1.758226355e-07
2.537968006,299.4862871,2.366048501,0.0003772169255,2.366048501e-07
2.564281452,299.5016557,3.317173645,0.0003311469261,3.317173645e-07
2.581309187,299.5107948,3.827815869,0.0002671017741,3.827815869e-07
2.606864892,299.5236296,4.377835508,0.0001662886589,4.377835508e-07
2.632420597,299.5358006,4.69759038,9.013291114e-05,4.69759038e-07
2.659945841,299.5484468,4.870698178,4.175271852e-05,4.870698178e-07
2.690883923,299.5622177,4.952947319,1.610189749e-05,4.952947319e-07
2.728455442,299.5783708,4.986304602,4.857524113e-06,4.986304602e-07
2.788811679,299.6030808,4.997147423,1.000720492e-06,4.997147423e-07
2.849167916,299.6263433,4.998318175,5.370476274e-07,4.998318175e-07
2.930493324,299.6555478,4.998163954,4.444293446e-07,4.998163954e-07
3.009397382,299.6817008,4.997467667,3.70919128e-07,4.997467667e-07
3.050247919,299.6945524,4.9776874,2.161268473e-06,2.45217125e-05
3.0824427,299.7052712,4.783716343,1.194722744e-05,0.0001200597188
3.114637481,299.7173446,4.213008799,8.203266779e-06,0.0002663687328
3.146832262,299.7303587,3.09716989,1.930872418e-07,0.0004329773915
3.16593339,299.7378566,2.18140906,2.818590883e-07,0.0005159381172
3.177277317,299.7418974,1.606638673,3.393361327e-07,0.0004853689242
3.189828907,299.745847,1.056071298,3.943928702e-07,0.0003852269406
3.202380498,299.7493651,0.6476792902,4.35232071e-07,0.000267300454
3.217388146,299.7532529,0.3384076746,4.661592325e-07,0.0001526699741
