time,Capacitor1.v_ref,Capacitor1.v_sim,Capacitor1.v_relerr,HeatCapacitor1.T_ref,HeatCapacitor1.T_sim,HeatCapacitor1.T_relerr
0,0,0,0,293.15,95.0671153,0.660332
0.001,2.50002451e-06,2.499983333e-06,8.23787e-12,293.1568466,95.27194576,0.659672
0.002,9.999890735e-06,9.999866668e-06,4.81489e-12,293.1636863,95.47657149,0.659012
0.002177313922,1.185158085e-05,1.185156776e-05,2.61986e-12,293.1648984,95.51283313,0.658895
0.002177313922,1.185158085e-05,1.185156776e-05,2.61986e-12,293.1648984,95.51283313,0.658895
0.003,9.39044908e-05,2.307670228e-05,1.41701e-05,293.1705193,95.68099271,0.658353
0.004,0.0008024901876,0.000184224522,0.000123693,293.1773467,95.8852099,0.657695
0.005,0.002891095733,0.0028204702,1.41297e-05,293.1841708,96.08922877,0.657038
0.006,0.00711409367,0.01189278836,0.000956047,293.190995,96.29306285,0.656381
0.007,0.01422550073,0.03136178482,0.00342836,293.1978239,96.4967313,0.655725
0.008,0.0249787602,0.065133543,0.00803354,293.2046633,96.70025849,0.655069
0.009,0.04012691913,0.1170491111,0.0153894,293.2115199,96.90367327,0.654414
0.01,0.06042249408,0.1908547426,0.0260949,293.2184011,97.10700811,0.653759
0.011,0.08334570423,0.275860124,0.0385153,293.2252922,97.31020464,0.653105
0.012,0.105877233,0.3589629521,0.0506335,293.232174,97.51318208,0.652451
0.013,0.1280204116,0.4401639524,0.0624488,293.2390465,97.71594108,0.651798
0.014,0.1497786764,0.5194910384,0.0739663,293.2459098,97.91848245,0.651146
0.015,0.1711557007,0.5969719878,0.0851907,293.2527639,98.12080697,0.650494
0.016,0.1921551552,0.672634429,0.0961268,293.2596089,98.3229154,0.649843
0.017,0.212780649,0.7465058468,0.106779,293.2664449,98.5248085,0.649193
0.018,0.2330358067,0.8186135828,0.117153,293.2732718,98.72648698,0.648544
0.019,0.2529242765,0.8889848192,0.127253,293.2800897,98.92795156,0.647895
0.02,0.2724496875,0.9576465993,0.137084,293.2868987,99.12920292,0.647246
0.021,0.2916156795,1.024625781,0.146649,293.2936989,99.33024174,0.646599
0.022,0.3104258885,1.089949054,0.155955,293.3004902,99.53106867,0.645952
0.023,0.3288839505,1.153642936,0.165005,293.3072727,99.73168435,0.645306
0.024,0.3469935021,1.215733779,0.173804,293.3140465,99.9320894,0.64466
0.025,0.3647582341,1.276247767,0.182357,293.3208115,100.1322844,0.644016
