time,impedance.z.im,impedance.z.re
0,0,0.007
0.002004008016,0,0.007
0.004008016032,0,0.007
0.006012024048,0,0.007
0.008016032064,0,0.007
0.01002004008,0,0.007
0.0120240481,0,0.007
0.01402805611,0,0.007
0.01603206413,0,0.007
0.01803607214,0,0.007
0.02004008016,0,0.007
0.02204408818,0,0.007
0.02404809619,0,0.007
0.02605210421,0,0.007
0.02805611222,0,0.007
0.03006012024,0,0.007
0.03206412826,0,0.007
0.03406813627,0,0.007
0.03607214429,0,0.007
0.0380761523,0,0.007
0.04008016032,0,0.007
0.04208416834,0,0.007
0.04408817635,0,0.007
0.04609218437,0,0.007
0.04809619238,0,0.007
0.0501002004,0,0.007
0.05210420842,0,0.007
0.05410821643,0,0.007
0.05611222445,0,0.007
0.05811623246,0,0.007
0.06012024048,0,0.007
0.0621242485,0,0.007
0.06412825651,0,0.007
0.06613226453,0,0.007
0.06813627255,0,0.007
0.07014028056,0,0.007
0.07214428858,0,0.007
0.07414829659,0,0.007
0.07615230461,0,0.007
0.07815631263,0,0.007
0.08016032064,0,0.007
0.08216432866,0,0.007
0.08416833667,0,0.007
0.08617234469,0,0.007
0.08817635271,0,0.007
0.09018036072,0,0.007
0.09218436874,0,0.007
0.09418837675,0,0.007
0.09619238477,0,0.007
0.09819639279,0,0.007
0.1002004008,0,0.007
0.1022044088,0,0.007
0.1042084168,0,0.007
0.1062124248,0,0.007
0.1082164329,0,0.007
0.1102204409,0,0.007
0.1122244489,0,0.007
0.1142284569,0,0.007
0.1162324649,0,0.007
0.1182364729,0,0.007
0.120240481,0,0.007
0.122244489,0,0.007
0.124248497,0,0.007
0.126252505,0,0.007
0.128256513,0,0.007
0.130260521,0,0.007
0.1322645291,0,0.007
0.1342685371,0,0.007
0.1362725451,0,0.007
0.1382765531,0,0.007
0.1402805611,0,0.007
0.1422845691,0,0.007
0.1442885772,0,0.007
0.1462925852,0,0.007
0.1482965932,0,0.007
0.1503006012,0,0.007
0.1523046092,0,0.007
0.1543086172,0,0.007
0.1563126253,0,0.007
0.1583166333,0,0.007
0.1603206413,0,0.007
0.1623246493,0,0.007
0.1643286573,0,0.007
0.1663326653,0,0.007
0.1683366733,0,0.007
0.1703406814,0,0.007
0.1723446894,0,0.007
0.1743486974,0,0.007
0.1763527054,0,0.007
0.1783567134,0,0.007
0.1803607214,0,0.007
0.1823647295,0,0.007
0.1843687375,0,0.007
0.1863727455,0,0.007
0.1883767535,0,0.007
0.1903807615,0,0.007
0.1923847695,0,0.007
0.1943887776,0,0.007
0.1963927856,0,0.007
0.1983967936,0,0.007
0.2004008016,0,0.007
0.2024048096,0,0.007
0.2044088176,0,0.007
0.2064128257,0,0.007
0.2084168337,0,0.007
0.2104208417,0,0.007
0.2124248497,0,0.007
0.2144288577,0,0.007
0.2164328657,0,0.007
0.2184368737,0,0.007
0.2204408818,0,0.007
0.2224448898,0,0.007
0.2244488978,0,0.007
0.2264529058,0,0.007
0.2284569138,0,0.007
0.2304609218,0,0.007
0.2324649299,0,0.007
0.2344689379,0,0.007
0.2364729459,0,0.007
0.2384769539,0,0.007
0.2404809619,0,0.007
0.2424849699,0,0.007
0.244488978,0,0.007
0.246492986,0,0.007
0.248496994,0,0.007
0.250501002,0,0.007
0.25250501,0,0.007
0.254509018,0,0.007
0.2565130261,0,0.007
0.2585170341,0,0.007
0.2605210421,0,0.007
0.2625250501,0,0.007
0.2645290581,0,0.007
0.2665330661,0,0.007
0.2685370741,0,0.007
0.2705410822,0,0.007
0.2725450902,0,0.007
0.2745490982,0,0.007
0.2765531062,0,0.007
0.2785571142,0,0.007
0.2805611222,0,0.007
0.2825651303,0,0.007
0.2845691383,0,0.007
0.2865731463,0,0.007
0.2885771543,0,0.007
0.2905811623,0,0.007
0.2925851703,0,0.007
0.2945891784,0,0.007
0.2965931864,0,0.007
0.2985971944,0,0.007
0.3006012024,0,0.007
0.3026052104,0,0.007
0.3046092184,0,0.007
0.3066132265,0,0.007
0.3086172345,0,0.007
0.3106212425,0,0.007
0.3126252505,0,0.007
0.3146292585,0,0.007
0.3166332665,0,0.007
0.3186372745,0,0.007
0.3206412826,0,0.007
0.3226452906,0,0.007
0.3246492986,0,0.007
0.3266533066,0,0.007
0.3286573146,0,0.007
0.3306613226,0,0.007
0.3326653307,0,0.007
0.3346693387,0,0.007
0.3366733467,0,0.007
0.3386773547,0,0.007
0.3406813627,0,0.007
0.3426853707,0,0.007
0.3446893788,0,0.007
0.3466933868,0,0.007
0.3486973948,0,0.007
0.3507014028,0,0.007
0.3527054108,0,0.007
0.3547094188,0,0.007
0.3567134269,0,0.007
0.3587174349,0,0.007
0.3607214429,0,0.007
0.3627254509,0,0.007
0.3647294589,0,0.007
0.3667334669,0,0.007
0.3687374749,0,0.007
0.370741483,0,0.007
0.372745491,0,0.007
0.374749499,0,0.007
0.376753507,0,0.007
0.378757515,0,0.007
0.380761523,0,0.007
0.3827655311,0,0.007
0.3847695391,0,0.007
0.3867735471,0,0.007
0.3887775551,0,0.007
0.3907815631,0,0.007
0.3927855711,0,0.007
0.3947895792,0,0.007
0.3967935872,0,0.007
0.3987975952,0,0.007
0.4008016032,0,0.007
0.4028056112,0,0.007
0.4048096192,0,0.007
0.4068136273,0,0.007
0.4088176353,0,0.007
0.4108216433,0,0.007
0.4128256513,0,0.007
0.4148296593,0,0.007
0.4168336673,0,0.007
0.4188376754,0,0.007
0.4208416834,0,0.007
0.4228456914,0,0.007
0.4248496994,0,0.007
0.4268537074,0,0.007
0.4288577154,0,0.007
0.4308617234,0,0.007
0.4328657315,0,0.007
0.4348697395,0,0.007
0.4368737475,0,0.007
0.4388777555,0,0.007
0.4408817635,0,0.007
0.4428857715,0,0.007
0.4448897796,0,0.007
0.4468937876,0,0.007
0.4488977956,0,0.007
0.4509018036,0,0.007
0.4529058116,0,0.007
0.4549098196,0,0.007
0.4569138277,0,0.007
0.4589178357,0,0.007
0.4609218437,0,0.007
0.4629258517,0,0.007
0.4649298597,0,0.007
0.4669338677,0,0.007
0.4689378758,0,0.007
