time,impedance.z.re_ref,impedance.z.re_sim,impedance.z.re_relerr,impedance.z.im_ref,impedance.z.im_sim,impedance.z.im_relerr
0,0.009999999712,0.007,0.3,-8.168139825e-07,0,0.00069462
5e-05,0.009999999711,0.007,0.3,-8.176607736e-07,0,0.00069534
0.0001,0.009999999711,0.007,0.3,-8.185084425e-07,0,0.000696061
0.00015,0.00999999971,0.007,0.3,-8.193569903e-07,0,0.000696783
0.0002,0.009999999709,0.007,0.3,-8.202064177e-07,0,0.000697505
0.00025,0.009999999709,0.007,0.3,-8.210567257e-07,0,0.000698228
0.0003,0.009999999708,0.007,0.3,-8.219079152e-07,0,0.000698952
0.00035,0.009999999708,0.007,0.3,-8.227599872e-07,0,0.000699677
0.0004,0.009999999707,0.007,0.3,-8.236129424e-07,0,0.000700402
0.00045,0.009999999706,0.007,0.3,-8.24466782e-07,0,0.000701128
0.0005,0.009999999706,0.007,0.3,-8.253215067e-07,0,0.000701855
0.00055,0.009999999705,0.007,0.3,-8.261771175e-07,0,0.000702583
0.0006,0.009999999705,0.007,0.3,-8.270336154e-07,0,0.000703311
0.00065,0.009999999704,0.007,0.3,-8.278910011e-07,0,0.00070404
0.0007,0.009999999703,0.007,0.3,-8.287492757e-07,0,0.00070477
0.00075,0.009999999703,0.007,0.3,-8.296084401e-07,0,0.000705501
0.0008,0.009999999702,0.007,0.3,-8.304684952e-07,0,0.000706232
0.00085,0.009999999701,0.007,0.3,-8.313294419e-07,0,0.000706964
0.0009,0.009999999701,0.007,0.3,-8.321912812e-07,0,0.000707697
0.00095,0.0099999997,0.007,0.3,-8.330540139e-07,0,0.000708431
0.001,0.0099999997,0.007,0.3,-8.33917641e-07,0,0.000709165
0.00105,0.009999999699,0.007,0.3,-8.347821634e-07,0,0.000709901
0.0011,0.009999999698,0.007,0.3,-8.356475821e-07,0,0.000710637
0.00115,0.009999999698,0.007,0.3,-8.365138979e-07,0,0.000711373
0.0012,0.009999999697,0.007,0.3,-8.373811119e-07,0,0.000712111
0.00125,0.009999999696,0.007,0.3,-8.382492249e-07,0,0.000712849
0.0013,0.009999999696,0.007,0.3,-8.391182379e-07,0,0.000713588
0.00135,0.009999999695,0.007,0.3,-8.399881518e-07,0,0.000714328
0.0014,0.009999999695,0.007,0.3,-8.408589675e-07,0,0.000715068
0.00145,0.009999999694,0.007,0.3,-8.41730686e-07,0,0.00071581
0.0015,0.009999999693,0.007,0.3,-8.426033082e-07,0,0.000716552
0.00155,0.009999999693,0.007,0.3,-8.43476835e-07,0,0.000717295
0.0016,0.009999999692,0.007,0.3,-8.443512675e-07,0,0.000718038
0.00165,0.009999999691,0.007,0.3,-8.452266064e-07,0,0.000718783
0.0017,0.009999999691,0.007,0.3,-8.461028529e-07,0,0.000719528
0.00175,0.00999999969,0.007,0.3,-8.469800077e-07,0,0.000720274
0.0018,0.009999999689,0.007,0.3,-8.478580719e-07,0,0.00072102
0.00185,0.009999999689,0.007,0.3,-8.487370463e-07,0,0.000721768
0.0019,0.009999999688,0.007,0.3,-8.49616932e-07,0,0.000722516
0.00195,0.009999999688,0.007,0.3,-8.504977299e-07,0,0.000723265
