time,pump.flowPort_a.h,pump.flowPort_b.h,convection2.solid.T,Convection1.solid.T,pipe1.flowPort_b.h,ambient2.flowPort.h,pump.h,pipe1.V_flow,pipe3.T,pipe2.T,pipe1.T,heatCapacitor2.T,heatCapacitor1.T
0.6053593061,293.15,293.1499945,322.5344707,307.9378351,311.4726944,298.0951162,293.15,0.01339826516,298.0951162,317.5165993,305.4287821,322.5344707,307.9378351
0.6080085536,293.15,293.1500056,322.6663405,308.0037665,311.5643471,298.1069985,293.15,0.02002138398,298.1069985,317.6388386,305.489863,322.6663405,308.0037665
0.6119692078,293.15,293.1499942,322.8628881,308.1020327,311.695714,298.1337321,293.15,0.02992301945,298.133732,317.8140423,305.5773781,322.8628881,308.1020327
0.6178789711,293.15,293.1500059,323.154203,308.2476716,311.8793509,298.1938435,293.15,0.0446974278,298.1938436,318.0590295,305.6996801,323.154203,308.2476716
0.626689619,293.15,293.149994,323.5822657,308.4616522,312.1265437,298.3288507,293.15,0.06672404739,298.3288506,318.3888862,305.8641932,323.5822657,308.4616522
0.6398258557,293.15,293.150006,324.2010674,308.7709059,312.438587,298.6307042,293.15,0.09956463933,298.6307043,318.8055431,306.0716388,324.2010674,308.7709059
0.6593791225,293.15,293.149994,325.0640171,309.2019844,312.7994665,299.2940132,293.15,0.1480464857,299.2940132,319.2688175,306.3020886,325.0640171,309.2019844
0.6717259835,293.15,293.1500003,325.5649723,309.4522191,312.9760769,299.8334959,293.15,0.1782278421,299.8334959,319.4695251,306.4031327,325.5649723,309.4522191
0.6899955883,293.15,293.15,326.2338663,309.7868083,313.1490631,300.7763254,293.15,0.2222455598,300.7763254,319.6428498,306.495089,326.2338663,309.7868083
0.7150145079,293.15,293.15,326.9944336,310.1698864,313.2318735,302.2723831,293.15,0.281218461,302.2723831,319.6546672,306.5206335,326.9944336,310.1698864
0.7466893524,293.15,293.15,327.6780498,310.5240432,313.1003004,304.3143586,293.15,0.3535559049,304.3143586,319.3272569,306.4096578,327.6780498,310.5240432
0.7861755051,293.15,293.15,328.0767006,310.7622515,312.6122279,306.7078639,293.15,0.439729239,306.7078639,318.4512082,306.0906235,328.0767006,310.7622515
0.8329335153,293.15,293.15,327.9508618,310.7890537,311.7764844,308.7275857,293.15,0.468751273,308.7275857,317.1932524,305.6376946,327.9508618,310.7890537
0.8653980958,293.15,293.15,327.6557037,310.7177271,311.392621,309.513819,293.15,0.4687517681,309.513819,316.6385852,305.4472371,327.6557037,310.7177271
0.9556138368,293.15,293.15,326.6849283,310.4355626,310.703641,310.3788968,293.15,0.4687517681,310.3788968,315.633899,305.1160549,326.6849283,310.4355626
1.045829578,293.15,293.15,325.8111172,310.1649163,310.2223108,310.4016619,293.15,0.4687517681,310.4016619,314.9294999,304.8875343,325.8111172,310.1649163
1.18357747,293.15,293.15,324.7669781,309.830752,309.6682446,310.0036688,293.15,0.4687517681,310.0036688,314.1220462,304.6206387,324.7669781,309.830752
1.354171255,293.15,293.15,323.857419,309.5287298,309.1842658,309.4653869,293.15,0.4687517681,309.4653869,313.4223578,304.3811289,323.857419,309.5287298
1.594763319,293.15,293.15,323.0543531,309.2491048,308.7522582,308.9251483,293.15,0.4687517681,308.9251483,312.8047543,304.1594619,323.0543531,309.2491048
1.943086071,293.15,293.15,322.4570574,309.0267172,308.4255913,308.505269,293.15,0.4687517681,308.505269,312.3454024,303.9831702,322.4570574,309.0267172
2,293.15,293.15,322.3975094,309.0033389,308.3925753,308.462698,293.15,0.4687517681,308.462698,312.2996068,303.9646377,322.3975094,309.0033389
