time,SaturatingInductance1.i,Inductance1.i,SaturatingInductance1.Psi
1.09,1.188027055,1.108283599,1.108283599
1.1,1.198181521,1.114009162,1.114009162
1.11,1.208155791,1.119623328,1.119623328
1.12,1.217947266,1.125125533,1.125125533
1.13,1.227553415,1.130515228,1.130515228
1.14,1.236971776,1.13579187,1.13579187
1.15,1.246199958,1.140954929,1.140954929
1.16,1.255239625,1.146003889,1.146003889
1.17,1.264088613,1.150938251,1.150938251
1.18,1.272743215,1.15575752,1.15575752
1.19,1.281201523,1.160461215,1.160461215
1.2,1.289461692,1.165048864,1.165048864
1.21,1.297521936,1.169520007,1.169520007
1.22,1.305380528,1.173874198,1.173874198
1.23,1.313035803,1.178111002,1.178111002
1.24,1.320486154,1.182229995,1.182229995
1.25,1.327730037,1.186230765,1.186230765
1.26,1.334765965,1.190112913,1.190112913
1.27,1.341592512,1.193876051,1.193876051
1.28,1.348208313,1.197519804,1.197519804
1.29,1.354612062,1.201043806,1.201043806
1.3,1.360802514,1.204447707,1.204447707
1.31,1.366778484,1.207731166,1.207731166
1.32,1.372538846,1.210893854,1.210893854
1.33,1.378082534,1.213935456,1.213935456
1.34,1.383408545,1.216855666,1.216855666
1.35,1.388515932,1.219654193,1.219654193
1.36,1.393403811,1.222330755,1.222330755
1.37,1.398071356,1.224885083,1.224885083
1.38,1.402517803,1.227316921,1.227316921
1.39,1.406741317,1.229626027,1.229626027
1.4,1.410741959,1.231812171,1.231812171
1.41,1.414519095,1.233875135,1.233875135
1.42,1.418071995,1.235814712,1.235814712
1.43,1.421399975,1.237630708,1.237630708
1.44,1.424502398,1.239322942,1.239322942
1.45,1.42737867,1.240891243,1.240891243
1.46,1.430028244,1.242335456,1.242335456
1.47,1.432450617,1.243655436,1.243655436
1.48,1.434645332,1.244851051,1.244851051
1.49,1.436611976,1.245922182,1.245922182
1.5,1.438350183,1.246868722,1.246868722
1.51,1.439859632,1.247690577,1.247690577
1.52,1.441140045,1.248387664,1.248387664
1.53,1.442191193,1.248959915,1.248959915
1.54,1.443012888,1.249407271,1.249407271
1.55,1.443604992,1.249729688,1.249729688
1.56,1.443967407,1.249927134,1.249927134
1.57,1.444100086,1.24999959,1.24999959
1.58,1.444003022,1.249947047,1.249947047
1.59,1.443676256,1.249769512,1.249769512
1.6,1.443119874,1.249467002,1.249467002
1.61,1.442334007,1.249039546,1.249039546
1.62,1.441318831,1.248487188,1.248487188
1.63,1.440074568,1.247809982,1.247809982
1.64,1.438601484,1.247007996,1.247007996
1.65,1.436899892,1.24608131,1.24608131
1.66,1.434970149,1.245030016,1.245030016
1.67,1.432812658,1.243854218,1.243854218
1.68,1.430427865,1.242554035,1.242554035
1.69,1.427810899,1.241129622,1.241129622
1.7,1.424966065,1.239581096,1.239581096
1.71,1.421898904,1.237908588,1.237908588
1.72,1.418609239,1.236112273,1.236112273
1.73,1.415096988,1.234192336,1.234192336
1.74,1.411362156,1.232148973,1.232148973
1.75,1.407404843,1.229982394,1.229982394
1.76,1.403225237,1.227692818,1.227692818
1.77,1.398823619,1.225280479,1.225280479
1.78,1.394200361,1.22274562,1.22274562
1.79,1.389355926,1.220088497,1.220088497
1.8,1.384290867,1.217309377,1.217309377
1.81,1.379005831,1.214408539,1.214408539
1.82,1.373501553,1.211386273,1.211386273
1.83,1.367778861,1.208242884,1.208242884
1.84,1.361838673,1.204978683,1.204978683
1.85,1.355682001,1.201593998,1.201593998
1.86,1.349309944,1.198089166,1.198089166
1.87,1.342723696,1.194464537,1.194464537
1.88,1.335924539,1.190720471,1.190720471
1.89,1.328913848,1.186857341,1.186857341
1.9,1.32169309,1.182875532,1.182875532
1.91,1.31426382,1.178775439,1.178775439
1.92,1.306627688,1.174557471,1.174557471
1.93,1.298786433,1.170222048,1.170222048
1.94,1.290741884,1.1657696,1.1657696
1.95,1.282495964,1.161200571,1.161200571
1.96,1.274050686,1.156515415,1.156515415
1.97,1.265408153,1.151714598,1.151714598
1.98,1.256570562,1.1467986,1.1467986
1.99,1.247540197,1.141767909,1.141767909
2,1.238319437,1.136623028,1.136623028
2.01,1.228910751,1.131364469,1.131364469
2.02,1.219316698,1.125992758,1.125992758
2.03,1.20953993,1.120508432,1.120508432
2.04,1.199583188,1.114912038,1.114912038
2.05,1.189449306,1.109204137,1.109204137
2.06,1.179141209,1.103385301,1.103385301
2.07,1.168661913,1.097456113,1.097456113
2.08,1.158014524,1.091417169,1.091417169
2.09,1.14720224,1.085269076,1.085269076
2.1,1.136228352,1.079012451,1.079012451
2.11,1.125096238,1.072647927,1.072647927
2.12,1.113809371,1.066176144,1.066176144
2.13,1.102371315,1.059597757,1.059597757
2.14,1.090785721,1.052913431,1.052913431
2.15,1.079056337,1.046123843,1.046123843
2.16,1.067173294,1.03922968,1.03922968
2.17,1.055105372,1.032231598,1.032231598
2.18,1.042893768,1.025130288,1.025130288
2.19,1.030543044,1.017926463,1.017926463
2.2,1.018057819,1.010620848,1.010620848
2.21,1.005442764,1.003214174,1.003214174
2.22,0.992702607,0.9957071818,0.9957071818
2.23,0.9798421277,0.9881006238,0.9881006238
2.24,0.9668661623,0.9803952604,0.9803952604
2.25,0.9537796009,0.9725918616,0.9725918616
2.26,0.9405873881,0.9646912072,0.9646912072
2.27,0.9272945229,0.9566940861,0.9566940861
2.28,0.9139060589,0.948601297,0.948601297
2.29,0.9004271043,0.940413648,0.940413648
2.3,0.8868628214,0.9321319566,0.9321319566
2.31,0.8732184274,0.9237570497,0.9237570497
2.32,0.8594991938,0.9152897639,0.9152897639
2.33,0.8457104465,0.9067309452,0.9067309452
2.34,0.8318575661,0.8980814489,0.8980814489
2.35,0.8179459876,0.8893421399,0.8893421399
2.36,0.8039812004,0.8805138928,0.8805138928
2.37,0.7899687484,0.8715975913,0.8715975913
2.38,0.7759142302,0.8625941287,0.8625941287
2.39,0.7618232987,0.8535044079,0.8535044079
2.4,0.7477016613,0.8443293412,0.8443293412
2.41,0.7335550798,0.8350698504,0.8350698504
2.42,0.719420753,0.8257268604,0.8257268604
2.43,0.7052696396,0.8163012981,0.8163012981
2.44,0.6911122422,0.8067941064,0.8067941064
2.45,0.6769696073,0.7972062365,0.7972062365
2.46,0.6628585482,0.787538647,0.787538647
2.47,0.6487916454,0.7777923046,0.7777923046
2.48,0.634777247,0.7679681835,0.7679681835
2.49,0.6208194678,0.7580672659,0.7580672659
2.5,0.6069181901,0.7480905416,0.7480905416
2.51,0.5930690633,0.7380390083,0.7380390083
2.52,0.5792635041,0.7279136715,0.7279136715
2.53,0.5654886961,0.7177155443,0.7177155443
2.54,0.5518543906,0.7074456469,0.7074456469
2.55,0.5382966949,0.6971050055,0.6971050055
2.56,0.5248359882,0.6866946544,0.6866946544
2.57,0.5115053677,0.6762156345,0.6762156345
2.58,0.498320481,0.6656689937,0.6656689937
2.59,0.4852795254,0.6550557864,0.6550557864
2.6,0.4723632484,0.6443770739,0.6443770739
2.61,0.4595349476,0.6336339242,0.6336339242
2.62,0.4468556845,0.6228274118,0.6228274118
2.63,0.4343333681,0.6119586174,0.6119586174
2.64,0.4219682609,0.6010286276,0.6010286276
2.65,0.4097953411,0.5900385356,0.5900385356
2.66,0.3978175207,0.5789894402,0.5789894402
2.67,0.3860056456,0.5678824462,0.5678824462
2.68,0.3742984956,0.5567186645,0.5567186645
2.69,0.362823296,0.5454992115,0.5454992115
2.7,0.3515046374,0.5342252091,0.5342252091
2.71,0.3403920461,0.5228977847,0.5228977847
2.72,0.3294936724,0.511518071,0.511518071
2.73,0.3187749284,0.5000872059,0.5000872059
2.74,0.3081972457,0.4886063325,0.4886063325
2.75,0.2978248082,0.4770765989,0.4770765989
2.76,0.2876305116,0.4654991581,0.4654991581
2.77,0.2776498215,0.4538751679,0.4538751679
2.78,0.2678755493,0.4422057905,0.4422057905
2.79,0.2582578524,0.4304921929,0.4304921929
2.8,0.2487928716,0.4187355465,0.4187355465
2.81,0.2395094022,0.406937027,0.406937027
2.82,0.2304021524,0.3950978141,0.3950978141
2.83,0.2214910721,0.3832190919,0.3832190919
2.84,0.2127577558,0.371302048,0.371302048
2.85,0.2041454422,0.3593478743,0.3593478743
2.86,0.1956929556,0.3473577661,0.3473577661
2.87,0.1873870483,0.3353329225,0.3353329225
2.88,0.179236648,0.323274546,0.323274546
2.89,0.1712467526,0.3111838423,0.3111838423
2.9,0.1633948948,0.2990620204,0.2990620204
2.91,0.1556358687,0.2869102926,0.2869102926
2.92,0.1480243555,0.2747298741,0.2747298741
2.93,0.1405235233,0.2625219829,0.2625219829
2.94,0.1331446547,0.2502878398,0.2502878398
2.95,0.1258838887,0.2380286681,0.2380286681
2.96,0.1187222202,0.2257456937,0.2257456937
2.97,0.1116413844,0.213440145,0.213440145
2.98,0.1046610981,0.2011132525,0.2011132525
2.99,0.09776559663,0.188766249,0.188766249
3,0.09095441162,0.176400369,0.176400369
3.01,0.08422117805,0.1640168491,0.1640168491
3.02,0.07755363427,0.1516169276,0.1516169276
3.03,0.07094643223,0.1392018447,0.1392018447
3.04,0.0644004321,0.1267728417,0.1267728417
3.05,0.05790757547,0.1143311617,0.1143311617
3.06,0.05146335963,0.1018780486,0.1018780486
3.07,0.04506219381,0.08941474786,0.08941474786
3.08,0.03869739914,0.07694250564,0.07694250564
3.09,0.03236369908,0.06446256934,0.06446256934
3.1,0.02605756327,0.05197618686,0.05197618686
3.11,0.01977287445,0.03948460693,0.03948460693
3.12,0.01350437045,0.02698907867,0.02698907867
3.13,0.007246896826,0.0144908515,0.0144908515
3.14,0.0009954068689,0.001991175142,0.001991175142
3.15,-0.005255038379,-0.01050870036,-0.01050870036
3.16,-0.01150978822,-0.02300752478,-0.02300752478
3.17,-0.01777432004,-0.03550404867,-0.03550404867
3.18,-0.02405353925,-0.04799702196,-0.04799702196
3.19,-0.03035250023,-0.06048519515,-0.06048519515
3.2,-0.03667633919,-0.07296731953,-0.07296731953
3.21,-0.04303027425,-0.08544214717,-0.08544214717
3.22,-0.04941960533,-0.0979084309,-0.0979084309
3.23,-0.05584971427,-0.1103649244,-0.1103649244
3.24,-0.06232606472,-0.1228103819,-0.1228103819
3.25,-0.06885420224,-0.1352435588,-0.1352435588
3.26,-0.07543978948,-0.147663211,-0.147663211
3.27,-0.08209150677,-0.1600680965,-0.1600680965
3.28,-0.08879771154,-0.1724569754,-0.1724569754
3.29,-0.0955743623,-0.1848286085,-0.1848286085
3.3,-0.102434208,-0.1971817584,-0.1971817584
3.31,-0.109386788,-0.2095151901,-0.2095151901
3.32,-0.1164384321,-0.2218276704,-0.2218276704
3.33,-0.1235922606,-0.2341179685,-0.2341179685
3.34,-0.1308481842,-0.2463848555,-0.2463848555
3.35,-0.138202904,-0.2586271047,-0.2586271047
3.36,-0.1456499117,-0.2708434914,-0.2708434914
3.37,-0.1532091536,-0.2830327933,-0.2830327933
3.38,-0.1609014142,-0.2951937921,-0.2951937921
3.39,-0.1686953307,-0.3073252717,-0.3073252717
3.4,-0.176627482,-0.3194260186,-0.3194260186
3.41,-0.184722117,-0.3314948229,-0.3314948229
3.42,-0.1929911541,-0.343530478,-0.343530478
3.43,-0.2014341816,-0.3555317805,-0.3555317805
3.44,-0.2100384578,-0.3674975305,-0.3674975305
3.45,-0.2187789105,-0.3794265314,-0.3794265314
3.46,-0.2276181373,-0.39131759,-0.39131759
3.47,-0.2366112404,-0.4031695166,-0.4031695166
3.48,-0.2458095697,-0.4149811265,-0.4149811265
3.49,-0.2551699031,-0.4267512385,-0.4267512385
3.5,-0.264729913,-0.4384786756,-0.4384786756
3.51,-0.2745034171,-0.4501622652,-0.4501622652
3.52,-0.2844803786,-0.461800839,-0.461800839
3.53,-0.2946269063,-0.4733932333,-0.4733932333
3.54,-0.3048852541,-0.4849382886,-0.4849382886
3.55,-0.3153731252,-0.4964348503,-0.4964348503
3.56,-0.3260192999,-0.5078817689,-0.5078817689
3.57,-0.3368536221,-0.5192778996,-0.5192778996
3.58,-0.347905299,-0.5306221027,-0.5306221027
3.59,-0.3591805451,-0.5419132441,-0.5419132441
3.6,-0.3706625818,-0.5531501948,-0.5531501948
3.61,-0.3823116378,-0.5643318311,-0.5643318311
3.62,-0.3940649489,-0.5754570347,-0.5754570347
3.63,-0.4059805879,-0.5865246928,-0.5865246928
3.64,-0.418091613,-0.5975336989,-0.5975336989
3.65,-0.4303577073,-0.608482952,-0.608482952
3.66,-0.4428018895,-0.6193713571,-0.6193713571
3.67,-0.4554297848,-0.6301978256,-0.6301978256
3.68,-0.4682296254,-0.6409612749,-0.6409612749
3.69,-0.48117225,-0.6516606287,-0.6516606287
3.7,-0.4942111041,-0.6622948172,-0.6622948172
3.71,-0.5073286621,-0.6728627765,-0.6728627765
3.72,-0.5206138314,-0.6833634501,-0.6833634501
3.73,-0.5339951533,-0.6937957878,-0.6937957878
3.74,-0.5474851865,-0.7041587462,-0.7041587462
3.75,-0.5610881498,-0.7144512892,-0.7144512892
3.76,-0.5747999219,-0.7246723875,-0.7246723875
3.77,-0.5886080416,-0.7348210194,-0.7348210194
3.78,-0.602491708,-0.7448961701,-0.7448961701
3.79,-0.6164217798,-0.7548968321,-0.7548968321
3.8,-0.6303607762,-0.7648220049,-0.7648220049
3.81,-0.6443670809,-0.7746706956,-0.7746706956
3.82,-0.6584217296,-0.7844419202,-0.7844419202
3.83,-0.6725017478,-0.7941347011,-0.7941347011
3.84,-0.6866068,-0.8037480687,-0.8037480687
3.85,-0.7007340691,-0.8132810617,-0.8132810617
3.86,-0.7148782574,-0.8227327272,-0.8227327272
3.87,-0.7290315858,-0.8321021202,-0.8321021202
3.88,-0.743183794,-0.841388304,-0.841388304
3.89,-0.7573221406,-0.8505903503,-0.8505903503
3.9,-0.7714314032,-0.8597073387,-0.8597073387
3.91,-0.7854938781,-0.8687383573,-0.8687383573
3.92,-0.7994895537,-0.8776825022,-0.8776825022
3.93,-0.813482283,-0.8865388778,-0.8865388778
3.94,-0.8274174666,-0.8953066029,-0.8953066029
3.95,-0.8412915494,-0.9039847987,-0.9039847987
3.96,-0.8551007737,-0.9125725958,-0.9125725958
3.97,-0.8688411787,-0.9210691348,-0.9210691348
3.98,-0.8825086005,-0.9294735656,-0.9294735656
3.99,-0.8960986727,-0.9377850478,-0.9377850478
4,-0.9096068258,-0.9460027506,-0.9460027506
4.01,-0.9230282875,-0.9541258528,-0.9541258528
4.02,-0.9363580824,-0.9621535429,-0.9621535429
4.03,-0.9495910324,-0.9700850189,-0.9700850189
4.04,-0.9627217566,-0.9779194885,-0.9779194885
4.05,-0.9757446709,-0.985656169,-0.985656169
4.06,-0.9886539886,-0.9932942873,-0.9932942873
4.07,-1.00144372,-1.00083308,-1.00083308
4.08,-1.014107672,-1.008271793,-1.008271793
4.09,-1.02663945,-1.015609682,-1.015609682
4.1,-1.039032455,-1.022846012,-1.022846012
4.11,-1.051279886,-1.029980059,-1.029980059
4.12,-1.063374738,-1.037011107,-1.037011107
4.13,-1.075309805,-1.043938451,-1.043938451
4.14,-1.087127549,-1.050761397,-1.050761397
4.15,-1.098799035,-1.05747927,-1.05747927
4.16,-1.110316814,-1.064091396,-1.064091396
4.17,-1.121677762,-1.070597113,-1.070597113
4.18,-1.132878832,-1.076995771,-1.076995771
4.19,-1.143917053,-1.083286728,-1.083286728
4.2,-1.15478953,-1.089469356,-1.089469356
4.21,-1.165493443,-1.095543037,-1.095543037
4.22,-1.176026047,-1.101507163,-1.101507163
4.23,-1.186384673,-1.10736114,-1.10736114
4.24,-1.19656673,-1.113104381,-1.113104381
4.25,-1.206569699,-1.118736314,-1.118736314
4.26,-1.216391139,-1.124256376,-1.124256376
4.27,-1.226028685,-1.129664015,-1.129664015
