time,dcpm.airGapDC.ia,dcpm.inertiaRotor.w,dcpm.friction.phi,dcpm.flange.tau,dcpm.la.i,loadInertia.w,loadInertia.phi
0,0,157.0796327,0,0,0,157.0796327,0
1e-06,-1.894780629e-17,157.0796327,0.0001570796327,6.031274062e-18,-1.894780629e-17,157.0796327,0.0001570796327
2.658820569e-05,-5.03788164e-16,157.0796327,0.004176465583,1.603607531e-16,-5.03788164e-16,157.0796327,0.004176465583
0.0002824702625,-5.352184967e-15,157.0796327,0.04437032508,1.703653388e-15,-5.352184967e-15,157.0796327,0.04437032508
0.002841290831,-5.382968803e-14,157.0796327,0.4463089201,1.713452187e-14,-5.382968803e-14,157.0796327,0.4463089201
0.02202132371,-1.572153838e-13,157.0796327,3.459101439,5.004321091e-14,-1.572153838e-13,157.0796327,3.459101439
0.04094257101,-1.04183969e-13,157.0796327,6.431244014,3.316278731e-14,-1.04183969e-13,157.0796327,6.431244014
0.06558000989,1.299591715e-13,157.0796327,10.30128387,-4.136728908e-14,1.299591715e-13,157.0796327,10.30128387
0.09439050435,3.704712389e-13,157.0796327,14.82682575,-1.179246579e-13,3.704712389e-13,157.0796327,14.82682575
0.09954464795,4.161903802e-13,157.0796327,15.63643674,-1.324775126e-13,4.161903802e-13,157.0796327,15.63643674
0.09987594936,4.067742397e-13,157.0796327,15.68847744,-1.294802619e-13,4.067742397e-13,157.0796327,15.68847744
0.0999591065,4.044107716e-13,157.0796327,15.70153973,-1.287279467e-13,4.044107716e-13,157.0796327,15.70153973
0.09999819829,4.032997163e-13,157.0796327,15.70768026,-1.283742868e-13,4.032997163e-13,157.0796327,15.70768026
0.100007719,2.519689506e-06,157.0778596,15.70917575,-31.8300008,2.519689506e-06,157.0778596,15.70917575
0.1000118565,6.403687101e-06,157.0769816,15.70982567,-31.83000204,6.403687101e-06,157.0769816,15.70982567
0.1000532321,0.0001299844036,157.0682017,15.71632463,-31.83004138,0.0001299844036,157.0682017,15.71632463
0.1004669875,0.009804796618,156.9804061,15.78129429,-31.83312096,0.009804796618,156.9804061,15.78129429
0.1014598721,0.09478740995,156.7698109,15.93705316,-31.86017177,0.09478740995,156.7698109,15.93705316
0.1027678087,0.3364869253,156.4928317,16.14191692,-31.93710711,0.3364869253,156.4928317,16.14191692
0.1043853588,0.8318131302,156.1515319,16.39477565,-32.09477434,0.8318131302,156.1515319,16.39477565
0.1063712344,1.722410216,155.7354047,16.70445937,-32.3782602,1.722410216,155.7354047,16.70445937
0.1087500383,3.173279461,155.2428094,17.074336,-32.84008622,3.173279461,155.2428094,17.074336
0.1115674673,5.389483351,154.6702918,17.51091197,-33.54552583,5.389483351,154.6702918,17.51091197
0.1148563379,8.58887628,154.0208118,18.0185284,-34.56392423,8.58887628,154.0208118,18.0185284
0.1186582632,13.0002513,153.3006598,18.60272375,-35.96810851,13.0002513,153.3006598,18.60272375
