time,expSine1.y,expSine2.y,sinc.y
0,0,1,1
0.002004008016,0.0622889113,0.9880685599,0.9993395175
0.004008016032,0.1230914298,0.9723995706,0.9973596402
0.006012024048,0.1821924824,0.9531302123,0.9940650748
0.008016032064,0.2393881069,0.9304094249,0.9894636507
0.01002004008,0.2944860522,0.904397076,0.9835662982
0.0120240481,0.3473063188,0.8752631009,0.9763870172
0.01402805611,0.3976816399,0.8431866192,0.967942838
0.01603206413,0.4454579018,0.8083550322,0.9582537731
0.01803607214,0.4904945024,0.7709631048,0.9473427604
0.02004008016,0.5326646491,0.7312120361,0.9352355987
0.02204408818,0.5718555944,0.6893085225,0.9219608745
0.02404809619,0.6079688111,0.6454638167,0.9075498822
0.02605210421,0.6409201061,0.5998927885,0.8920365349
0.02805611222,0.6706396749,0.552812988,0.8754572699
0.03006012024,0.697072097,0.5044437178,0.8578509457
0.03206412826,0.7201762731,0.4550051157,0.8392587331
0.03406813627,0.7399253063,0.4047172535,0.8197239997
0.03607214429,0.756306329,0.353799252,0.7992921885
0.0380761523,0.7693202755,0.3024684196,0.7780106906
0.04008016032,0.7789816053,0.2509394134,0.7559287135
0.04208416834,0.7853179759,0.1994234287,0.7330971432
0.04408817635,0.7883698697,0.1481274183,0.7095684036
0.04609218437,0.7881901775,0.09725334395,0.6853963099
0.04809619238,0.7848437385,0.04699746345,0.6606359206
0.0501002004,0.7784068433,-0.00245034599,0.6353433849
0.05210420842,0.7689666993,-0.05090722466,0.609575788
0.05410821643,0.7566208636,-0.09819792669,0.5833909941
0.05611222445,0.7414766452,-0.1441553739,0.5568474883
0.05811623246,0.7236504797,-0.1886211657,0.5300042166
0.06012024048,0.7032672803,-0.2314460441,0.502920425
0.0621242485,0.6804597668,-0.2724903127,0.4756554998
0.06412825651,0.655367777,-0.3116242089,0.4482688062
0.06613226453,0.6281375629,-0.3487282287,0.4208195291
0.06813627255,0.5989210755,-0.3836934037,0.3933665144
0.07014028056,0.5678752402,-0.4164215306,0.3659681125
0.07214428858,0.535161227,-0.4468253525,0.3386820229
0.07414829659,0.5009437181,-0.4748286928,0.3115651429
0.07615230461,0.4653901758,-0.5003665415,0.2846734181
0.07815631263,0.4286701137,-0.5233850955,0.2580616968
0.08016032064,0.3909543742,-0.5438417523,0.2317835887
0.08216432866,0.3524144148,-0.5617050593,0.2058913271
0.08416833667,0.3132216067,-0.5769546193,0.1804356367
0.08617234469,0.2735465468,-0.5895809527,0.1554656056
0.08817635271,0.2335583869,-0.5995853195,0.1310285637
0.09018036072,0.1934241822,-0.6069795008,0.1071699662
0.09218436874,0.1533082609,-0.611785543,0.08393328318
0.09418837675,0.1133716171,-0.6140354651,0.06135989641
0.09619238477,0.07377132983,-0.6137709324,0.03948900194
0.09819639279,0.03466000846,-0.6110428971,0.01835752021
0.1002004008,-0.003814732174,-0.6059112096,-0.001999986788
0.1022044088,-0.04151076652,-0.5984442007,-0.02155139087
0.1042084168,-0.07829192103,-0.5887182392,-0.04026706546
0.1062124248,-0.1140284039,-0.5768172642,-0.05811994553
0.1082164329,-0.1485972002,-0.5628322985,-0.07508557969
0.1102204409,-0.1818824327,-0.5468609408,-0.09114217413
0.1122244489,-0.213775686,-0.5290068436,-0.1062706285
0.1142284569,-0.2441762946,-0.5093791754,-0.1204545637
0.1162324649,-0.272991594,-0.4880920727,-0.1336803409
0.1182364729,-0.300137135,-0.4652640822,-0.1459370734
0.120240481,-0.3255368599,-0.4410175963,-0.1572166288
0.122244489,-0.3491232423,-0.4154782847,-0.1675136243
0.124248497,-0.3708373893,-0.3887745237,-0.1768254132
