time,Bessel.x[1]_ref,Bessel.x[1]_sim,Bessel.x[1]_relerr,Bessel.x[2]_ref,Bessel.x[2]_sim,Bessel.x[2]_relerr,Bessel.x[3]_ref,Bessel.x[3]_sim,Bessel.x[3]_relerr,Butterworth.x[1]_ref,Butterworth.x[1]_sim,Butterworth.x[1]_relerr,Butterworth.x[2]_ref,Butterworth.x[2]_sim,Butterworth.x[2]_relerr,Butterworth.x[3]_ref,Butterworth.x[3]_sim,Butterworth.x[3]_relerr,ChebyshevI.x[1]_ref,ChebyshevI.x[1]_sim,ChebyshevI.x[1]_relerr,ChebyshevI.x[2]_ref,ChebyshevI.x[2]_sim,ChebyshevI.x[2]_relerr,ChebyshevI.x[3]_ref,ChebyshevI.x[3]_sim,ChebyshevI.x[3]_relerr,CriticalDamping.x[1]_ref,CriticalDamping.x[1]_sim,CriticalDamping.x[1]_relerr,CriticalDamping.x[2]_ref,CriticalDamping.x[2]_sim,CriticalDamping.x[2]_relerr,CriticalDamping.x[3]_ref,CriticalDamping.x[3]_sim,CriticalDamping.x[3]_relerr
0,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.00018,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.00036,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.00054,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.00072,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.0009,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.00108,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.00126,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.00144,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.00162,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.0018,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
0.00198,0.1,0,0.0909092,0.1048180164,0,0.0852976,0.1,0,0.0902903,0.1,0,0.0909126,0.05773502692,0,0.0651846,0.1,0,0.0846405,0.1,0,0.0912851,0.03065073069,0,0.0480413,0.1,0,0.0840833,0.1,0,0.0909091,0.1,0,0.0909091,0.1,0,0.0909091
